,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,new_addition
0,aries,hyperledger/aries,aries,True,decentralized,https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:20,2023-04-21 19:34:22.000000,2023-04-21 19:34:21,24384.0,1092.0,252.0,6161.0,1496,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",504.0,34,True,512.0,857.0,2722.0,195.0,2023-04-14 09:52:15,329.0,550.0,1,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-04-20 21:21:57.000000,2023-04-20 20:53:58,1496.0,27.0,11.0,1584.0,48,Trinsic SDK repository.,41.0,27,False,102.0,5.0,368.0,32.0,2023-03-03 19:22:08,414.0,1722.0,1,1.10.0,7385.0,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-04-21 18:42:59.000000,2023-04-21 18:42:53,3188.0,29.0,22.0,351.0,126,Self Sovereign Identity SDK extending Veramo.,46.0,24,True,781.0,15.0,23.0,54.0,2023-03-17 00:39:19,90.0,4.0,1,0.9.0,,5.0,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-04-21 16:14:18.781427,2023-04-21 16:05:33,2648.0,58.0,12.0,316.0,124,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,533.0,21.0,252.0,89.0,2023-04-21 16:14:20,,474.0,2,1.2304211606.0,30.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-04-21 16:14:18.781427,4949.0,,,,,,,,,,,,,,
4,talao-altme,talaodao/altme,talao-altme,True,decentralized,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-04-21 16:22:03.000000,2023-04-21 16:21:58,6846.0,10.0,7.0,473.0,26,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,19,False,915.0,86.0,1352.0,1.0,2023-01-06 16:00:40,,,2,,,,,,,,,,,,,,,,,,,,,
5,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,3.0,,100.0,2021-03-22 11:09:10,38.0,10.0,3,,,,,,,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-04-21 16:04:26.000000,2023-04-21 07:28:50,631.0,19.0,13.0,317.0,52,Self Hosted ID Platform.,18.0,15,False,342.0,5.0,73.0,6.0,2023-04-07 12:33:13,5.0,,3,1.0.0,,,,,,,,,,,,,,,,,,,,
7,spruceid,spruceid/ddkit,spruceid,True,decentralized,,{},,2020-07-23 21:18:28,2023-04-21 19:07:13.000000,2023-04-21 09:44:27,711.0,51.0,45.0,407.0,172,,30.0,14,False,5.0,78.0,124.0,,,98.0,,3,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,
8,coredns,coredns/coredns,,,machine,https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-04-21 18:33:51.000000,2023-04-20 17:24:06,3610.0,1787.0,236.0,3821.0,10697,CoreDNS is a DNS server that chains plugins.,347.0,41,True,83.0,62.0,2035.0,65.0,2023-02-06 18:30:04,5069.0,2803986.0,1,1.10.1,6668814.0,5069.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,231163613.0,"['linux-foundation', 'cncf']",137.0,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-04-21 20:23:33.000000,2023-04-21 10:25:48,2238.0,1898.0,90.0,1758.0,15990,Authentication for the Web.,520.0,40,True,179.0,111.0,2806.0,100.0,2023-04-20 08:41:48,74119.0,1830701.0,1,@next-auth/mongodb-adapter@1.1.3,,74119.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,1830701.0,,,,,,,,,
10,oauthlib,oauthlib/oauthlib,,,oauth2-oidc,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-04-14 08:21:48.000000,2023-01-10 13:20:21,1645.0,453.0,69.0,480.0,2575,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,73.0,289.0,48.0,2023-01-10 13:13:43,355472.0,81062746.0,1,3.2.2,,355472.0,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,81062746.0,,,,,,
11,cert-manager,cert-manager/cert-manager,,,pki,https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-04-21 17:13:40.000000,2023-04-20 16:53:04,7644.0,1798.0,144.0,2822.0,10223,Automatically provision and manage TLS certificates in Kubernetes.,388.0,39,True,204.0,172.0,2788.0,100.0,2023-04-07 13:54:32,444.0,1233308.0,1,1.11.1,44399119.0,444.0,,,,,['linux-foundation'],,,,,,,,,,,,,
12,vault,hashicorp/vault,,,pki,https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-04-21 21:39:20.000000,2023-04-21 20:14:40,17162.0,3623.0,816.0,14752.0,27555,"A tool for secrets management, encryption as a service, and privileged access management.",1330.0,38,True,646.0,865.0,4582.0,87.0,2023-03-29 22:06:08,6163.0,,2,1.13.1,,6163.0,,,,,['hashicorp'],,,,,,,,,,,,,
13,keycloak,keycloak/keycloak,,,idp,https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-04-21 17:40:10.000000,2023-04-21 13:06:51,21738.0,5164.0,357.0,11253.0,15757,Open Source Identity and Access Management For Modern Applications and Services.,1156.0,37,True,742.0,1593.0,4341.0,35.0,2023-04-19 08:10:05,1.0,60197.0,1,21.1.0,1685530.0,1.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,['cncf'],,,,,,,,,,,,,
14,open-policy-agent,open-policy-agent/opa,,,authorization,https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-04-21 21:08:57.000000,2023-04-21 17:24:07,4551.0,1091.0,118.0,3608.0,7966,"An open source, general-purpose policy engine.",379.0,37,True,153.0,288.0,1934.0,100.0,2023-03-31 14:09:24,2349.0,3030378.0,1,0.51.0,2867537.0,2349.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-04-21 18:09:18.171576,261725435.0,"['cncf', 'linux-foundation']",30.0,,,,,,,,,,,,
15,ory-hydra,ory/hydra,,,oauth2-oidc,https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-04-21 16:12:24.000000,2023-04-18 11:21:17,3592.0,1278.0,231.0,1647.0,14033,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",279.0,36,True,66.0,56.0,1369.0,100.0,2023-04-11 10:52:32,2.0,4044890.0,2,2.1.1,538431.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-04-11 10:52:32.445066,383452714.0,['ory'],72.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
16,ory-kratos,ory/kratos,,,idp,https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-04-21 18:22:40.000000,2023-04-21 16:24:01,3755.0,727.0,111.0,1553.0,8546,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",192.0,36,True,141.0,225.0,855.0,42.0,2023-04-18 17:07:18,314.0,1726929.0,1,0.13.0,28179.0,314.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,101846213.0,['ory'],16.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
17,casbin,casbin/casbin,,,authorization,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-04-15 13:22:26.000000,2023-04-15 13:21:02,1053.0,1467.0,228.0,446.0,14305,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",129.0,35,True,16.0,15.0,697.0,100.0,2023-04-15 13:22:27,2360.0,223665.0,2,2.68.0,,2360.0,,,,,,,casbin,https://www.npmjs.com/package/casbin,155490.0,casbin,https://pypi.org/project/casbin,68175.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
18,casl,stalniy/casl,,,authorization,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-04-12 15:46:02.000000,2023-04-12 08:45:37,1442.0,242.0,40.0,306.0,4795,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,64.0,35,True,10.0,9.0,403.0,100.0,2023-04-02 13:30:48,41049.0,1738000.0,2,@casl/ability@6.4.0,,41049.0,,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1738000.0,,,,,,,,,
19,pomerium,pomerium/pomerium,,,machine,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-04-21 17:40:41.393239,2023-04-21 16:37:32,2821.0,271.0,35.0,3223.0,3515,Pomerium is an identity and context-aware access proxy.,88.0,33,True,138.0,68.0,783.0,100.0,2023-03-23 15:57:03,12.0,3332865.0,2,0.21.3,41384.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-04-21 17:40:41.393239,169933085.0,,10.0,,,,,,,,,,,,
20,ockam,build-trust/ockam,,,machine,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-04-21 20:01:46.000000,2023-04-21 19:36:34,5367.0,332.0,58.0,3523.0,3066,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",176.0,32,True,739.0,172.0,915.0,100.0,2023-04-14 21:09:02,175.0,10716.0,2,ockam_v0.84.0,182174.0,175.0,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
21,spire,spiffe/spire,,,machine,https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-04-21 18:48:01.000000,2023-04-21 18:48:01,5929.0,364.0,83.0,2898.0,1392,The SPIFFE Runtime Environment.,153.0,32,True,206.0,188.0,1014.0,79.0,2023-04-13 20:22:53,108.0,1824.0,2,1.6.3,120418.0,108.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,"['cncf', 'linux-foundation']",,,,,,,,,,,,,
22,cas,apereo/cas,,,idp,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-04-20 19:54:16.678272,2023-04-18 16:04:25,22976.0,3770.0,608.0,4302.0,10202,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,335.0,31,True,429.0,,,100.0,2023-03-31 06:34:19,1.0,5792.0,2,6.6.7,,1.0,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-04-20 19:54:16.678272,805162.0,,121.0,,,,,,,,,,,,
23,boundary,hashicorp/boundary,,,machine,https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-04-21 20:16:34.000000,2023-04-21 16:40:17,2876.0,226.0,75.0,2887.0,3604,Boundary enables identity-based access management for dynamic infrastructure.,128.0,31,True,234.0,72.0,213.0,43.0,2023-04-07 19:27:59,8.0,155818.0,3,0.12.2,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-04-07 19:36:45.208207,6076921.0,['hashicorp'],10.0,,,,,,,,,,,,
24,spicedb,authzed/spicedb,,,authorization,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-04-21 13:57:31.000000,2023-04-21 13:57:30,2667.0,174.0,34.0,947.0,3397,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",27.0,31,True,262.0,100.0,224.0,27.0,2023-04-19 16:39:52,22.0,9617.0,2,1.20.0,12128.0,22.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-04-19 16:30:08.515160,179594.0,,4.0,,,,,,,,,,,,
25,node-oidc-provider,panva/node-oidc-provider,,,oauth2-oidc,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-04-21 21:09:07.000000,2023-04-21 21:09:02,2377.0,699.0,69.0,214.0,2634,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,60.0,31,True,38.0,,,100.0,2023-04-21 20:37:24,940.0,118152.0,2,8.1.2,,940.0,,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,118152.0,,,,,,,,,
26,doorkeeper,doorkeeper-gem/doorkeeper,,,oauth2-oidc,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-04-18 07:54:13.000000,2023-04-18 07:54:13,2354.0,995.0,108.0,807.0,5132,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,307.0,30,True,37.0,19.0,825.0,62.0,2023-03-29 07:20:04,7639.0,,3,5.6.6,,7639.0,,,,,,,,,,,,,,,,,doorkeeper,
27,authelia,authelia/authelia,,,idp,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-04-21 19:38:03.000000,2023-04-21 19:38:02,4180.0,895.0,156.0,3981.0,16153,The Single Sign-On Multi-Factor portal for web apps.,124.0,29,True,362.0,72.0,1024.0,100.0,2022-12-21 09:01:04,2.0,542.0,2,4.37.5,21155.0,2.0,,,,,,,,,,,,,,,,,,
28,oathkeeper,ory/oathkeeper,,,machine,https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-04-17 08:27:24.000000,2023-04-17 08:27:23,1303.0,304.0,49.0,693.0,2943,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",105.0,29,True,34.0,49.0,262.0,100.0,2023-03-15 16:29:58,2.0,1100854.0,3,0.40.2,22057.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-03-15 16:29:58.302274,73734869.0,['ory'],22.0,,,,,,,,,,,,True
29,dex,dexidp/dex,,,oauth2-oidc,https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-04-21 17:40:59.000000,2023-04-21 17:40:52,2387.0,1400.0,175.0,1687.0,8033,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,216.0,28,True,80.0,280.0,771.0,79.0,2023-03-20 13:29:42,15.0,2.0,3,2.36.0,236.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,['linux-foundation'],,,,,,,,,,,,,
30,casdoor,casdoor/casdoor,,,idp,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-04-21 17:04:08.000000,2023-04-21 15:56:33,1532.0,686.0,48.0,977.0,5840,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",113.0,28,True,204.0,105.0,636.0,100.0,2023-04-20 14:27:59,1.0,1482.0,2,1.300.0,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-04-20 15:16:30.737372,44472.0,,6.0,,,,,,,,,,,,
31,boulder,letsencrypt/boulder,,,pki,https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-04-21 21:33:34.000000,2023-04-21 21:00:27,6150.0,524.0,138.0,4048.0,4617,"An ACME-based certificate authority, written in Go.",125.0,28,True,170.0,186.0,2590.0,62.0,2023-04-17 19:29:52,,23071.0,2,release-2023-04-17,51091.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-04-04 20:11:35.737275,1914184.0,['linux-foundation'],12.0,,,,,,,,,,,,
32,keto,ory/keto,,,authorization,https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-04-19 14:14:40.000000,2023-04-19 14:14:39,1395.0,287.0,60.0,954.0,3997,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",66.0,28,True,98.0,44.0,246.0,50.0,,2.0,716133.0,3,,14468.0,2.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,43667521.0,['ory'],6.0,,,,,,,,,,,,
33,oso,osohq/oso,,,authorization,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-04-03 23:36:19.000000,2023-04-03 22:56:35,1187.0,142.0,30.0,1497.0,3003,Oso is a batteries-included framework for building authorization in your application.,61.0,28,True,16.0,98.0,97.0,100.0,2023-04-03 23:25:23,70.0,44739.0,3,0.27.0,2123.0,70.0,,,,,,,,,,oso,https://pypi.org/project/oso,44658.0,,,,,,
34,identity-server,duendesoftware/identityserver,,,oauth2-oidc,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,,2020-10-01 08:46:31,2023-04-21 10:57:51.000000,2023-04-20 08:20:37,4695.0,213.0,39.0,564.0,996,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,28,False,290.0,56.0,196.0,39.0,2023-02-02 17:27:15,942.0,,3,6.2.3,,942.0,,,,,,,,,,,,,,,,,,
35,logto,logto-io/logto,,,idp,https://github.com/logto-io/logto,https://github.com/logto-io/logto,https://www.mozilla.org/en-US/MPL/2.0/,2021-06-19 03:01:50,2023-04-21 16:55:25.000000,2023-04-21 03:12:37,4044.0,194.0,33.0,3481.0,5616,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,33.0,27,True,799.0,42.0,184.0,37.0,2023-04-18 13:33:17,6.0,395.0,2,1.2.0,1418.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-04-21 03:23:22.612775,6100.0,,1.0,,,,,,,,,,,,
36,zitadel,zitadel/zitadel,,,idp,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-04-21 14:58:41.000000,2023-04-21 14:54:32,2106.0,172.0,21.0,4024.0,3211,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,51.0,27,True,201.0,330.0,1092.0,100.0,2023-04-20 07:40:02,1.0,316.0,2,2.25.2,1901.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
37,cerbos,cerbos/cerbos,,,authorization,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-04-20 13:32:45.000000,2023-04-20 13:19:09,1216.0,60.0,22.0,1290.0,1299,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",18.0,27,True,85.0,40.0,195.0,49.0,2023-04-17 07:47:59,11.0,1315.0,3,0.26.0,32879.0,11.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
38,jansen,janssenproject/jans,,,idp,https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-04-21 16:45:58.000000,2023-04-21 16:45:57,32166.0,48.0,23.0,2662.0,201,"Welcome to the Janssen Project, an open standards-based digital Identity platform introducing Agama, a programming..",107.0,27,True,666.0,275.0,1732.0,100.0,2023-04-18 11:47:38,,513.0,2,1.0.12,513.0,,,,,,['linux-foundation'],,,,,,,,,,,,,
