,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,new_addition
50,permify,permify/permify,,,authorization,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-04-21 20:13:56.000000,2023-04-21 11:23:01,1256.0,44.0,11.0,327.0,1311,Permify is an open-source authorization service inspired by Google Zanzibar.,18.0,22,True,603.0,26.0,57.0,24.0,2023-04-19 16:38:30,,47.0,3,0.3.9,382.0,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,
51,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-04-21 15:19:44.000000,2023-04-14 09:00:57,9535.0,33.0,11.0,685.0,47,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",135.0,22,False,37.0,29.0,91.0,59.0,2023-04-14 09:52:15,9.0,275.0,2,0.54.1,8810.0,9.0,,,,,,,,,,,,,,,,,,
52,supertokens,supertokens/supertokens-core,,,idp,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,,2020-01-05 13:30:52,2023-04-21 11:18:45.000000,2023-03-31 10:34:04,699.0,306.0,56.0,228.0,8602,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,21,False,40.0,92.0,303.0,23.0,2023-04-01 06:14:01,,,3,4.6.0,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,True
53,gotrue,netlify/gotrue,,,idp,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-03-07 03:09:30.000000,2022-02-10 15:59:24,635.0,252.0,64.0,214.0,3357,An SWT based API for managing users and issuing SWT tokens.,37.0,21,False,,9.0,111.0,2.0,2022-02-09 12:50:28,10.0,,3,1.0.1,,10.0,,,,,,,,,,,,,,,,,,True
54,veramo,uport-project/veramo,,,decentralized,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-04-21 04:29:24.000000,2023-04-14 22:38:36,1703.0,96.0,19.0,635.0,306,A JavaScript Framework for Verifiable Data.,48.0,21,True,71.0,57.0,331.0,34.0,2023-03-16 15:09:58,,,2,5.1.4,,,,,,,,,,,,,,,,,,,,
55,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-04-19 22:07:58.000000,2023-04-19 22:04:45,753.0,119.0,27.0,877.0,177,Aries Framework JavaScript (Built using TypeScript).,50.0,21,True,113.0,145.0,391.0,74.0,2023-01-18 18:22:49,2.0,,2,0.3.3,,2.0,,,,,,,,,,,,,,,,,,
56,keystone,openstack/keystone,,,idp,https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-04-21 17:38:20.000000,2023-04-21 17:30:29,14792.0,642.0,115.0,17.0,655,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,710.0,19,True,10.0,,,,,,,3,,,,,,,,['openstack'],,,,,,,,,,,,,
57,aries-rfcs,hyperledger/aries-rfcs,aries,,decentralized,https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-04-16 09:58:48.000000,2023-03-31 16:40:35,2105.0,203.0,58.0,564.0,295,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,20.0,48.0,169.0,,,,,2,,,,,,,,,,,,,,,,,,,,,
58,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-04-15 21:46:40.000000,2023-04-15 21:46:00,532.0,12.0,5.0,505.0,23,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,8.0,4.0,77.0,19.0,2022-05-29 21:14:21,414.0,656.0,2,1.6.0,15093.0,414.0,,,,,,,,,,,,,,,,,,
59,ja3,salesforce/ja3,,,pki,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-04-01 02:17:34.000000,2023-03-28 20:25:10,143.0,254.0,94.0,41.0,2052,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,23.0,18,True,2.0,29.0,22.0,,,,1409.0,3,,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1409.0,,,,,,
60,ladon,ory/ladon,,,authorization,https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-03-17 11:47:08.000000,2023-03-17 11:45:53,148.0,213.0,65.0,102.0,2197,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,49.0,17,True,1.0,4.0,53.0,40.0,2020-04-30 07:36:33,,,3,1.2.0,,,,,,,['ory'],,,,,,,,,,,,,
