,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,github,github-id
35,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-05-19 21:33:58.000000,2025-02-10 21:50:06,3612.0,,411.0,29.0,544.0,88.0,358.0,585.0,2025-02-10 21:52:03,7.5.2,53.0,2029.0,2029.0,175.0,,,1219538.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1219538.0,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-05-22 16:09:40.000000,2025-05-22 16:09:39,7478.0,594.0,1218.0,163.0,7452.0,52.0,1287.0,23910.0,2025-05-11 11:12:15,4.39.3,100.0,,,229.0,,,919.0,2.0,,55168.0,,,,,,,,,,,,,,,,,
37,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-05-22 13:35:43.000000,2025-05-22 13:35:43,15993.0,637.0,750.0,115.0,8151.0,1254.0,14565.0,807.0,2025-02-28 19:19:04,7.1.0,100.0,,,719.0,,,15121.0,2.0,wso2/wso2is,16974.0,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,36.0,1964265.0,,,,,,,,,,,,,
38,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-05-22 18:04:07.000000,2025-05-22 18:01:27,17370.0,914.0,1127.0,69.0,11098.0,643.0,2422.0,16290.0,2025-05-15 17:48:29,ersion/2025.4.1,100.0,,,375.0,,,202.0,2.0,,5858.0,,,,,,,,,,https://charts.goauthentik.io,,,,,,,
39,logto,https://github.com/logto-io/logto,idp,"Open-source identity infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-05-22 02:44:24.000000,2025-05-22 02:38:46,7455.0,280.0,531.0,49.0,6641.0,132.0,510.0,10172.0,2025-04-27 10:03:16,1.27.0,70.0,24.0,24.0,75.0,,,5709.0,2.0,svhd/logto,5592.0,https://hub.docker.com/r/svhd/logto,2025-05-22 02:42:34.996009,5.0,261239.0,,,,,,,,,,,,,
40,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-05-22 09:02:31.000000,2025-05-22 02:49:35,3319.0,116.0,1671.0,176.0,2707.0,317.0,847.0,9904.0,2025-05-22 09:03:17,2.43.1,91.0,171.0,171.0,271.0,,,3.0,2.0,quay.io/dexidp/dex,357.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
41,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-05-22 03:58:51.000000,2025-04-28 09:15:41,1609.0,18.0,353.0,56.0,1320.0,33.0,291.0,5036.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,74.0,,,596149.0,2.0,oryd/keto,29118.0,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51236791.0,,,,,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-05-22 18:29:16.000000,2025-05-22 16:43:35,4642.0,72.0,285.0,200.0,5375.0,108.0,274.0,3942.0,2025-05-08 17:05:22,0.19.2,69.0,11.0,11.0,181.0,,,301777.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2025-05-08 17:14:37.402104,18.0,19313776.0,,,,,,,,,,,,,
43,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-05-13 18:22:39.000000,2025-05-13 18:22:31,158.0,4.0,9733.0,648.0,303.0,,,82067.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,74.0,,,707614.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,707614.0,,,,,,,,,
44,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],30,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-04-29 14:37:34.000000,2025-04-29 14:37:32,1431.0,7.0,348.0,50.0,757.0,63.0,293.0,3397.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,112.0,,,979558.0,3.0,oryd/oathkeeper,52182.0,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90066070.0,,,,,,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-05-22 17:29:53.000000,2025-05-13 14:37:52,2877.0,52.0,129.0,64.0,320.0,41.0,292.0,943.0,2025-03-18 11:59:27,5.6.1,41.0,175.0,175.0,48.0,,,120943.0,2.0,,20561.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,120750.0,,,,,,,,,
46,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-05-22 13:10:54.000000,2025-05-14 19:32:21,650.0,16.0,71.0,38.0,228.0,5.0,86.0,354.0,2025-05-14 19:32:41,8.0.15,100.0,5894.0,5894.0,42.0,https://www.npmjs.com/package/did-jwt,311522.0,311522.0,1.0,,,,,,,,,,,,,,,,,,,
47,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-05-22 12:31:43.000000,2025-05-21 12:40:47,3709.0,146.0,703.0,58.0,6284.0,694.0,2141.0,10658.0,2025-05-21 12:40:54,3.1.0,100.0,,,192.0,,,1759.0,3.0,ghcr.io/zitadel/zitadel,7039.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,https://charts.zitadel.com,,,,,,,
48,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-05-01 08:53:14.000000,2025-04-04 08:27:33,2503.0,4.0,1030.0,104.0,874.0,44.0,848.0,5390.0,2025-04-04 08:29:47,5.8.2,70.0,10049.0,10049.0,331.0,,,,2.0,,,,,,,,,,,,,,,,doorkeeper,,,
49,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-05-22 15:37:30.000000,2025-05-22 15:37:29,2011.0,88.0,155.0,33.0,2144.0,41.0,347.0,3834.0,2025-04-07 12:01:02,0.43.0,66.0,29.0,29.0,33.0,,,2253.0,3.0,ghcr.io/cerbos/cerbos,112685.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-05-22 06:07:13.000000,2025-05-22 06:07:13,2374.0,97.0,225.0,23.0,2473.0,204.0,821.0,3513.0,2025-05-14 05:40:36,1.6.3,39.0,42.0,42.0,112.0,,,7682.0,3.0,kanidm/server,416.0,https://hub.docker.com/r/kanidm/server,2025-05-14 05:53:01.182175,3.0,575703.0,,,,,,,,,,,,,
51,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-05-22 17:28:35.000000,2025-05-22 15:50:58,7225.0,480.0,377.0,41.0,1186.0,7.0,314.0,1549.0,2025-05-07 02:07:18,is-7.2.3,78.0,2844.0,2844.0,336.0,,,,2.0,,,,,,,,,,,DuendeSoftware/products,,,,,,,,
52,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-05-21 16:58:55.000000,2025-05-21 16:58:33,1835.0,5.0,13266.0,1536.0,526.0,30.0,845.0,53978.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,7241.0,3.0,,543100.0,,,,,2.0,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3500.0,750.0,77.0,2.0,382.0,15370.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1402.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162636.0,,,,,,,,,,,,,
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-05-22 18:01:13.000000,2025-05-21 23:23:35,6997.0,121.0,595.0,139.0,5019.0,166.0,2989.0,5439.0,2025-05-20 16:26:59,release-2025-05-20,100.0,,,137.0,,,17756.0,2.0,letsencrypt/boulder-tools,37386.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-04-30 23:02:06.654814,13.0,2007139.0,,,,,,,,,,,,,
55,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2025-04-17 17:54:55.000000,2025-04-17 17:54:55,3211.0,17.0,297.0,77.0,875.0,289.0,641.0,1785.0,2025-02-21 20:25:35,5.8.5,59.0,3.0,3.0,89.0,https://www.npmjs.com/package/solid-server,698.0,8547.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1004798.0,,,,,,,,,,,,,
56,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project maintains open source IAM components, featuring Agama for identity orchestration, and the..",,['linux-foundation'],28,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2025-05-22 17:59:19.000000,2025-05-22 17:51:49,34981.0,199.0,83.0,31.0,6587.0,444.0,4263.0,539.0,2025-05-20 10:48:36,1.7.0,100.0,6.0,6.0,126.0,,,508.0,3.0,,9658.0,,,,,,,,,,,,,,,,,
57,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],28,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2025-05-21 02:59:59.000000,2025-05-17 17:28:32,393.0,15.0,46.0,22.0,102.0,2.0,48.0,193.0,2025-05-17 17:28:49,4.0.13,67.0,1251.0,1251.0,22.0,https://www.npmjs.com/package/did-jwt-vc,40661.0,40661.0,1.0,,,,,,,,,,,,,,,,,,,
58,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,27,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3743.0,344.0,111.0,449.0,393.0,17231.0,2020-03-22 14:01:55,0.22.2,38.0,,,25.0,https://www.npmjs.com/package/face-api.js,159689.0,159689.0,3.0,,,,,,,,,,,,,,,,,,,
59,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,27,True,permify/permify,,https://github.com/Permify/permify,AGPL-3.0,2022-07-14 11:16:57,2025-05-17 14:29:37.000000,2025-05-17 14:29:35,4639.0,274.0,249.0,25.0,1910.0,55.0,257.0,5391.0,2025-05-15 08:39:55,1.3.9,100.0,4.0,4.0,65.0,,,331.0,3.0,ghcr.io/permify/permify,8283.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,
60,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],27,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2025-05-21 23:21:24.000000,2025-05-21 23:21:22,3414.0,99.0,281.0,52.0,2671.0,29.0,252.0,937.0,2025-05-17 00:34:11,1.12.17,100.0,354.0,354.0,94.0,,,,2.0,,,,,,,,,,,,,,,,,,,
