,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,github,github-id
71,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache License Version 2.0..",,,24,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2025-05-22 08:54:50.000000,2025-05-22 08:54:10,2575.0,28.0,348.0,29.0,117.0,2.0,124.0,1655.0,2025-03-31 23:29:37,4.1.7,68.0,,,51.0,,,295.0,3.0,maxkeytop/maxkey,,https://hub.docker.com/r/maxkeytop/maxkey,2025-03-29 23:51:26.519049,5.0,30109.0,,,,,,,,,,,,,
72,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2025-05-22 10:04:18.777682,2025-05-21 14:26:57,16180.0,76.0,342.0,50.0,7824.0,,,1242.0,,,,,,239.0,,,38560.0,3.0,freeipa/freeipa-server,,https://hub.docker.com/r/freeipa/freeipa-server,2025-05-22 10:04:18.777682,173.0,6015378.0,,,,,,,,,,,,,
73,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,24,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-05-12 13:05:46.000000,2024-09-24 13:03:05,4401.0,,125.0,45.0,1900.0,140.0,969.0,854.0,2025-04-30 17:07:19,1.22.0,78.0,,,106.0,,,67619.0,3.0,cyberark/conjur,1133.0,https://hub.docker.com/r/cyberark/conjur,2025-04-30 16:48:24.359425,30.0,7234028.0,,,,,,,,,,,,,
74,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,23,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2025-05-10 11:55:59.000000,2025-03-03 16:29:56,2035.0,1.0,209.0,31.0,545.0,57.0,101.0,5291.0,2025-02-18 15:31:39,0.8.0,48.0,,,69.0,,,6374.0,3.0,permitio/opal-server,1453.0,https://hub.docker.com/r/permitio/opal-server,2025-02-18 15:39:20.906277,1.0,323623.0,-1.0,,,,,,,,,,,,
75,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,23,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2025-05-21 19:11:52.000000,2025-05-20 18:20:40,4065.0,12.0,777.0,247.0,354.0,64.0,210.0,2875.0,2015-09-29 22:50:55,1.1.0,4.0,,,59.0,,,858.0,3.0,,118453.0,,,,,1.0,,,,,,,,,,,,
76,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,FIDO2 .NET library for FIDO2 / WebAuthn Attestation and Assertion using .NET.,,,23,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2025-02-21 13:56:02.000000,2025-02-21 13:56:01,651.0,,186.0,42.0,305.0,47.0,221.0,1271.0,2022-09-28 20:32:17,3.0.1,19.0,332.0,332.0,50.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,,
77,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],23,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2025-05-22 15:42:18.000000,2025-05-22 15:40:55,2719.0,46.0,192.0,181.0,967.0,71.0,1187.0,1237.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,81.0,,,,1.0,,,,,,,,,,,,,,,,,,,
78,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2025-05-22 12:49:28.000000,2025-05-19 07:32:35,1889.0,37.0,240.0,56.0,353.0,33.0,89.0,590.0,2022-01-07 16:42:38,0.5.0,6.0,,,118.0,,,1487.0,2.0,universalresolver/uni-resolver-web,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2025-05-19 07:36:03.976204,,138319.0,,,,,,,,,,,,,
79,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2025-05-22 17:26:56.000000,2025-05-22 17:26:56,14511.0,287.0,143.0,16.0,2117.0,91.0,2883.0,419.0,2023-06-16 12:51:58,11.4.3,55.0,,,92.0,,,105.0,3.0,,9504.0,,,,,,,,,,,,,,,,,
80,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2025-05-22 15:36:34.000000,2025-05-22 15:32:38,1157.0,43.0,201.0,28.0,1432.0,203.0,613.0,299.0,2025-05-09 12:55:46,0.5.15,100.0,,,73.0,,,,2.0,,,,,,,,,,,,,,,,,,,
81,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],23,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2025-05-12 07:10:04.000000,2025-05-12 03:23:00,319.0,14.0,17.0,14.0,125.0,1.0,11.0,90.0,2025-03-29 02:34:05,2.0.30,41.0,1330.0,1330.0,12.0,https://www.npmjs.com/package/web-did-resolver,37299.0,37299.0,2.0,,,,,,,,,,,,,,,,,,,
82,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2025-05-16 19:09:54.000000,2025-05-16 19:09:20,15167.0,35.0,670.0,109.0,19.0,,,701.0,,,,171.0,171.0,745.0,,,,3.0,,,,,,,,,,,,,,,,,,,
83,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,22,True,passwordless-id/webauthn,passwordless-id/webauthn,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2025-03-16 21:06:42.000000,2025-03-16 21:05:50,276.0,4.0,56.0,7.0,33.0,,55.0,532.0,2025-03-16 21:06:42,2.3.0,37.0,5100.0,5100.0,19.0,https://www.npmjs.com/package/passwordless-id/webauthn,,,3.0,,,,,,,,,,,,,,,,,,,
84,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],22,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2025-05-16 23:01:57.000000,2025-05-12 01:36:55,403.0,4.0,42.0,22.0,132.0,3.0,18.0,218.0,2023-03-08 14:05:37,4.1.0,24.0,7392.0,7392.0,24.0,,,,2.0,,,,,,,,,,,,,,,,,,,
85,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,22,True,walt-id/waltid-identity,,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2025-05-22 12:21:45.000000,2025-05-22 12:08:41,4923.0,375.0,65.0,8.0,837.0,21.0,210.0,170.0,2025-05-07 10:22:09,0.14.0,100.0,1.0,1.0,29.0,,,,2.0,waltid/identity,,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,,
86,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],22,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2025-05-22 17:18:07.000000,2025-05-22 17:16:34,1989.0,64.0,148.0,26.0,1239.0,31.0,252.0,166.0,2025-05-12 20:18:37,2.1.2,6.0,,,57.0,,,,1.0,,,,,,,,,,,openwallet-foundation/bifold-wallet,,,,,,,,
87,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],22,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2025-05-20 08:04:52.000000,2025-05-20 08:03:22,2967.0,91.0,38.0,14.0,3808.0,55.0,101.0,74.0,2025-05-09 12:38:10,2.5.0,35.0,961.0,961.0,25.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,,
88,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,21,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,561.0,411.0,24.0,1.0,143.0,28643.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,29052.0,3.0,,1365475.0,,,,,,,,,,,,,,,,,
89,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-02-02 15:58:38.000000,2025-02-02 15:58:38,586.0,,319.0,61.0,158.0,251.0,603.0,6256.0,2020-09-02 15:57:23,2.6.1,11.0,,,67.0,,,266.0,3.0,,23222.0,,,,,,,,,,,,,,,howdy,,
90,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,21,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2025-03-13 00:50:41.000000,2025-01-14 19:47:39,643.0,,297.0,60.0,236.0,4.0,131.0,4069.0,2022-02-09 12:50:28,1.0.1,2.0,11.0,11.0,41.0,,,,3.0,,,,,,,,,,,,,,,,,,,
91,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],21,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2025-04-23 13:34:24.000000,2025-04-22 20:11:48,414.0,3.0,755.0,95.0,353.0,178.0,361.0,1866.0,2025-04-23 13:34:24,2.0.0,33.0,,,52.0,,,,3.0,,,,,,,,,,,,,,,,,,,
92,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],21,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2025-03-21 12:07:15.000000,2025-03-21 12:07:15,805.0,2.0,51.0,14.0,239.0,29.0,87.0,79.0,2024-02-13 10:21:42,0.2.0,30.0,72.0,72.0,27.0,,,9185.0,2.0,,257185.0,,,,,,,,,,,,,,,,,
93,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4692.0,557.0,122.0,508.0,622.0,14086.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,
94,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,102.0,18.0,545.0,42.0,238.0,326.0,2024-10-23 19:02:40,0.5.2,62.0,482.0,482.0,48.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,decentralized-identity/dwn-sdk-js,,,,,,,,
95,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,160.0,19.0,2046.0,388.0,1196.0,240.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,62.0,,,,2.0,,,,,,,,,,,hyperledger-aries/aries-framework-go,,,,,,,,
96,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,20,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,,123.0,26.0,362.0,51.0,75.0,225.0,2025-02-10 16:01:17,8.5.1,51.0,38.0,38.0,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,
97,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],19,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2025-05-11 12:22:33.000000,2025-05-11 12:22:32,1306.0,5.0,292.0,90.0,521.0,31.0,168.0,3127.0,2021-06-23 10:02:43,ctap2.0,1.0,,,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,
98,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2025-05-01 17:30:05.000000,2025-05-01 17:30:05,152.0,1.0,296.0,93.0,43.0,28.0,24.0,2931.0,,,,1.0,1.0,27.0,,,2167.0,3.0,,,,,,,,pyja3,https://pypi.org/project/pyja3,2167.0,,,,,,,,,
99,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],19,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2025-03-10 21:46:47.000000,2025-02-24 16:33:21,4946.0,4.0,658.0,64.0,1821.0,38.0,60.0,696.0,2024-02-09 14:17:29,1.13.2,37.0,,,110.0,,,11.0,2.0,,844.0,,,,,,,,,,,,,,,,,
100,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,19,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2025-05-22 01:46:20.000000,2025-05-22 01:45:05,2625.0,93.0,81.0,19.0,939.0,4.0,133.0,498.0,2025-05-12 16:55:03,0.29.2.RELEASE,77.0,,,33.0,,,,3.0,,,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,
101,aries-rfcs,https://github.com/decentralized-identity/aries-rfcs,specs,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],19,True,hyperledger/aries-rfcs,,https://github.com/decentralized-identity/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2025-05-19 11:18:19.000000,2025-03-12 15:21:23,2409.0,11.0,212.0,54.0,647.0,56.0,175.0,333.0,,,,,,94.0,,,,1.0,,,,,,,,,,,decentralized-identity/aries-rfcs,,,,,,,,
102,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,19,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2025-05-13 16:12:41.000000,2025-05-13 16:12:39,632.0,13.0,63.0,34.0,450.0,93.0,120.0,210.0,,,,184.0,184.0,31.0,,,,2.0,,,,,,,,,,,,,,,,,,,
103,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Privado ID.,,,19,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2025-05-22 17:02:07.000000,2025-05-13 10:06:52,530.0,6.0,36.0,4.0,261.0,6.0,39.0,67.0,2025-05-13 10:12:57,1.28.1,94.0,250.0,250.0,19.0,,,,2.0,,,,,,,,,,,,,,,,,,,
104,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,19,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2025-05-20 14:23:44.000000,2025-05-20 14:23:44,2924.0,120.0,57.0,11.0,687.0,179.0,126.0,64.0,,,1.0,55.0,55.0,30.0,,,,2.0,,,,,,,,,,,,,,,,,,,
105,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],18,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2025-03-10 20:57:13.000000,2025-03-10 20:57:13,343.0,2.0,883.0,247.0,251.0,202.0,554.0,3011.0,,,,,,49.0,,,,3.0,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,
106,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2025-03-12 16:19:08.000000,2025-03-12 16:19:03,164.0,2.0,218.0,64.0,107.0,2.0,59.0,2422.0,2024-03-06 13:35:30,1.3.0,41.0,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,
107,warrant,https://github.com/warrant-dev/warrant,authorization,"Warrant is a highly scalable, centralized authorization service based on Google Zanzibar. Use it to define, enforce,..",,,18,True,warrant-dev/warrant,,https://github.com/warrant-dev/warrant,Apache-2.0,2023-02-14 23:22:46,2025-04-16 23:04:42.000000,2025-01-13 21:37:13,287.0,,49.0,6.0,308.0,16.0,22.0,1272.0,2024-06-10 20:02:54,1.15.1,100.0,4.0,4.0,5.0,,,95.0,3.0,warrantdev/warrant,2385.0,https://hub.docker.com/r/warrantdev/warrant,,,,,,,,,,,,,,,,
108,ion,https://github.com/decentralized-identity/ion,dids,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,False,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,164.0,85.0,184.0,73.0,69.0,1229.0,2022-06-09 01:42:53,1.0.4,17.0,,,32.0,,,,2.0,,,,,,,,,,,,,,,,,,,
109,webauthn-json,https://github.com/github/webauthn-json,authentication,A small WebAuthn API wrapper that translates to/from pure JSON using base64url.,,,18,True,github/webauthn-json,github/webauthn-json,https://github.com/github/webauthn-json,MIT,2019-07-01 18:52:54,2024-09-01 14:13:33.000000,2024-05-03 13:27:43,284.0,,59.0,310.0,33.0,9.0,43.0,783.0,2023-01-31 02:32:05,2.1.1,52.0,27.0,27.0,13.0,https://www.npmjs.com/package/github/webauthn-json,,,3.0,,,,,,,,,,,,,,,,,,,
110,solid-specification,https://github.com/solid/specification,specs,Solid Technical Reports.,,['solid'],18,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2025-05-22 11:40:21.000000,2025-05-22 11:40:19,1242.0,30.0,46.0,51.0,305.0,189.0,151.0,515.0,2021-12-21 13:00:06,protocol-v0.9.0,1.0,,,28.0,,,,2.0,,,,,,,,,,,,,,,,,,,
111,sidetree,https://github.com/decentralized-identity/sidetree,specs,Sidetree Specification and Reference Implementation.,,['dif'],18,False,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2024-12-12 16:15:38.000000,2023-04-04 19:14:54,1149.0,,106.0,39.0,684.0,37.0,441.0,438.0,2021-03-09 22:06:35,1.0.2,12.0,,,47.0,,,,2.0,,,,,,,,,,,,,,,,,,,
112,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],18,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2024-12-11 23:50:38.000000,2024-10-03 18:09:33,367.0,,56.0,13.0,399.0,49.0,107.0,208.0,2024-10-03 18:13:37,0.0.1-beta,5.0,59.0,59.0,23.0,,,,2.0,,,,,,,,,,,,,,,,,,,
113,digitalbazaar-vc,https://github.com/digitalbazaar/vc,ssi-sdks,W3C Verifiable Credentials implementation in JavaScript.,,,18,True,digitalbazaar/vc,,https://github.com/digitalbazaar/vc,BSD-3-Clause,2017-10-24 20:45:37,2025-04-15 01:25:24.000000,2025-04-15 01:25:23,551.0,13.0,48.0,16.0,103.0,24.0,68.0,200.0,,,,548.0,548.0,15.0,,,,2.0,,,,,,,,,,,,,,,,,,,
114,solid-project,https://github.com/solid/solid,specs,Solid - Re-decentralizing the web (project directory).,,['solid'],17,False,solid/solid,,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2022-08-24 14:54:37.000000,2022-05-27 15:42:07,132.0,,368.0,557.0,56.0,125.0,88.0,8147.0,,,,,,22.0,,,,2.0,,,,,,,,,,,,,,,,,,,
115,spiffe,https://github.com/spiffe/spiffe,machine,The SPIFFE Project.,,"['cncf', 'linux-foundation']",17,True,spiffe/spiffe,,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2025-05-14 21:53:47.000000,2025-05-14 21:53:47,588.0,5.0,164.0,80.0,252.0,28.0,55.0,1573.0,,,,,,66.0,,,,3.0,,,,,,,,,,,,,,,,,,,
116,libfido2,https://github.com/Yubico/libfido2,authentication,"Provides library functionality for FIDO2, including communication with a device over USB or NFC.",,,17,False,yubico/libfido2,,https://github.com/Yubico/libfido2,,2018-04-19 06:32:10,2025-05-06 13:23:56.000000,2025-05-06 11:35:07,1960.0,12.0,153.0,63.0,531.0,5.0,238.0,642.0,,,,,,68.0,,,,3.0,,,,,,,,,,,,,,,,,,,
117,did-core,https://github.com/w3c/did,specs,W3C Decentralized Identifier Specification.,,['w3c'],17,True,w3c/did-core,,https://github.com/w3c/did,W3C,2019-09-10 07:46:26,2025-05-22 15:37:16.000000,2025-05-05 00:33:28,1395.0,30.0,97.0,76.0,510.0,9.0,365.0,424.0,,,,,,69.0,,,,2.0,,,,,,,,,,,w3c/did,,,,,,,,
118,vc-data-model,https://github.com/w3c/vc-data-model,specs,W3C Verifiable Credentials v2.0 Specification.,,['w3c'],17,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2025-05-15 21:05:49.000000,2025-05-15 21:05:38,2239.0,15.0,102.0,83.0,849.0,7.0,715.0,314.0,,,,,,80.0,,,,2.0,,,,,,,,,,,,,,,,,,,
119,barbican,https://github.com/openstack/barbican,pki,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",,['openstack'],17,True,openstack/barbican,,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2025-05-07 22:17:44.000000,2025-05-07 20:39:16,3729.0,29.0,73.0,25.0,8.0,,,241.0,,,,,,301.0,,,,3.0,,,,,,,,,,,,,,,,,,,
120,web5-js,https://github.com/decentralized-identity/web5-js,ssi-sdks,Monorepo for the Web5 JS TypeScript implementation.,,['web5'],17,True,TBD54566975/web5-js,web5/api,https://github.com/decentralized-identity/web5-js,Apache-2.0,2023-03-06 19:11:53,2025-03-01 10:03:25.000000,2024-10-22 22:16:06,743.0,,54.0,6.0,818.0,102.0,145.0,137.0,2024-10-22 22:17:48,@web5/api@0.12.0,100.0,71.0,71.0,32.0,https://www.npmjs.com/package/web5/api,,,3.0,,,,,,,,,,,decentralized-identity/web5-js,,,,,,,,
121,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,17,True,walt-id/waltid-ssikit,,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2024-07-16 13:58:31.000000,2024-07-16 13:58:10,1535.0,,35.0,7.0,197.0,,166.0,109.0,2023-12-13 10:55:46,1.2312131048.0,98.0,,,17.0,,,525.0,3.0,waltid/ssikit,131.0,https://hub.docker.com/r/waltid/ssikit,2023-12-13 10:55:45.426370,,23504.0,,,,,,,,,,,,,
122,laragear-webauthn,https://github.com/Laragear/WebAuthn,authentication,"Authenticate users with Passkeys: fingerprints, patterns and biometric data.",,,16,True,laragear/webauthn,,https://github.com/Laragear/WebAuthn,MIT,2022-06-14 09:13:53,2025-05-09 23:26:19.000000,2025-05-09 23:25:49,167.0,5.0,41.0,3.0,61.0,,44.0,352.0,2025-05-09 23:26:19,4.0.1,23.0,,,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,
123,django-passkeys,https://github.com/mkalioby/django-passkeys,authentication,Django Authentication Backend For Passkeys.,,,16,True,mkalioby/django-passkeys,,https://github.com/mkalioby/django-passkeys,MIT,2022-10-28 09:46:58,2025-04-02 15:12:32.000000,2025-04-02 15:09:52,64.0,2.0,24.0,10.0,23.0,14.0,16.0,218.0,2025-04-02 15:12:32,1.2.8.1,2.0,18.0,18.0,4.0,,,846.0,3.0,,,,,,,,django-passkeys,https://pypi.org/project/django-passkeys,846.0,,,,,,,,,
124,procivis-one-wallet,https://github.com/procivis/one-wallet,ssi-agents,"Digital wallet with eIDAS 2.0 compliancy, ISO 18013-5 mdocs, IETF SD-JWT VC, OID4VC, and W3C VCs.",,['w3c'],16,True,procivis/one-wallet,,https://github.com/procivis/one-wallet,Apache-2.0,2024-09-23 08:17:29,2025-05-19 12:55:44.000000,2025-05-19 12:55:38,1157.0,101.0,9.0,6.0,,,,138.0,2025-05-22 07:44:17,1.52.0-prociis,2.0,,,,,,4.0,2.0,,12.0,,,,,5.0,,,,,,,,,,,,
125,cf-identity-wallet,https://github.com/cardano-foundation/veridian-wallet,ssi-agents,Veridian Wallet is an open source mobile application developed by the Cardano Foundation. Built on the KERI and ACDC..,,,16,True,cardano-foundation/cf-identity-wallet,,https://github.com/cardano-foundation/veridian-wallet,Apache-2.0,2022-12-19 13:49:48,2025-05-22 15:13:26.000000,2025-05-22 08:48:12,1380.0,190.0,20.0,16.0,1179.0,7.0,5.0,122.0,2025-05-01 08:44:32,1.0.1,2.0,,,16.0,,,,2.0,,,,,,,,,,,cardano-foundation/veridian-wallet,,,,,,,,
