,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,trending,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
72,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-10-09 06:25:26.000000,2023-10-06 17:10:29,14874.0,649.0,114.0,17.0,667.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,719.0,22,True,18.0,,,,,116.0,,3.0,,,,116.0,,,,,,,,,,,,,,,,,,
73,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-09-01 12:06:39.000000,2023-09-01 12:06:39,3196.0,155.0,20.0,2044.0,232.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,58.0,22,True,13.0,14.0,387.0,1196.0,2023-05-09 10:57:15,2.0,,2.0,0.3.2,,,2.0,,,,,,,,,,,,,,,,,,
74,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-10-16 03:13:34.000000,2023-10-16 01:56:21,270.0,15.0,14.0,113.0,75.0,DID resolver for HTTPS domains.,12.0,22,False,15.0,38.0,1.0,10.0,2023-07-03 18:25:08,740.0,21573.0,2.0,2.0.27,,,740.0,,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,21573.0,,,,,,,,,,
75,deepfacelive,iperov/DeepFaceLive,,,face,,https://github.com/iperov/DeepFaceLive,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,2711.0,270.0,25.0,18641.0,Real-time face swap for PC streaming or video calls.,11.0,21,True,1.0,35.0,1.0,142.0,2023-01-21 09:26:53,,21938.0,3.0,TINA_SHIFT,614271.0,,,,,,,,,,,,,,,,,,,,
76,webauthn,w3c/webauthn,,,standards,['w3c'],https://github.com/w3c/webauthn,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-10-12 22:36:42.000000,2023-10-11 18:56:38,2154.0,149.0,172.0,826.0,1033.0,Web Authentication: An API for accessing Public Key Credentials.,72.0,21,True,70.0,7.0,83.0,1022.0,2018-03-20 13:11:25,,,1.0,CR-00-20180320,,,,,,,,,,,,,,,,,,,,,
77,sidetree,decentralized-identity/sidetree,,,standards,['dif'],https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-09-28 17:59:07.000000,2023-04-04 19:14:54,1149.0,102.0,41.0,680.0,429.0,Sidetree Specification and Reference Implementation.,47.0,21,True,,12.0,37.0,441.0,2021-03-09 22:06:35,30.0,,1.0,1.0.2,,,30.0,,,,,,,,,,,,,,,,,,
78,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-10-19 12:59:45.000000,2023-10-19 12:56:58,828.0,142.0,26.0,981.0,207.0,Aries Framework JavaScript (Built using TypeScript).,56.0,21,True,44.0,77.0,165.0,433.0,2023-10-05 13:35:35,2.0,,2.0,0.4.2,,,2.0,,,,,,,,,,,,,,,,,,
79,facenet,davidsandberg/facenet,,,face,,https://github.com/davidsandberg/facenet,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,4660.0,567.0,122.0,13235.0,Face recognition using Tensorflow.,36.0,20,False,,,497.0,618.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
80,gotrue,netlify/gotrue,,,idp,,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-09-08 01:18:12.000000,2023-08-31 21:53:17,639.0,267.0,66.0,220.0,3577.0,An SWT based API for managing users and issuing SWT tokens.,39.0,20,True,1.0,2.0,9.0,120.0,2022-02-09 12:50:28,10.0,,3.0,1.0.1,,,10.0,,,,,,,,,,,,,,,,,,
81,appauth-ios,openid/appauth-ios,,,authentication,['openid'],https://github.com/openid/AppAuth-iOS,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-10-18 18:12:05.000000,2023-10-18 18:11:59,393.0,649.0,93.0,306.0,1597.0,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,49.0,20,True,2.0,25.0,151.0,321.0,2023-05-01 17:52:41,,,3.0,1.6.2,,,,,,,,,,,,,,,,,,,,,
