,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,updated_github_id,gem_url,apt_id
40,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-12-26 14:55:14.000000,2023-12-18 20:11:16,136.0,13.0,5856.0,461.0,197.0,,,53308.0,10.0,21.0,21.0,66.0,,,232239.0,3.0,,2023-11-17 19:59:53,20231117,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,232239.0,,,,,,,,
41,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-11-22 21:08:05.000000,2023-11-17 02:09:55,1783.0,4.0,12586.0,1526.0,514.0,18.0,818.0,47982.0,4.0,,,97.0,,,3461.0,3.0,,2023-06-18 18:08:19,2.2.0,200762.0,,,,,,,,,,,,,,,
42,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,28,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-12-28 15:55:13.000000,2023-12-27 01:27:06,5099.0,317.0,972.0,158.0,4942.0,68.0,1092.0,18260.0,100.0,,,141.0,,,650.0,2.0,,2022-12-21 09:01:04,4.37.5,30587.0,,,,,,,,,,,,,,,
43,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is an Auth0 alternative designed for modern apps and SaaS..,,,28,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-12-28 10:35:33.000000,2023-12-28 10:32:07,5443.0,591.0,281.0,35.0,4802.0,76.0,250.0,6597.0,52.0,8.0,8.0,45.0,,,959.0,2.0,svhd/logto,2023-12-06 09:10:56,1.12.0,2855.0,https://hub.docker.com/r/svhd/logto,2023-12-27 05:47:21.677349,2.0,24522.0,,,,,,,,,,,
44,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-12-27 01:24:29.000000,2023-12-21 18:07:06,6402.0,92.0,540.0,139.0,4333.0,179.0,2703.0,4864.0,97.0,,,127.0,,,21106.0,2.0,letsencrypt/boulder-tools,2023-12-11 22:36:34,release-2023-12-11,63104.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-12-20 18:46:54.576324,13.0,1955122.0,,,,,,,,,,,
45,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,28,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-12-20 18:52:35.000000,2023-12-20 18:11:56,1209.0,9.0,163.0,31.0,1525.0,108.0,101.0,3321.0,100.0,81.0,81.0,65.0,,,35745.0,3.0,,2023-12-20 19:06:36,0.27.2,2677.0,,,,,oso,https://pypi.org/project/oso,35667.0,,,,,,,,
46,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-12-15 14:20:58.000000,2023-09-08 08:05:44,1354.0,,323.0,48.0,717.0,49.0,277.0,3127.0,100.0,2.0,2.0,109.0,,,1170323.0,3.0,oryd/oathkeeper,2023-07-18 10:23:06,0.40.6,33134.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,34.0,87740251.0,,,,,,,,,,,
47,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-12-28 07:24:00.000000,2023-12-28 07:24:00,1472.0,88.0,94.0,28.0,1563.0,50.0,273.0,2163.0,55.0,19.0,19.0,24.0,,,1593.0,3.0,ghcr.io/cerbos/cerbos,2023-11-30 08:51:39,0.32.0,52573.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
48,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],28,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-12-25 19:46:26.000000,2023-12-18 01:27:29,384.0,11.0,41.0,24.0,127.0,3.0,18.0,198.0,24.0,5344.0,5344.0,24.0,https://www.npmjs.com/package/did-resolver,169977.0,169977.0,2.0,,2023-03-08 14:05:37,4.1.0,,,,,,,,,,,,,,,,
49,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2023-12-25 04:04:10.000000,2023-12-25 01:38:43,454.0,22.0,66.0,29.0,143.0,5.0,47.0,183.0,55.0,1429.0,1429.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,22768.0,22768.0,2.0,,2023-12-20 12:07:30,10.1.1,,,,,,,,,,,,,,,,
