,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,pypi_id,pypi_url,pypi_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
13,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,42,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-08-17 20:01:11.000000,2025-08-17 20:01:11,1779.0,10.0,483.0,64.0,513.0,83.0,303.0,2926.0,2025-06-20 05:53:03,3.3.1,50.0,638470.0,638470.0,200.0,,,196883903.0,1.0,,oauthlib,https://pypi.org/project/oauthlib,196883903.0,-1.0,,,,,,,,,,,,,,
14,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-09-15 21:28:26.000000,2025-09-15 21:28:26,4358.0,143.0,2231.0,230.0,4923.0,234.0,2203.0,13522.0,2025-09-09 00:12:27,1.12.4,74.0,14034.0,14034.0,446.0,,,2905973.0,1.0,9244626.0,,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2025-09-09 00:14:02.875895,162.0,321522840.0,,,,,,,,,
15,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-09-18 18:05:31.000000,2025-09-18 18:05:31,5882.0,145.0,1444.0,133.0,5064.0,376.0,2433.0,10701.0,2025-08-28 15:13:34,1.8.0,100.0,5919.0,5919.0,535.0,,,5462285.0,1.0,17936013.0,,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-09-18 09:41:06.443670,44.0,605240463.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-09-07 11:51:12.000000,2025-09-07 11:51:12,2063.0,63.0,2740.0,173.0,302.0,9.0,1196.0,20546.0,2025-08-05 20:40:18,0.0.95,15.0,8362.0,8362.0,96.0,,,258339.0,1.0,,deepface,https://pypi.org/project/deepface,258339.0,,,,,,,,,,,,,,,
17,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-09-18 13:39:22.000000,2025-08-13 08:47:19,10549.0,11.0,1521.0,134.0,1396.0,124.0,1043.0,10453.0,2025-04-07 17:05:07,1.0.3,14.0,3876.0,3876.0,263.0,,,1530909.0,1.0,,speechbrain,https://pypi.org/project/speechbrain,1530909.0,,,,,,,,,,,,,,,
18,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-09-17 09:58:41.000000,2025-09-17 09:58:16,1613.0,66.0,493.0,60.0,278.0,116.0,401.0,5001.0,2025-08-26 12:13:32,1.6.3,44.0,45811.0,45811.0,131.0,,,36324961.0,1.0,,authlib,https://pypi.org/project/authlib,36324961.0,,,,,,,authlib/authlib,,,,,,,,
19,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-09-18 14:11:08.000000,2025-09-18 14:07:51,1132.0,19.0,1683.0,240.0,555.0,18.0,845.0,19152.0,2025-09-18 14:09:15,2.126.0,100.0,3515.0,3515.0,158.0,https://www.npmjs.com/package/casbin,424181.0,1215888.0,1.0,,casbin,https://pypi.org/project/casbin,791707.0,,,,,,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-09-18 17:02:23.000000,2025-09-18 17:02:22,21834.0,408.0,4322.0,788.0,24980.0,1147.0,5250.0,33149.0,2025-08-28 18:21:23,1.20.3,100.0,14997.0,14997.0,1613.0,,,,1.0,,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1227.0,298.0,162.0,353.0,430.0,23416.0,,,,1313630.0,1313630.0,38.0,https://www.npmjs.com/package/passport,17281400.0,17281400.0,2.0,,,,,,,,,,,,,,,,,,,
22,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13437.0,1564.0,243.0,773.0,598.0,55459.0,2018-04-02 17:18:43,1.2.2,2.0,5543.0,5543.0,54.0,,,179509.0,2.0,1431.0,face_recognition,https://pypi.org/project/face_recognition,179399.0,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9853.0,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-09-17 13:27:53.000000,2025-09-17 13:27:47,4194.0,131.0,1475.0,239.0,1920.0,81.0,1484.0,16601.0,2025-01-17 08:51:44,2.3.0,100.0,,,314.0,,,3461744.0,2.0,993990.0,,,,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,78.0,427871449.0,,,,https://k8s.ory.sh/helm/charts,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-09-16 05:07:37.000000,2025-08-12 14:47:33,1669.0,8.0,284.0,40.0,476.0,19.0,478.0,6527.0,2025-08-07 05:11:22,@casl/prisma@1.5.2,100.0,101317.0,101317.0,73.0,https://www.npmjs.com/package/@casl/ability,3143447.0,3143447.0,2.0,,,,,,,,,,,,,,,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-09-18 16:02:07.529640,2025-09-18 15:46:00,2920.0,128.0,1419.0,79.0,2031.0,110.0,1746.0,12270.0,2025-09-18 15:55:33,2.63.0,100.0,12.0,12.0,251.0,,,12666.0,1.0,,,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-09-18 16:02:07.529640,21.0,747348.0,,,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-09-13 11:36:18.000000,2025-09-11 11:32:04,4894.0,9.0,1924.0,188.0,1904.0,253.0,1750.0,12235.0,2025-03-05 07:11:35,r1.5.0,17.0,160.0,160.0,158.0,,,568189.0,2.0,,paddlepaddle,https://pypi.org/project/paddlepaddle,568189.0,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-09-18 17:05:35.478243,2025-09-18 08:17:02,29656.0,1208.0,3920.0,595.0,6309.0,,,11327.0,2025-09-06 14:22:30,7.1.6.1,100.0,21.0,21.0,365.0,,,7692.0,1.0,767.0,,,,-1.0,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-09-18 17:05:35.478243,131.0,1289407.0,,,,,,,,,
28,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-09-17 15:14:46.000000,2025-09-17 15:11:56,9719.0,67.0,555.0,56.0,7274.0,,1780.0,4564.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,188.0,188.0,318.0,,,10167.0,2.0,406693.0,,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
29,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-09-18 17:18:32.000000,2025-09-17 17:43:45,3905.0,120.0,310.0,43.0,4708.0,104.0,961.0,4453.0,2025-09-08 20:57:56,0.30.6,100.0,22.0,22.0,97.0,,,20162421.0,2.0,68066.0,,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-09-17 18:25:15.308050,13.0,1612905999.0,,,,,,,,,
30,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-08-29 19:50:31.000000,2025-08-29 19:49:56,2710.0,44.0,764.0,68.0,263.0,,,3534.0,2025-08-29 19:50:36,9.5.1,100.0,1866.0,1866.0,75.0,https://www.npmjs.com/package/oidc-provider,709605.0,709605.0,2.0,,,,,,,,,,,,,,,,,,,
31,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-09-18 17:35:31.000000,2025-09-17 17:42:04,7352.0,112.0,516.0,77.0,4689.0,147.0,1483.0,2060.0,2025-08-18 18:03:15,1.12.5,100.0,172.0,172.0,227.0,,,12022.0,2.0,781447.0,,,,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,
32,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-08-18 12:46:19.000000,2025-08-18 12:46:19,2371.0,4.0,5689.0,510.0,198.0,1199.0,1393.0,26548.0,2023-04-02 07:43:27,0.7,1.0,4744.0,4744.0,66.0,,,340244.0,2.0,9867029.0,,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,205.0,,,,,,,,,
33,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-09-18 11:17:50.000000,2025-09-18 08:28:37,8103.0,541.0,1267.0,159.0,8112.0,55.0,1318.0,25276.0,2025-09-15 09:11:13,4.39.10,100.0,,,253.0,,,1060.0,2.0,63623.0,,,,,,,,,,,,,,,,,,
34,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],32,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-09-17 16:41:02.000000,2025-09-17 16:40:55,4814.0,114.0,1014.0,114.0,2219.0,161.0,1249.0,12335.0,2024-10-28 10:21:42,1.3.1,47.0,,,239.0,,,1303957.0,2.0,54394.0,,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,20.0,114677926.0,,,,https://k8s.ory.sh/helm/charts,,,,,
35,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-09-18 18:13:45.000000,2025-09-17 21:39:16,5111.0,186.0,333.0,51.0,1967.0,90.0,436.0,6047.0,2025-09-16 18:18:46,1.45.4,100.0,127.0,127.0,65.0,,,116126.0,2.0,199753.0,,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-09-16 18:27:17.667580,7.0,5472733.0,,,,,,,,,
36,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,31,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-09-08 10:58:26.000000,2025-06-26 01:05:47,166.0,8.0,10821.0,674.0,321.0,,,88348.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,1115682.0,3.0,,openai-whisper,https://pypi.org/project/openai-whisper,1115682.0,,,,,,,,,,,,,,,
37,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-09-18 12:05:09.000000,2025-09-18 11:36:37,18865.0,1119.0,1293.0,71.0,12960.0,713.0,2680.0,18144.0,2025-09-16 15:19:06,ersion/2025.8.3,100.0,,,428.0,,,243.0,2.0,6820.0,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
38,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-09-18 15:56:46.000000,2025-09-18 10:23:08,7785.0,289.0,603.0,51.0,6973.0,162.0,545.0,10791.0,2025-08-29 08:55:14,1.31.0,74.0,29.0,29.0,79.0,,,5957.0,2.0,6244.0,,,,,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-09-18 10:28:13.389573,5.0,296056.0,,,,,,,,,
39,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-09-17 13:27:36.000000,2025-09-17 13:27:33,1717.0,96.0,365.0,56.0,1356.0,36.0,291.0,5127.0,2025-03-06 12:24:46,0.14.0,53.0,39.0,39.0,79.0,,,570360.0,2.0,31455.0,,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51297967.0,,,,,,,,,
40,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-09-18 17:47:34.000000,2025-09-18 17:41:31,4813.0,133.0,289.0,195.0,5677.0,105.0,280.0,3969.0,2025-07-10 13:03:54,0.19.3,70.0,11.0,11.0,193.0,,,303247.0,3.0,,,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-07-10 13:10:28.292982,18.0,20620832.0,,,,,,,,,
41,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-09-17 13:30:58.000000,2025-09-17 13:30:02,1512.0,70.0,369.0,49.0,761.0,61.0,300.0,3473.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,117.0,,,941164.0,3.0,60580.0,,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90289961.0,,,,,,,,,
42,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-09-18 17:19:29.000000,2025-09-18 17:19:29,17107.0,833.0,872.0,112.0,8754.0,1353.0,15456.0,843.0,2025-02-28 19:19:04,7.1.0,100.0,,,725.0,,,14817.0,2.0,18445.0,,,,-1.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,37.0,1980598.0,,,,,,,,,
43,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,31,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-06-19 04:53:23.000000,2025-02-10 21:50:06,3612.0,,417.0,29.0,553.0,94.0,358.0,593.0,2025-02-10 21:52:03,7.5.2,53.0,2098.0,2098.0,175.0,,,1913491.0,2.0,,pysaml2,https://pypi.org/project/pysaml2,1913491.0,,,,,,,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-09-18 16:06:34.000000,2025-09-18 10:17:23,3963.0,217.0,810.0,58.0,6717.0,760.0,2356.0,11737.0,2025-09-18 10:45:22,4.2.2,100.0,1.0,1.0,216.0,,,1747.0,3.0,10482.0,,,,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,
45,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-09-18 13:45:59.000000,2025-09-18 13:45:59,3461.0,116.0,1728.0,175.0,2858.0,325.0,852.0,10205.0,2025-09-01 13:23:20,2.44.0,92.0,175.0,175.0,279.0,,,2.0,2.0,358.0,,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,
46,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-08-29 11:36:50.000000,2025-08-29 11:36:50,2517.0,10.0,1036.0,106.0,878.0,45.0,849.0,5431.0,2025-04-04 08:29:47,5.8.2,70.0,10640.0,10640.0,333.0,,,,2.0,,,,,,,,,,,,,,,,doorkeeper,,,
47,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-09-15 19:08:01.000000,2025-09-15 19:08:01,2485.0,93.0,261.0,22.0,2600.0,224.0,855.0,4040.0,2025-08-22 03:43:02,1.7.3,44.0,42.0,42.0,128.0,,,8133.0,3.0,420.0,,,,1.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-08-31 13:31:49.732684,4.0,642073.0,,,,,,,,,
48,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-09-18 14:38:11.000000,2025-09-10 11:33:16,2953.0,34.0,128.0,62.0,323.0,35.0,317.0,988.0,2025-09-03 07:38:43,5.8.0,45.0,194.0,194.0,48.0,,,158362.0,2.0,28423.0,yubikey-manager,https://pypi.org/project/yubikey-manager,158104.0,-1.0,,,,,,,,,,,,,,
49,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-09-18 01:15:24.000000,2025-09-15 02:28:39,664.0,10.0,71.0,38.0,232.0,6.0,86.0,362.0,2025-08-25 22:29:37,8.0.18,100.0,6018.0,6018.0,42.0,https://www.npmjs.com/package/did-jwt,316356.0,316356.0,1.0,,,,,1.0,,,,,,,,,,,,,,
50,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-09-18 16:53:41.000000,2025-09-12 18:34:41,7122.0,91.0,610.0,138.0,5149.0,177.0,3046.0,5562.0,2025-09-08 18:36:45,0.20250908.0,100.0,,,141.0,,,17413.0,2.0,38683.0,,,,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-08-15 20:40:31.917769,13.0,2019502.0,,,,,,,,,
51,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-09-18 13:19:02.000000,2025-09-18 13:19:02,2126.0,86.0,166.0,34.0,2261.0,44.0,354.0,4057.0,2025-08-01 06:13:35,0.46.0,70.0,33.0,33.0,33.0,,,2393.0,3.0,129224.0,,,,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
52,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-09-18 18:15:29.000000,2025-09-18 13:08:27,7685.0,332.0,382.0,39.0,1376.0,4.0,320.0,1565.0,2025-09-17 16:58:52,is-7.3.2,91.0,2958.0,2958.0,338.0,,,,2.0,,,,,,,,,,,DuendeSoftware/products,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3499.0,748.0,77.0,5.0,382.0,15412.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1359.0,3.0,,,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163126.0,,,,,,,,,
