,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,new_addition,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url
45,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-04-14 12:29:59.000000,2023-04-14 12:25:47,748.0,117.0,28.0,872.0,176,Aries Framework JavaScript (Built using TypeScript).,50.0,21,True,113.0,145.0,391.0,74.0,2023-01-18 18:22:49,2.0,,2,True,0.3.3,,2.0,,,,,,,,,,,,,,,,,
46,aries-rfcs,hyperledger/aries-rfcs,aries,,decentralized,https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-04-03 19:31:37.000000,2023-03-31 16:40:35,2105.0,202.0,59.0,563.0,295,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,20.0,47.0,169.0,,,,,2,True,,,,,,,,,,,,,,,,,,,,
47,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-04-03 22:55:54.000000,2023-03-06 15:22:41,531.0,12.0,5.0,505.0,23,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,7.0,3.0,77.0,19.0,2022-05-29 21:14:21,411.0,651.0,2,True,1.6.0,14974.0,411.0,,,,,,,,,,,,,,,,,
48,ja3,salesforce/ja3,,,pki,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-04-01 02:17:34.000000,2023-03-28 20:25:10,143.0,254.0,94.0,41.0,2048,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,23.0,18,True,2.0,29.0,22.0,,,,1394.0,3,,,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1394.0,,,,,
49,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-04-10 00:44:07.000000,2023-04-06 16:35:02,621.0,21.0,2.0,77.0,23,"Supercharge your app with SSI, NFTs or fungible tokens.",11.0,18,False,197.0,1.0,37.0,9.0,2023-01-23 16:25:45,,24.0,2,,0.6.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-04-06 16:41:04.315761,470.0,,,,,,,,,,,,,
50,ladon,ory/ladon,,,authorization,https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-03-17 11:47:08.000000,2023-03-17 11:45:53,148.0,212.0,65.0,102.0,2196,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,49.0,17,True,1.0,4.0,53.0,40.0,2020-04-30 07:36:33,,,3,,1.2.0,,,,,,,['ory'],,,,,,,,,,,,
51,spiffe,spiffe/spiffe,,,standards,https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-04-13 00:01:49.000000,2023-04-13 00:01:49,516.0,142.0,82.0,190.0,1205,The SPIFFE Project.,55.0,17,True,13.0,17.0,37.0,,,,,1,,,,,,,,,"['cncf', 'linux-foundation']",,,,,,,,,,,,
52,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-04-13 18:26:47.000000,2023-04-13 18:26:47,1361.0,88.0,23.0,538.0,93,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,31.0,17,False,84.0,42.0,125.0,,,,,3,True,,,,,,,,,,,,,,,,,,,,
53,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-04-14 14:01:42.000000,2023-04-14 14:01:41,517.0,34.0,28.0,332.0,137,Core library for decentralized identity.,19.0,16,True,5.0,68.0,100.0,,,98.0,,3,True,,,98.0,,,,,,,,,,,,,,,,,
54,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/OpenID4VCI,https://github.com/Sphereon-Opensource/OpenID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-04-13 13:49:41.000000,2023-04-07 00:54:03,396.0,5.0,4.0,37.0,16,OpenID for Verifiable Credential Issuance - client and issuer library.,6.0,15,False,181.0,,3.0,8.0,2023-03-17 00:39:19,9.0,,3,,0.4.0,,9.0,,,,,,,,,,,,,,,,,
