,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-11-02 16:57:48.000000,2023-11-02 15:48:16,23750.0,984.0,188.0,6394.0,1333.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",461.0,33,True,716.0,228.0,933.0,2799.0,2023-10-25 15:52:57,52.0,584.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-11-02 16:20:06.000000,2023-11-02 16:18:23,1622.0,27.0,23.0,1769.0,53.0,Trinsic SDK repository.,41.0,28,False,68.0,34.0,32.0,394.0,2023-10-13 17:40:05,542.0,1537.0,1.0,1.12.0,8878.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-11-02 17:05:27.000000,2023-10-26 10:56:49,4423.0,49.0,34.0,502.0,201.0,Self Sovereign Identity SDK.,60.0,25,True,352.0,82.0,22.0,54.0,2023-10-14 23:03:15,59.0,4.0,2.0,0.17.5,,1.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-11-02 13:05:05.000000,2023-11-02 12:58:50,3455.0,64.0,15.0,402.0,152.0,All-In-One SSI infrastructure toolkit.,50.0,25,True,243.0,210.0,7.0,247.0,2023-11-02 13:12:13,,1787.0,2.0,1.2310181323.0,57.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-10-18 13:36:09.505112,9911.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-11-02 18:08:55.000000,2023-11-02 18:08:16,1088.0,409.0,612.0,251.0,8605.0,Solid - Re-decentralizing the web (project directory).,43.0,22,True,43.0,1.0,317.0,217.0,2021-12-21 13:00:06,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-11-02 15:47:39.000000,2023-11-01 07:54:57,1558.0,65.0,13.0,536.0,95.0,Self Hosted Issuer Node.,30.0,21,False,19.0,32.0,22.0,98.0,2023-11-01 07:56:14,64.0,,2.0,2.2.1,,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-11-02 00:17:03.000000,2023-11-01 15:51:52,1029.0,124.0,80.0,673.0,417.0,A cross-platform toolkit for decentralized identity.,56.0,20,True,14.0,,129.0,198.0,,117.0,,2.0,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-11-02 15:04:38.000000,2023-11-02 15:04:33,7392.0,15.0,10.0,512.0,36.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,293.0,1.0,74.0,1816.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
8,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,201.0,98.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,16,False,,100.0,3.0,,2021-03-22 11:09:10,42.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-11-02 15:21:31.000000,2023-11-02 13:55:53,2566.0,2351.0,98.0,2051.0,19578.0,Authentication for the Web.,580.0,42,True,196.0,100.0,223.0,3441.0,2023-10-18 15:07:14,151732.0,2877838.0,1.0,next-auth@4.24.3,,151732.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2877838.0,,,,,,,,,,
