,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-09-14 18:13:42.000000,2023-09-14 17:59:33,23406.0,973.0,191.0,6196.0,1300.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",453.0,33,True,739.0,219.0,918.0,2744.0,2023-08-29 15:46:20,50.0,614.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-09-14 15:20:38.000000,2023-09-14 15:18:41,1596.0,26.0,23.0,1726.0,52.0,Trinsic SDK repository.,41.0,28,False,64.0,33.0,31.0,374.0,2023-04-24 13:26:38,509.0,1588.0,1.0,1.11.0,8573.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-09-14 17:28:37.000000,2023-09-14 17:28:32,4221.0,46.0,34.0,471.0,195.0,Self Sovereign Identity SDK.,58.0,25,True,377.0,69.0,18.0,45.0,2023-08-19 18:17:47,57.0,6.0,2.0,0.15.1,,1.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-09-14 15:23:01.000000,2023-09-08 14:18:52,3306.0,63.0,13.0,341.0,144.0,All-In-One SSI infrastructure toolkit.,49.0,23,True,164.0,172.0,14.0,234.0,2023-09-08 14:25:16,,2719.0,2.0,1.2309071915.0,57.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-09-13 18:12:59.457515,8987.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-09-13 21:28:16.000000,2023-09-13 21:21:58,1066.0,408.0,612.0,237.0,8601.0,Solid - Re-decentralizing the web (project directory).,42.0,22,True,50.0,1.0,318.0,212.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-09-14 14:18:37.000000,2023-09-05 15:09:03,1545.0,57.0,12.0,509.0,87.0,Self Hosted Issuer Node.,30.0,21,False,154.0,26.0,20.0,96.0,2023-09-05 15:18:13,40.0,,2.0,2.2.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-09-14 00:16:34.000000,2023-07-14 13:35:29,1015.0,117.0,77.0,659.0,409.0,A cross-platform toolkit for decentralized identity.,51.0,19,True,5.0,,127.0,197.0,,115.0,,3.0,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,201.0,96.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-09-14 16:22:20.000000,2023-09-14 16:21:07,7243.0,12.0,8.0,503.0,34.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,219.0,1.0,72.0,1659.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-09-13 23:54:19.000000,2023-09-12 12:42:25,2451.0,2233.0,96.0,1957.0,18677.0,Authentication for the Web.,564.0,41,True,130.0,100.0,213.0,3309.0,2023-08-16 07:48:21,132795.0,2474979.0,1.0,next-auth@4.23.1,,132795.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2474979.0,,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-09-13 15:06:44.000000,2023-09-11 16:24:20,3751.0,1855.0,237.0,3997.0,11184.0,CoreDNS is a DNS server that chains plugins.,370.0,41,True,79.0,67.0,91.0,2093.0,2023-08-15 20:00:30,5514.0,2826320.0,1.0,1.11.1,6784728.0,5514.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,247099555.0,,,,,139.0,,,,,,,,,,
11,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-09-13 22:51:51.361859,2023-09-13 21:57:00,4771.0,1162.0,123.0,3863.0,8493.0,"An open source, general-purpose policy engine.",420.0,40,True,130.0,100.0,303.0,2039.0,2023-08-31 14:40:27,2841.0,4674030.0,1.0,0.56.0,3928802.0,2841.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-09-13 22:51:51.361859,427520563.0,,,,,38.0,,,,,,,,,,
12,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-09-14 09:47:48.000000,2023-09-03 20:08:57,1676.0,456.0,69.0,491.0,2641.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",194.0,40,True,28.0,48.0,75.0,293.0,2023-01-10 13:13:43,429744.0,81008068.0,1.0,3.2.2,,429744.0,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,81008068.0,2.0,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-09-14 16:50:11.000000,2023-09-12 13:21:15,8029.0,1857.0,147.0,3044.0,10693.0,Automatically provision and manage TLS certificates in Kubernetes.,410.0,39,True,211.0,100.0,168.0,2926.0,2023-09-12 15:47:03,608.0,1500969.0,1.0,1.13.0,55535889.0,608.0,,,,,,,,,,,,,,,,,,,
14,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-09-12 18:00:13.000000,2023-08-18 22:46:26,9127.0,1115.0,123.0,971.0,6553.0,A PyTorch-based Speech Toolkit.,219.0,38,True,635.0,9.0,93.0,848.0,2023-07-22 18:07:47,941.0,188790.0,1.0,0.5.15,,941.0,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,188790.0,,,,,,,
15,passport,jaredhanson/passport,,,authentication,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-09-12 17:44:31.000000,2023-03-10 17:27:55,617.0,1179.0,314.0,154.0,21780.0,"Simple, unobtrusive authentication for Node.js.",38.0,37,True,,,334.0,421.0,,910880.0,8811156.0,2.0,,,910880.0,,,,,,passport,https://www.npmjs.com/package/passport,8811156.0,,,,,,,,,,,
16,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-09-14 16:52:51.000000,2023-09-14 16:52:50,22863.0,5515.0,365.0,12675.0,17354.0,Open Source Identity and Access Management For Modern Applications and Services.,1252.0,37,True,706.0,41.0,1772.0,5532.0,2023-09-12 17:46:24,,61911.0,1.0,22.0.3,2043072.0,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
17,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-09-14 17:59:49.000000,2023-09-14 17:33:14,18182.0,3798.0,816.0,17289.0,28369.0,"A tool for secrets management, encryption as a service, and privileged access management.",1410.0,36,False,639.0,100.0,904.0,4759.0,2023-09-13 15:24:18,6598.0,,2.0,1.14.3,,6598.0,,,,,,,,,,,,,,,,,,,
18,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-09-13 16:06:50.000000,2023-09-05 13:38:00,3706.0,1301.0,231.0,1707.0,14474.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",289.0,36,True,75.0,100.0,71.0,1385.0,2023-05-24 08:55:23,2.0,4078627.0,2.0,2.1.2,625974.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,406914378.0,,,,,75.0,,,,,https://k8s.ory.sh/helm/charts,,,,,
19,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-09-14 16:35:52.000000,2023-09-14 10:03:47,3931.0,785.0,109.0,1681.0,9320.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",208.0,36,True,130.0,43.0,187.0,969.0,2023-07-12 20:24:48,323.0,1753395.0,1.0,1.0.0,32849.0,323.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,112169542.0,,,,,17.0,,,,,https://k8s.ory.sh/helm/charts,,,,,
20,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-09-02 15:41:05.000000,2023-09-02 15:35:45,1076.0,1524.0,232.0,475.0,15717.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",135.0,35,True,17.0,100.0,22.0,730.0,2023-09-02 15:37:12,2540.0,234656.0,2.0,2.77.2,,2540.0,,,,,,casbin,https://www.npmjs.com/package/casbin,142524.0,,casbin,https://pypi.org/project/casbin,92132.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
21,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-09-12 07:47:32.000000,2023-09-12 07:45:48,1495.0,247.0,41.0,332.0,5137.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,66.0,35,True,20.0,100.0,9.0,421.0,2023-07-28 06:28:52,53040.0,2082750.0,2.0,@casl/mongoose@7.2.1,,53040.0,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,2082750.0,,,,,3.0,,,,,,
22,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-09-13 13:23:14.000000,2022-06-10 09:12:18,238.0,12766.0,1568.0,221.0,49335.0,The worlds simplest facial recognition api for Python and the command line.,54.0,34,False,,2.0,711.0,583.0,2018-04-02 17:18:43,1564.0,47500.0,1.0,1.2.2,1140.0,1564.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6826.0,,,,,16.0,face_recognition,https://pypi.org/project/face_recognition,47399.0,3.0,,,,,,
23,face-api-js,justadudewhohacks/face-api.js,,,face,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,3480.0,335.0,107.0,15415.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,25.0,34,False,,38.0,421.0,389.0,2020-03-22 14:01:55,7239.0,137144.0,1.0,0.22.2,,7239.0,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,137144.0,,,,,,,,,,,
24,paddlespeech,PaddlePaddle/PaddleSpeech,,,voice,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-09-13 07:11:38.000000,2023-09-12 08:15:16,4729.0,1595.0,184.0,1677.0,8582.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",127.0,34,True,18.0,15.0,340.0,1314.0,2023-04-14 09:36:52,71.0,170408.0,3.0,r1.4.1,,71.0,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,170408.0,-1.0,,,,,,
25,insightface,deepinsight/insightface,,,face,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-09-10 02:01:49.000000,2023-09-10 02:01:49,2281.0,4641.0,487.0,147.0,18030.0,State-of-the-art 2D and 3D Face Analysis Project.,57.0,33,False,30.0,1.0,947.0,1330.0,2023-04-02 07:43:27,889.0,99634.0,2.0,0.7,498169.0,889.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,138.0,,,,,,,,,,,,,,,
26,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-09-14 14:09:14.000000,2023-09-14 14:05:53,23700.0,3796.0,609.0,4446.0,10445.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,339.0,33,True,483.0,100.0,,,2023-08-24 17:24:13,13.0,5783.0,2.0,6.6.10,,13.0,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-09-14 00:39:44.151078,832761.0,,,,,128.0,,,,,,,,,,
27,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-09-14 17:30:26.000000,2023-09-07 15:33:08,3060.0,268.0,36.0,3566.0,3658.0,Pomerium is an identity and context-aware access proxy.,91.0,33,True,115.0,100.0,84.0,838.0,2023-08-28 14:49:52,12.0,14619575.0,2.0,0.23.0,47011.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-09-07 17:41:36.385786,818640210.0,,,,,10.0,,,,,,,,,,
28,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-09-14 16:32:03.000000,2023-09-14 15:54:23,6678.0,398.0,57.0,4436.0,3573.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",214.0,33,True,827.0,100.0,245.0,1135.0,2023-09-13 21:58:51,182.0,14454.0,2.0,ockam_v0.92.0,318009.0,182.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
29,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-09-14 09:17:20.000000,2023-09-13 23:35:29,6171.0,398.0,85.0,3209.0,1492.0,The SPIFFE Runtime Environment.,170.0,32,True,142.0,84.0,148.0,1136.0,2023-08-16 22:31:30,118.0,2163.0,2.0,1.7.2,153592.0,118.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
30,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-09-13 08:32:44.000000,2023-09-09 17:40:36,1777.0,12418.0,1528.0,511.0,47025.0,Deepfakes Software For All.,97.0,31,True,45.0,4.0,20.0,804.0,2023-06-18 18:08:19,,1828.0,2.0,2.2.0,100568.0,,,,,,,,,,,,,,,,,,,,
31,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-09-13 23:30:19.000000,2023-09-08 20:24:32,3118.0,199.0,36.0,1135.0,3836.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",34.0,31,True,212.0,55.0,100.0,281.0,2023-09-05 15:07:35,31.0,36112.0,2.0,1.25.0,21616.0,31.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-09-05 15:25:56.434610,880324.0,,,,,4.0,,,,,,,,,,
32,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-09-14 04:10:58.000000,2023-08-24 10:21:20,2551.0,1456.0,177.0,1848.0,8413.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,219.0,30,True,33.0,80.0,275.0,792.0,2023-06-30 14:12:39,140.0,3.0,2.0,2.37.0,305.0,140.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
33,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-09-08 07:01:50.000000,2023-09-04 18:27:54,1080.0,1446.0,107.0,83.0,7354.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",43.0,30,True,45.0,,8.0,752.0,,1855.0,27884.0,3.0,,,1855.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,27884.0,,,,,,,
34,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-09-14 03:17:58.000000,2023-08-30 09:19:27,1463.0,295.0,58.0,1050.0,4216.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",69.0,30,True,54.0,50.0,43.0,256.0,,18.0,769713.0,3.0,,17078.0,18.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,50781656.0,,,,,6.0,,,,2.0,,,,,,
35,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-09-14 15:36:14.000000,2023-09-08 22:09:43,589.0,63.0,40.0,204.0,302.0,Create and verify DID verifiable JWTs in Javascript.,40.0,30,True,14.0,100.0,9.0,76.0,2023-09-04 16:47:32,3878.0,139312.0,1.0,7.2.7,,3878.0,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,139312.0,,,,,,,,,,,
36,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-09-14 16:58:00.000000,2023-09-14 16:56:40,1958.0,822.0,55.0,1233.0,7018.0,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",139.0,29,True,258.0,100.0,105.0,902.0,2023-09-13 10:24:36,3.0,2090.0,2.0,1.416.0,,3.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-09-13 15:53:03.612105,73152.0,,,,,9.0,,,,,,,,,,
37,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-09-14 18:12:10.000000,2023-09-14 18:12:09,3366.0,247.0,203.0,3418.0,3685.0,Boundary enables identity-based access management for dynamic infrastructure.,136.0,29,False,163.0,45.0,72.0,232.0,2023-07-18 12:06:27,8.0,210379.0,3.0,0.13.1,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-07-18 12:12:01.655444,9256676.0,,,,,11.0,,,,-1.0,,,,,,
