,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,new_addition,github_Id
60,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-04-26 21:30:47.000000,2023-04-24 12:03:15,754.0,122.0,26.0,880.0,178.0,Aries Framework JavaScript (Built using TypeScript).,50.0,21,True,112.0,74.0,146.0,391.0,2023-01-18 18:22:49,2.0,,2.0,0.3.3,,2.0,,,,,,,,,,,,,,,,,,,
61,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-04-17 00:44:42.000000,2023-04-03 11:05:53,243.0,14.0,13.0,112.0,67.0,DID resolver for HTTPS domains.,12.0,21,False,7.0,34.0,1.0,10.0,2023-04-03 11:06:06,550.0,22875.0,2.0,2.0.23,,550.0,,,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,22875.0,,,,,,,,,,
62,gotrue,netlify/gotrue,,,idp,,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-04-27 00:35:43.000000,2023-04-26 22:42:46,636.0,251.0,64.0,216.0,3359.0,An SWT based API for managing users and issuing SWT tokens.,37.0,20,True,1.0,2.0,9.0,111.0,2022-02-09 12:50:28,10.0,,3.0,1.0.1,,10.0,,,,,-1.0,,,,,,,,,,,,,,
63,sidetree,decentralized-identity/sidetree,,,standards,['dif'],https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-04-24 18:28:00.000000,2023-04-04 19:14:54,1149.0,100.0,42.0,677.0,420.0,Sidetree Specification and Reference Implementation.,47.0,20,True,1.0,12.0,38.0,440.0,2021-03-09 22:06:35,28.0,,2.0,1.0.2,,28.0,,,,,,,,,,,,,,,,,,,
64,appauth-android,openid/appauth-android,,,authentication,['openid'],https://github.com/openid/AppAuth-Android,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-03-12 00:26:30.000000,2021-12-22 13:03:48,332.0,757.0,234.0,223.0,2438.0,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,46.0,19,False,,,153.0,500.0,,,,3.0,,,,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,True,
65,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-03-23 03:45:28.000000,2023-03-20 08:32:40,214.0,155.0,93.0,183.0,1182.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,30.0,19,True,8.0,17.0,62.0,68.0,2022-06-09 01:42:53,,,3.0,1.0.4,,,,,,,,,,,,,,,,,,,,,
66,webauthn,w3c/webauthn,,,standards,['w3c'],https://github.com/w3c/webauthn,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-04-27 00:18:06.000000,2023-04-21 23:02:11,2028.0,137.0,168.0,782.0,953.0,Web Authentication: An API for accessing Public Key Credentials.,67.0,19,True,20.0,7.0,71.0,986.0,2018-03-20 13:11:25,,,2.0,CR-00-20180320,,,,,,,,,,,,,,,,,,,,,
67,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-04-21 17:38:20.000000,2023-04-21 17:30:29,14792.0,643.0,115.0,17.0,657.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,710.0,19,True,10.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
68,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-04-16 09:58:48.000000,2023-03-31 16:40:35,2105.0,204.0,58.0,564.0,297.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,20.0,,48.0,169.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
69,dwn-sdk-js,TBD54566975/dwn-sdk-js,,,decentralized,['web5'],https://github.com/TBD54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-04-27 00:18:40.000000,2023-04-27 00:17:02,221.0,64.0,17.0,179.0,277.0,Decentralized Web Node (DWN) Reference implementation.,24.0,19,True,64.0,10.0,45.0,100.0,,21.0,,3.0,,,21.0,,,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,
70,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-04-15 21:46:40.000000,2023-04-15 21:46:00,532.0,12.0,5.0,505.0,23.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,8.0,19.0,4.0,77.0,2022-05-29 21:14:21,417.0,658.0,3.0,1.6.0,15154.0,417.0,,,,,,,,,,,,,,,,,,,
71,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-04-01 02:17:34.000000,2023-03-28 20:25:10,143.0,254.0,94.0,41.0,2063.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,23.0,18,True,2.0,,29.0,22.0,,,1682.0,3.0,,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1682.0,,,,,,,
72,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-04-26 18:31:34.000000,2023-04-24 23:54:52,1293.0,70.0,85.0,563.0,227.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,56.0,18,True,58.0,,65.0,460.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
73,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-03-17 11:47:08.000000,2023-03-17 11:45:53,148.0,213.0,65.0,102.0,2199.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,49.0,17,True,1.0,40.0,4.0,53.0,2020-04-30 07:36:33,,,3.0,1.2.0,,,,,,,,,,,,,,,,,,,,,
74,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-04-22 00:08:44.000000,2023-04-22 00:08:44,525.0,142.0,82.0,193.0,1223.0,The SPIFFE Project.,56.0,17,True,22.0,,17.0,37.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
75,appauth-js,openid/appauth-js,,,authentication,['openid'],https://github.com/openid/AppAuth-JS,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,147.0,37.0,93.0,915.0,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,10.0,17,True,,,28.0,102.0,,1596.0,,3.0,,,1596.0,,,,,,,,,,,,,,,,,,True,
76,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-04-20 13:52:53.000000,2023-04-20 08:22:44,3548.0,67.0,27.0,5.0,225.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,17,True,11.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
