,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_dependent_project_count,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
95,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OID4VCI,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-06-27 12:24:38.000000,2023-06-27 12:24:36,557.0,8.0,6.0,55.0,31.0,OpenID for Verifiable Credential Issuance - client and issuer library.,11.0,16,False,100.0,9.0,,5.0,2023-06-24 17:03:38,8.0,,3.0,0.6.0,8.0,,,,,,,Sphereon-Opensource/OID4VCI,,,,,,,,,,,,,
96,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-07-08 01:56:19.000000,2023-04-15 21:46:00,532.0,11.0,6.0,512.0,23.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,16,False,,19.0,4.0,77.0,2022-05-29 21:14:21,9.0,632.0,3.0,1.6.0,9.0,16451.0,-2.0,,,,,,,,,,,,,,,,,,
97,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-07-27 11:30:06.000000,2023-07-27 11:30:00,907.0,35.0,49.0,171.0,426.0,Solid Technical Reports.,19.0,15,True,36.0,1.0,183.0,128.0,2021-12-21 13:00:06,,,2.0,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,,,
98,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,81.0,76.0,487.0,376.0,W3C Decentralized Identifier Specification v1.0.,62.0,15,True,,,30.0,324.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
99,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-07-27 13:05:11.000000,2023-07-14 13:35:29,523.0,37.0,28.0,340.0,147.0,Core library for decentralized identity.,20.0,15,True,2.0,,70.0,101.0,,106.0,,3.0,,106.0,,,,,,,,,,,,,,,,,,,,
100,tbd-ssi-service,tbd54566975/ssi-service,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-service,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-07-27 16:05:06.000000,2023-07-27 16:05:06,382.0,48.0,11.0,414.0,133.0,The Self Sovereign Identity Service.,20.0,15,True,121.0,3.0,75.0,112.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
101,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-07-21 12:27:42.000000,2023-07-21 12:27:41,146.0,69.0,27.0,174.0,79.0,Aries Framework .NET for building multiplatform SSI services.,31.0,15,False,4.0,,42.0,28.0,,42.0,,3.0,,42.0,,,,,,,,,,,,,,,,,,,,
102,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-07-27 16:26:04.000000,2023-03-30 20:43:43,609.0,30.0,31.0,221.0,72.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,36.0,15,False,,,48.0,162.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
103,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-07-26 12:34:38.000000,2023-07-20 12:35:15,364.0,12.0,4.0,92.0,33.0,SDK to work with Polygon ID.,13.0,15,False,108.0,16.0,6.0,11.0,2023-07-13 09:36:20,29.0,,3.0,1.0.0-beta.18,29.0,,,,,,,,,,,,,,,,,,,,
104,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-07-11 23:25:40.736253,2023-07-11 23:20:17,306.0,6.0,2.0,27.0,19.0,OIDC identity provider for SSI & NFTs.,9.0,15,False,43.0,18.0,,35.0,2023-07-11 23:30:54,,41.0,3.0,1.2307112321.0,,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-07-11 23:25:40.736253,664.0,,,,,,,,,,,,,,
