,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
80,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-06-28 17:27:26.000000,2023-06-15 08:10:58,776.0,129.0,25.0,909.0,192.0,Aries Framework JavaScript (Built using TypeScript).,53.0,20,True,42.0,75.0,164.0,395.0,2023-06-03 17:51:03,2.0,,2.0,0.4.0,,2.0,,,,,,,,,,,,,,,,,,,
81,appauth-android,openid/appauth-android,,,authentication,['openid'],https://github.com/openid/AppAuth-Android,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-06-24 06:35:56.000000,2023-05-21 18:52:03,338.0,773.0,234.0,226.0,2492.0,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,46.0,19,True,6.0,,162.0,504.0,,,,3.0,,,,,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,
82,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-05-25 18:52:34.000000,2023-05-25 18:52:34,148.0,260.0,94.0,41.0,2140.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,25.0,19,True,3.0,,28.0,22.0,,,1347.0,3.0,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1347.0,,,,,,,,,
83,webauthn,w3c/webauthn,,,standards,['w3c'],https://github.com/w3c/webauthn,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-06-29 00:53:04.000000,2023-06-28 19:21:04,2052.0,138.0,168.0,793.0,983.0,Web Authentication: An API for accessing Public Key Credentials.,70.0,19,True,21.0,7.0,78.0,990.0,2018-03-20 13:11:25,,,2.0,CR-00-20180320,,,,,,,,,,,,,,,,,,,,,
84,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-06-27 16:27:05.000000,2023-06-27 16:23:30,14826.0,642.0,115.0,17.0,660.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,713.0,19,True,21.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
85,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-06-29 11:37:40.000000,2023-06-29 11:37:38,2142.0,205.0,59.0,567.0,304.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,18.0,,51.0,170.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
86,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,219.0,64.0,103.0,2224.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,50.0,18,True,1.0,40.0,5.0,53.0,2020-04-30 07:36:33,,,3.0,1.2.0,,,,,,,,,,,,,,,,,,,,,
87,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-06-29 13:51:13.000000,2023-06-27 21:21:42,1345.0,73.0,81.0,598.0,236.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,57.0,18,True,84.0,,64.0,499.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
88,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-06-29 17:07:31.000000,2023-06-27 20:16:21,1478.0,98.0,23.0,648.0,105.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,37.0,18,True,131.0,,55.0,151.0,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,
89,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-05-24 00:56:11.000000,2023-04-15 21:46:00,532.0,11.0,6.0,510.0,23.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,18,False,1.0,19.0,4.0,77.0,2022-05-29 21:14:21,455.0,642.0,3.0,1.6.0,16069.0,455.0,,,,,,,,,,,,,,,,,,,
