,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
43,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-07-13 17:53:41.000000,2023-07-13 17:37:05,6241.0,527.0,138.0,4153.0,4686.0,"An ACME-based certificate authority, written in Go.",126.0,28,True,106.0,74.0,191.0,2634.0,2023-07-11 19:07:30,,22126.0,2.0,release-2023-07-11,54312.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-07-12 17:46:53.834653,1929439.0,,,,,,12.0,,,,,,,,,
44,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-07-13 17:10:41.000000,2023-07-12 17:46:50,2299.0,206.0,27.0,4325.0,3994.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,57.0,28,True,208.0,100.0,367.0,1172.0,2023-06-27 20:09:04,1.0,424.0,2.0,2.30.0,2123.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,
45,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-07-09 14:46:59.000000,2023-05-04 20:09:28,1191.0,151.0,31.0,1504.0,3132.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,4.0,100.0,101.0,99.0,2023-04-03 23:25:23,74.0,42460.0,3.0,0.27.0,2536.0,74.0,,,,,,,,,,,oso,https://pypi.org/project/oso,42373.0,,,,,,
46,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-07-12 11:18:35.000000,2023-07-07 16:31:37,4864.0,238.0,38.0,648.0,1084.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,291.0,28,True,169.0,44.0,55.0,223.0,2023-07-06 18:10:47,1161.0,,3.0,6.3.3,,1161.0,,,,,,,,,,,,,,,,,,,
47,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-07-11 11:53:06.000000,2023-03-08 14:05:28,373.0,42.0,24.0,123.0,184.0,Universal did-resolver for javascript environments.,24.0,28,True,,24.0,3.0,18.0,2023-03-08 14:05:37,4372.0,148438.0,1.0,4.1.0,,4372.0,,,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,148438.0,,,,,,,,,,
48,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-07-11 03:17:19.000000,2023-07-10 13:20:59,1427.0,290.0,57.0,1006.0,4121.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",68.0,27,True,36.0,50.0,45.0,252.0,,2.0,792989.0,3.0,,16010.0,2.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,50733070.0,,,,,,6.0,,,,,,,,,
49,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,284.0,81.0,828.0,1742.0,Solid server on top of the file-system in NodeJS.,85.0,27,True,,51.0,279.0,610.0,2023-03-17 17:09:04,38.0,8665.0,1.0,5.7.7,,38.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,885433.0,,,solid-server,https://www.npmjs.com/package/solid-server,312.0,4.0,,,,,,,,,
50,cerbos,cerbos/cerbos,,,authorization,,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-07-13 16:48:55.000000,2023-07-12 12:53:02,1298.0,75.0,22.0,1378.0,1528.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",20.0,27,True,88.0,51.0,43.0,238.0,2023-06-13 09:42:56,11.0,1399.0,3.0,0.28.0,39177.0,11.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
51,jansen,janssenproject/jans,,,idp,['linux-foundation'],https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-07-13 17:49:52.000000,2023-07-13 12:34:27,32611.0,46.0,26.0,3104.0,259.0,"Welcome to the Janssen Project, a collaboration hub for digital identity infrastructure software... and introducing..",107.0,27,True,524.0,100.0,318.0,2067.0,2023-07-12 16:44:57,,431.0,3.0,1.0.15,1293.0,,,,,,,,,,,,,,,,,,,,
52,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-07-10 00:50:06.000000,2023-07-03 00:42:26,318.0,38.0,23.0,86.0,152.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,22.0,27,True,17.0,42.0,5.0,44.0,2023-06-27 04:43:49,656.0,30889.0,1.0,3.2.4,,656.0,,,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,30889.0,,,,,,,,,,
53,kanidm,kanidm/kanidm,,,idp,,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-07-13 05:30:43.000000,2023-07-13 05:30:43,1362.0,94.0,15.0,1317.0,1537.0,"Kanidm: A simple, secure and fast identity management platform.",47.0,26,True,225.0,14.0,118.0,393.0,2023-05-01 01:14:41,42.0,133.0,3.0,1.1.0-alpha.12,20.0,42.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-07-10 07:08:53.944743,7056.0,,,,,,,,,,,,,,,
54,conjur,cyberark/conjur,,,machine,,https://github.com/cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-07-13 17:49:51.000000,2023-07-11 19:03:48,3321.0,117.0,45.0,1746.0,684.0,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,93.0,26,True,48.0,69.0,207.0,901.0,2023-05-17 19:48:54,,81037.0,3.0,1.19.5,346.0,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-07-13 16:15:49.735788,6887782.0,,,,,,30.0,,,,,,,,,
55,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-07-04 18:07:07.000000,2023-07-04 18:07:06,3181.0,153.0,20.0,2021.0,227.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,58.0,26,True,37.0,14.0,387.0,1194.0,2023-05-09 10:57:15,305.0,,2.0,0.3.2,,305.0,,,,,,,,,,,,,,,,,,,
56,deepfacelab,iperov/DeepFaceLab,,,face,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-06-24 17:40:40.000000,2023-04-27 06:45:45,1313.0,8473.0,1069.0,127.0,41282.0,DeepFaceLab is the leading software for creating deepfakes.,22.0,25,True,1.0,2.0,519.0,787.0,2020-04-09 05:48:48,,3843.0,3.0,DF.wf.288res.384.92.72.22,153742.0,,,,,,,,,,,,,,,,,,,,
57,whisper,openai/whisper,,,voice,,https://github.com/openai/whisper,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-07-10 18:46:18.000000,2023-07-06 19:48:08,117.0,4511.0,369.0,162.0,41027.0,Robust Speech Recognition via Large-Scale Weak Supervision.,55.0,25,True,9.0,6.0,,,2023-03-15 07:40:02,,150873.0,3.0,20230314,,,,,,,,-1.0,,,,,openai-whisper,https://pypi.org/project/openai-whisper,150873.0,,,,,,
58,authentik,goauthentik/authentik,,,idp,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-07-13 15:02:15.000000,2023-07-13 15:01:52,11980.0,332.0,20.0,4713.0,4210.0,The authentication glue you need.,172.0,25,True,694.0,100.0,369.0,1035.0,2023-07-10 11:46:48,,64.0,3.0,ersion/2023.6.1,1610.0,,,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
59,lemur,netflix/lemur,,,pki,,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-07-12 20:12:44.000000,2023-07-12 20:12:44,5606.0,305.0,400.0,3928.0,1643.0,Repository for the Lemur Certificate Manager.,147.0,25,True,201.0,26.0,122.0,393.0,2023-07-05 22:37:33,,0.0,3.0,1.5.0,51.0,,,,,,,,,,,,,,,,,,,,
60,opal,permitio/opal,,,authorization,,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-07-12 15:23:13.000000,2023-07-12 15:23:12,1643.0,109.0,19.0,319.0,1729.0,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",41.0,24,True,178.0,31.0,29.0,74.0,2023-06-27 11:40:41,,2210.0,3.0,0.7.3,485.0,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-06-27 11:45:23.570678,63612.0,,,,,,,,,,,,,,,
