,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id
75,appauth-js,openid/appauth-js,,,authentication,['openid'],https://github.com/openid/AppAuth-JS,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,148.0,37.0,93.0,917.0,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,10.0,17,True,,,28.0,102.0,,1599.0,,3.0,,,1599.0,,,,,,,,,,,,,,,,,
76,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-04-20 13:52:53.000000,2023-04-20 08:22:44,3548.0,67.0,27.0,5.0,226.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,17,True,11.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
77,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-05-04 19:22:29.000000,2023-05-03 20:03:38,1394.0,91.0,22.0,564.0,94.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,32.0,17,False,98.0,,42.0,131.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
78,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-04-27 08:25:19.134115,2023-04-27 08:19:22,638.0,22.0,2.0,83.0,24.0,"Supercharge your app with SSI, NFTs or fungible tokens.",11.0,17,False,126.0,12.0,2.0,38.0,2023-04-27 08:25:22,,25.0,3.0,1.2304270819.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-04-27 08:25:19.134115,508.0,,,,,,,,,,,,,
79,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OID4VCI,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-05-04 14:43:53.000000,2023-04-26 14:03:25,450.0,5.0,4.0,42.0,20.0,OpenID for Verifiable Credential Issuance - client and issuer library.,6.0,17,False,231.0,8.0,,3.0,2023-03-17 00:39:19,12.0,,3.0,0.4.0,,12.0,,,,,,,,,,,,,,,,,Sphereon-Opensource/OID4VCI
80,tbd-ssi-sdk,tbd54566975/ssi-sdk,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-05-04 03:14:07.000000,2023-05-02 00:04:33,234.0,42.0,13.0,235.0,164.0,self sovereign identity sdk.,15.0,16,True,53.0,3.0,46.0,84.0,,2.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,
81,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-05-04 08:15:13.000000,2023-04-24 13:49:11,521.0,35.0,28.0,336.0,138.0,Core library for decentralized identity.,20.0,16,True,8.0,,68.0,100.0,,100.0,,3.0,,,100.0,,,,,,,,,,,,,,,,,
82,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-05-03 15:03:36.000000,2023-05-03 13:33:05,873.0,35.0,50.0,152.0,401.0,Solid Technical Reports.,19.0,15,True,36.0,1.0,181.0,124.0,2021-12-21 13:00:06,,,3.0,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,
83,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,81.0,76.0,487.0,369.0,W3C Decentralized Identifier Specification v1.0.,61.0,15,True,1.0,,26.0,324.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
84,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-03-30 20:44:08.000000,2023-03-30 20:43:43,609.0,30.0,31.0,214.0,70.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,33.0,15,False,4.0,,46.0,160.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
85,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-05-01 01:04:53.000000,2023-05-01 01:04:47,880.0,7.0,6.0,96.0,22.0,A Typescript implementation of the DIF Presentation Exchange specification.,13.0,15,False,38.0,24.0,3.0,14.0,2023-04-30 19:45:02,42.0,2.0,3.0,2.0.0,49.0,42.0,,,,,,,,,,,,,,,,,
86,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-04-26 08:08:04.064974,2023-04-26 08:02:08,263.0,4.0,2.0,16.0,12.0,OIDC identity provider for SSI & NFTs.,8.0,15,False,90.0,12.0,4.0,31.0,2023-04-26 08:12:52,,38.0,3.0,1.2304260802.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-04-26 08:08:04.064974,537.0,,,,,,,,,,,,,
87,talao-wallet,talaodao/talao-wallet,talao-altme,,decentralized,,https://github.com/TalaoDAO/talao-wallet,https://github.com/TalaoDAO/talao-wallet,Apache-2.0,2021-06-29 14:41:04,2023-03-20 12:52:28.000000,2023-03-20 08:12:52,3967.0,5.0,2.0,69.0,9.0,An open source SSI wallet prpposed as a white label solution - EBSI conformant.,14.0,15,False,284.0,1.0,19.0,243.0,2023-01-06 16:00:40,,,3.0,old_talao,,,,,,,,,,,,,,,,,,,
88,tbd-ssi-service,tbd54566975/ssi-service,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-service,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-05-04 19:30:44.000000,2023-05-04 13:44:58,265.0,43.0,12.0,281.0,120.0,The Self Sovereign Identity Service.,18.0,14,True,63.0,1.0,61.0,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
89,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-04-03 11:38:44.000000,2023-04-03 11:38:44,142.0,67.0,27.0,170.0,79.0,Aries Framework .NET for building multiplatform SSI services.,29.0,14,False,1.0,,40.0,28.0,,39.0,,3.0,,,39.0,,,,,,,,,,,,,,,,,
90,siop-oid4vp,sphereon-opensource/siop-oid4vp,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/SIOP-OID4VP,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2023-05-01 01:08:27.000000,2023-05-01 01:08:21,560.0,14.0,6.0,40.0,61.0,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,9.0,14,False,71.0,11.0,3.0,9.0,,32.0,0.0,3.0,,17.0,32.0,,,,,,,,,,,,,,,,,
91,verity-sdk,evernym/verity-sdk,evernym-ssi,,decentralized,,https://github.com/evernym/verity-sdk,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,39.0,12.0,115.0,44.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,36.0,14,False,2.0,,,,,14.0,,3.0,,,14.0,,,,,,,,,,,,,,,,,
92,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-05-02 09:43:34.000000,2023-05-02 09:43:34,258.0,5.0,5.0,59.0,23.0,SDK to work with Polygon ID.,11.0,14,False,118.0,6.0,5.0,3.0,2023-04-27 16:18:26,6.0,,3.0,1.0.0-beta.7,,6.0,,,,,,,,,,,,,,,,,
93,waltid-web-wallet,walt-id/waltid-web-wallet,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,Apache-2.0,2021-10-26 18:13:46,2023-04-27 12:37:35.462593,2023-04-25 14:07:01,340.0,11.0,1.0,68.0,14.0,web-wallet @ walt.id.,15.0,14,False,29.0,9.0,10.0,41.0,2023-01-23 16:08:26,,46.0,3.0,0.6.0,,,waltid/ssikit-web-wallet,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-04-27 12:37:35.462593,882.0,,,,,,,,,,,,,
94,beyond,cogolabs/beyond,,,machine,,https://github.com/cogolabs/beyond,https://github.com/cogolabs/beyond,	Apache-2.0,2017-08-13 18:29:25,2022-05-26 15:15:14.000000,2022-05-25 16:48:25,133.0,25.0,9.0,2.0,228.0,BeyondCorp-inspired HTTPS/SSO Access Proxy. Secure internal services outside your VPN/perimeter network during a zero-..,5.0,13,True,,4.0,4.0,1.0,2022-05-26 15:15:14,,255.0,3.0,1.8.10,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,17621.0,,,,,,,,,,,,,
95,mobile-sdk,evernym/mobile-sdk,evernym-ssi,,decentralized,,https://github.com/evernym/mobile-sdk,https://github.com/evernym/mobile-sdk,Apache-2.0,2020-01-14 21:16:21,2023-03-29 23:11:17.000000,2023-03-29 23:11:14,598.0,5.0,62.0,81.0,15.0,Evernyms SDK for building mobile identity agents. This is a read-only mirror. Contributions are welcomed at..,25.0,13,False,4.0,100.0,,,2021-03-22 11:09:10,,5.0,3.0,1.4.1,198.0,,,,,,,,,,,,,,,,,,
96,react-native-white-label-app,evernym/react-native-white-label-app,evernym-ssi,,decentralized,,https://github.com/evernym/react-native-white-label-app,https://github.com/evernym/react-native-white-label-app,Apache-2.0,2020-12-01 15:41:06,2023-03-29 23:06:53.000000,2023-03-29 23:06:51,786.0,7.0,13.0,1.0,9.0,The Evernym React Native White Label App uses the Mobile SDK to implement a basic mobile identity wallet ready for..,21.0,12,False,3.0,,3.0,,,24.0,,3.0,,,24.0,,,,,,,,,,,,,,,,,
97,credible,spruceid/credible,spruceid,,decentralized,,https://github.com/spruceid/credible,https://github.com/spruceid/credible,Apache-2.0,2020-07-23 21:18:28,2023-03-07 17:08:52.000000,2022-05-09 17:48:40,193.0,16.0,17.0,71.0,35.0,A reference credential wallet built on Flutter and DIDKit.,11.0,11,False,,,10.0,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,universal-wallet-interop-spec,w3c-ccg/universal-wallet-interop-spec,,,standards,['w3c'],https://github.com/w3c-ccg/universal-wallet-interop-spec,https://github.com/w3c-ccg/universal-wallet-interop-spec,W3C,2020-08-25 01:43:15,2023-02-22 15:32:06.000000,2023-02-22 15:32:05,319.0,11.0,42.0,46.0,52.0,A data model and abstract interfaces for digital wallets.,10.0,10,False,4.0,,41.0,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
99,ssi-mobile-wallet,sphereon-opensource/ssi-mobile-wallet,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,GPL-3.0,2022-11-08 00:55:26,2023-05-04 15:08:06.000000,2023-05-04 15:08:03,648.0,,3.0,117.0,12.0,Open-Source Mobile SSI Wallet.,7.0,10,False,427.0,,,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
100,entra-verifiedid-wallet-library-ios,microsoft/entra-verifiedid-wallet-library-ios,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,MIT,2022-11-17 19:38:59,2023-04-21 22:49:41.000000,2023-04-21 22:49:40,45.0,3.0,8.0,41.0,10.0,A library to manage your Decentralized Identities and Verified IDs on iOS.,3.0,8,False,36.0,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
101,entra-verifiedid-wallet-library-android,microsoft/entra-verifiedid-wallet-library-android,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-android,https://github.com/microsoft/entra-verifiedid-wallet-library-android,MIT,2022-11-17 18:59:22,2023-05-02 03:44:55.000000,2023-04-28 08:51:21,43.0,1.0,7.0,38.0,7.0,A library to manage your Decentralized Identities and Verified IDs on Android.,4.0,8,False,33.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
102,waltid-storagekit,walt-id/waltid-storagekit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-storagekit,https://github.com/walt-id/waltid-storagekit,Apache-2.0,2021-11-15 09:47:22,2023-02-06 15:36:34.000000,2023-02-06 15:36:10,37.0,2.0,3.0,4.0,6.0,Enhance your app with zero trust storage and privacy-preserving data sharing.,5.0,8,False,9.0,1.0,1.0,6.0,2023-02-06 15:38:55,,,3.0,1.2302061536.0,,,,,,,,,,,,,,,,,,,
103,connectme,evernym/connectme,evernym-ssi,,decentralized,,https://github.com/evernym/ConnectMe,https://github.com/evernym/ConnectMe,Apache-2.0,2021-06-22 22:25:37,2023-03-29 20:57:35.000000,2023-03-29 20:57:32,817.0,2.0,4.0,,2.0,Evernyms Connect.Me is an industry leading mobile identity wallet that makes it easy for people to manage their..,16.0,6,False,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
104,cfssl,cloudfare/cfssl,,,pki,,,{},,,2023-05-02 16:04:22.209042,,,,,,23.0,CloudFlares PKI toolkit.,,2,False,,,,,,,,3.0,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2023-05-02 16:04:22.209042,3946351.0,,,,23.0,,,,,,,,,
105,vc-api,w3c-ccg/vs-api,,,standards,['w3c'],,{},W3C,,,,,,,,,,,1,False,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
106,decentralized-web-node,decentralized-identity/decentralize-web-node,,,standards,"['dif', 'web5']",,{},,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,didcomm-messaging,decentralized-identity/didcomm-messagging,,,standards,['dif'],,{},,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
