,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id
38,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-05-04 19:20:15.000000,2023-05-04 14:03:07,2149.0,179.0,24.0,4068.0,3335.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,52.0,28,True,228.0,100.0,335.0,1104.0,2023-05-03 05:10:12,1.0,315.0,2.0,2.25.6,1895.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,https://charts.zitadel.com,,,,,
39,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-05-04 16:48:12.000000,2023-05-02 21:06:20,1190.0,145.0,30.0,1502.0,3027.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,17.0,100.0,98.0,97.0,2023-04-03 23:25:23,70.0,42406.0,3.0,0.27.0,2145.0,70.0,,,,,,,,,oso,https://pypi.org/project/oso,42327.0,,,,,,
40,cerbos,cerbos/cerbos,,,authorization,,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-05-04 19:05:41.000000,2023-05-04 15:14:47,1228.0,61.0,22.0,1306.0,1336.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",18.0,27,True,87.0,49.0,32.0,209.0,2023-04-17 07:47:59,11.0,1289.0,3.0,0.26.0,33517.0,11.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
41,jansen,janssenproject/jans,,,idp,['linux-foundation'],https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-05-04 19:38:25.000000,2023-05-04 19:38:23,32203.0,47.0,23.0,2702.0,214.0,"Welcome to the Janssen Project, an open standards-based digital Identity platform introducing Agama, a programming..",107.0,27,True,621.0,100.0,282.0,1787.0,2023-04-18 11:47:38,,356.0,3.0,1.0.12,713.0,,,,,,,,,,,,,,,,,,
42,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-04-29 00:04:39.000000,2023-03-08 14:05:28,373.0,42.0,23.0,123.0,177.0,Universal did-resolver for javascript environments.,24.0,27,True,2.0,24.0,3.0,18.0,2023-03-08 14:05:37,3881.0,158387.0,1.0,4.1.0,,3881.0,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,158387.0,,,,,,,,,,
43,conjur,cyberark/conjur,,,machine,,https://github.com/cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-05-04 19:15:51.000000,2023-05-04 17:16:42,3282.0,117.0,44.0,1680.0,667.0,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,88.0,26,True,65.0,67.0,206.0,901.0,2023-01-26 20:38:30,,82277.0,3.0,1.19.3,303.0,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-05-04 17:46:49.374283,6828707.0,,,,30.0,,,,,,,,,
44,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-05-04 09:37:21.000000,2023-05-02 13:20:40,3159.0,152.0,19.0,1996.0,224.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,57.0,26,True,34.0,12.0,386.0,1193.0,2023-05-04 09:37:21,281.0,,2.0,0.3.0,,281.0,,,,,,,,,,,,,,,,,
45,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-05-04 14:02:12.000000,2023-05-04 14:02:09,304.0,36.0,23.0,85.0,149.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,21.0,26,True,9.0,37.0,5.0,42.0,2023-05-04 14:02:35,566.0,34281.0,2.0,3.1.4,,566.0,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,34281.0,,,,,,,,,,
46,authentik,goauthentik/authentik,,,idp,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-05-04 19:03:17.000000,2023-05-04 09:03:16,11424.0,299.0,18.0,4151.0,3785.0,The authentication glue you need.,154.0,25,True,667.0,100.0,320.0,906.0,2023-04-18 08:14:30,,38.0,3.0,ersion/2023.4.1,929.0,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
47,kanidm,kanidm/kanidm,,,idp,,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-05-04 09:17:05.000000,2023-05-04 08:40:00,1178.0,84.0,14.0,1126.0,1442.0,"Kanidm: A simple, secure and fast identity management platform.",40.0,25,True,181.0,14.0,104.0,349.0,2023-05-01 01:14:41,42.0,97.0,3.0,1.1.0-alpha.12,18.0,42.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-05-01 02:10:10.116593,4954.0,,,,,,,,,,,,,
48,lemur,netflix/lemur,,,pki,,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-05-01 20:29:53.000000,2023-05-01 18:38:33,5428.0,301.0,395.0,3833.0,1633.0,Repository for the Lemur Certificate Manager.,147.0,24,True,149.0,25.0,120.0,392.0,2023-04-04 20:35:03,,0.0,3.0,1.4.0,47.0,,,,,,,,,,,,,,,,,,
49,opal,permitio/opal,,,authorization,,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-05-01 17:39:59.196694,2023-05-01 10:53:46,1528.0,96.0,18.0,295.0,1272.0,"Policy and data administration, distribution, and real-time updates on top of Open Policy Agent.",36.0,24,True,167.0,28.0,38.0,61.0,2023-05-01 17:36:10,,1165.0,3.0,0.6.1,376.0,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-05-01 17:39:59.196694,31061.0,,,,,,,,,,,,,
50,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-05-02 18:26:54.000000,2023-04-26 23:27:57,7325.0,394.0,32.0,1322.0,344.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,112.0,24,True,202.0,51.0,172.0,728.0,2023-04-06 14:41:18,,,2.0,0.8.1,,,,,,,,,,,,,,,,,,,
51,iota-identity,iotaledger/identity.rs,,,decentralized,,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-05-04 12:07:43.000000,2023-04-18 13:29:56,1330.0,59.0,24.0,880.0,254.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,24,True,31.0,18.0,56.0,198.0,2023-03-08 16:34:58,78.0,,2.0,0.6.2,,78.0,,,,,,,,,,,,,,,,,
52,freeipa,freeipa/freeipa,,,idp,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-05-04 19:31:25.000000,2023-05-04 12:58:15,15556.0,300.0,51.0,6821.0,932.0,"Mirror of FreeIPA, an integrated security information management solution.",215.0,23,True,68.0,,,,,,40843.0,3.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-05-03 05:25:20.268963,5391385.0,,,,148.0,,,,,,,,,
53,athenz,athenz/athenz,,,pki,['linux-foundation'],https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-05-04 07:45:14.000000,2023-05-04 01:23:39,2649.0,234.0,52.0,1953.0,768.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,71.0,23,True,104.0,100.0,25.0,174.0,2023-04-29 01:37:26,,,3.0,1.11.28,,,,,,,,,,,,,,,,,,,
54,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-05-04 01:32:22.000000,2023-04-27 09:26:05,1604.0,204.0,57.0,264.0,455.0,Universal Resolver implementation and drivers.,92.0,23,True,26.0,6.0,23.0,78.0,2022-01-07 16:42:38,,1535.0,2.0,0.5.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-04-27 09:27:47.204956,105945.0,,,,,,,,,,,,,
55,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-05-04 11:54:54.000000,2023-05-03 13:01:26,9542.0,34.0,11.0,698.0,51.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",138.0,23,False,42.0,60.0,32.0,94.0,2023-04-27 05:57:51,10.0,276.0,2.0,0.55.0,9117.0,10.0,,,,,,,,,,,,,,,,,
56,supertokens,supertokens/supertokens-core,,,idp,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-05-04 19:06:28.000000,2023-05-04 12:41:10,702.0,311.0,59.0,245.0,8716.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,22,True,42.0,23.0,93.0,307.0,2023-04-01 06:14:01,,,3.0,4.6.0,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,
57,permify,permify/permify,,,authorization,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-05-04 19:40:45.000000,2023-05-04 19:40:41,1351.0,44.0,11.0,367.0,1339.0,Permify is an open-source authorization service inspired by Google Zanzibar.,20.0,22,True,536.0,24.0,23.0,67.0,2023-04-19 16:38:30,,45.0,3.0,0.3.9,411.0,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
58,appauth-ios,openid/appauth-ios,,,authentication,['openid'],https://github.com/openid/AppAuth-iOS,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-05-01 17:52:41.000000,2023-04-28 17:27:10,390.0,619.0,90.0,302.0,1527.0,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,46.0,21,True,5.0,25.0,157.0,297.0,2023-05-01 17:52:41,,,3.0,1.6.2,,,,,,,,,,,,,,,,,,,
59,veramo,uport-project/veramo,,,decentralized,,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-05-03 17:41:27.000000,2023-05-02 16:01:21,1710.0,96.0,19.0,639.0,308.0,A JavaScript Framework for Verifiable Data.,48.0,21,True,61.0,35.0,57.0,331.0,2023-05-02 15:41:47,,,2.0,5.2.0,,,,,,,,,,,,,,,,,,,
60,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-05-03 06:59:39.000000,2023-05-03 06:55:34,758.0,123.0,26.0,885.0,180.0,Aries Framework JavaScript (Built using TypeScript).,51.0,21,True,113.0,74.0,147.0,391.0,2023-01-18 18:22:49,2.0,,2.0,0.3.3,,2.0,,,,,,,,,,,,,,,,,
61,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-04-17 00:44:42.000000,2023-04-03 11:05:53,243.0,14.0,13.0,112.0,67.0,DID resolver for HTTPS domains.,12.0,21,False,7.0,34.0,1.0,10.0,2023-04-03 11:06:06,561.0,21293.0,2.0,2.0.23,,561.0,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,21293.0,,,,,,,,,,
62,gotrue,netlify/gotrue,,,idp,,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-04-28 01:34:06.000000,2023-04-28 01:34:05,637.0,251.0,64.0,216.0,3376.0,An SWT based API for managing users and issuing SWT tokens.,37.0,20,True,2.0,2.0,10.0,111.0,2022-02-09 12:50:28,10.0,,3.0,1.0.1,,10.0,,,,,,,,,,,,,,,,,
63,sidetree,decentralized-identity/sidetree,,,standards,['dif'],https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-04-24 18:28:00.000000,2023-04-04 19:14:54,1149.0,100.0,42.0,677.0,420.0,Sidetree Specification and Reference Implementation.,46.0,20,True,1.0,12.0,38.0,440.0,2021-03-09 22:06:35,28.0,,2.0,1.0.2,,28.0,,,,,,,,,,,,,,,,,
64,appauth-android,openid/appauth-android,,,authentication,['openid'],https://github.com/openid/AppAuth-Android,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-05-04 10:14:21.000000,2021-12-22 13:03:48,332.0,759.0,234.0,224.0,2440.0,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,46.0,19,False,,,154.0,501.0,,,,3.0,,,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,
65,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-03-23 03:45:28.000000,2023-03-20 08:32:40,214.0,155.0,93.0,183.0,1183.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,30.0,19,True,8.0,17.0,62.0,68.0,2022-06-09 01:42:53,,,2.0,1.0.4,,,,,,,,,,,,,,,,,,,
66,webauthn,w3c/webauthn,,,standards,['w3c'],https://github.com/w3c/webauthn,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-05-04 17:24:58.000000,2023-05-03 19:56:38,2035.0,138.0,168.0,785.0,956.0,Web Authentication: An API for accessing Public Key Credentials.,67.0,19,True,25.0,7.0,71.0,987.0,2018-03-20 13:11:25,,,2.0,CR-00-20180320,,,,,,,,,,,,,,,,,,,
67,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-04-16 09:58:48.000000,2023-03-31 16:40:35,2105.0,204.0,58.0,564.0,297.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,20.0,,48.0,169.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
68,dwn-sdk-js,TBD54566975/dwn-sdk-js,,,decentralized,['web5'],https://github.com/TBD54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-05-04 18:37:03.000000,2023-05-04 18:35:36,230.0,66.0,17.0,188.0,278.0,Decentralized Web Node (DWN) Reference implementation.,25.0,19,True,69.0,10.0,39.0,111.0,,21.0,,2.0,,,21.0,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,
69,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-04-15 21:46:40.000000,2023-04-15 21:46:00,532.0,12.0,5.0,505.0,23.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,4.0,19.0,4.0,77.0,2022-05-29 21:14:21,423.0,633.0,2.0,1.6.0,15213.0,423.0,,,,,,,,,,,,,,,,,
70,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-04-01 02:17:34.000000,2023-03-28 20:25:10,143.0,255.0,94.0,41.0,2070.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,23.0,18,True,2.0,,29.0,22.0,,,1685.0,3.0,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1685.0,,,,,,
71,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-04-21 17:38:20.000000,2023-04-21 17:30:29,14792.0,644.0,115.0,17.0,656.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,710.0,18,True,9.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
72,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-05-04 19:25:10.000000,2023-05-04 17:27:30,1306.0,70.0,85.0,570.0,228.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,57.0,18,True,67.0,,64.0,464.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
73,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-03-17 11:47:08.000000,2023-03-17 11:45:53,148.0,213.0,65.0,102.0,2203.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,49.0,17,True,1.0,40.0,4.0,53.0,2020-04-30 07:36:33,,,3.0,1.2.0,,,,,,,,,,,,,,,,,,,
74,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-05-04 15:29:40.000000,2023-05-02 16:44:19,526.0,143.0,82.0,194.0,1223.0,The SPIFFE Project.,56.0,17,True,18.0,,17.0,37.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
