,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-09-28 17:15:54.000000,2023-09-28 13:37:22,23540.0,975.0,190.0,6259.0,1313.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",456.0,33,True,794.0,220.0,918.0,2767.0,2023-09-22 21:50:21,50.0,614.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-09-28 16:40:23.000000,2023-09-28 16:38:14,1609.0,26.0,23.0,1740.0,53.0,Trinsic SDK repository.,41.0,28,False,76.0,33.0,37.0,374.0,2023-04-24 13:26:38,521.0,1604.0,1.0,1.11.0,8668.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-09-28 17:03:20.000000,2023-09-28 17:03:20,4277.0,46.0,34.0,478.0,195.0,Self Sovereign Identity SDK.,58.0,25,True,308.0,73.0,19.0,47.0,2023-09-28 17:02:04,57.0,6.0,2.0,0.16.0,,1.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-09-28 15:58:33.000000,2023-09-28 11:48:00,3324.0,63.0,13.0,353.0,144.0,All-In-One SSI infrastructure toolkit.,49.0,23,True,145.0,185.0,5.0,244.0,2023-09-28 11:55:26,,2764.0,2.0,1.2309221938.0,57.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-09-27 13:07:08.529648,9313.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-09-28 15:31:37.000000,2023-09-28 15:31:36,1074.0,408.0,611.0,241.0,8601.0,Solid - Re-decentralizing the web (project directory).,42.0,22,True,54.0,1.0,316.0,214.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-09-28 16:32:48.000000,2023-09-26 14:24:39,1547.0,59.0,12.0,513.0,88.0,Self Hosted Issuer Node.,30.0,22,False,69.0,26.0,21.0,96.0,2023-09-05 15:18:13,45.0,,2.0,2.2.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-09-28 13:31:38.000000,2023-09-28 13:26:57,1019.0,121.0,77.0,663.0,410.0,A cross-platform toolkit for decentralized identity.,52.0,19,True,5.0,,127.0,197.0,,116.0,,3.0,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,201.0,97.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-09-28 12:00:28.000000,2023-09-28 12:00:22,7275.0,13.0,8.0,504.0,35.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,234.0,1.0,65.0,1708.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-09-28 14:08:02.000000,2023-09-28 10:52:10,2494.0,2264.0,96.0,1992.0,18870.0,Authentication for the Web.,574.0,41,True,162.0,100.0,221.0,3356.0,2023-08-16 07:48:21,138128.0,2569050.0,1.0,next-auth@4.23.1,,138128.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2569050.0,,,,,,,,,,,
