,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,github,github-id
22,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13346.0,1569.0,237.0,767.0,594.0,54656.0,2018-04-02 17:18:43,1.2.2,2.0,4742.0,4742.0,54.0,,,185620.0,2.0,,1410.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9283.0,face_recognition,https://pypi.org/project/face_recognition,185511.0,,,,,,,,,
23,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,35,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-04-19 15:33:22.000000,2025-04-19 15:30:00,1111.0,2.0,1665.0,243.0,522.0,44.0,792.0,18510.0,2025-04-19 15:31:30,2.105.0,100.0,3397.0,3397.0,153.0,https://www.npmjs.com/package/casbin,264153.0,412861.0,1.0,,,,,,,,casbin,https://pypi.org/project/casbin,148708.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-04-14 09:46:49.000000,2025-04-14 09:46:48,4027.0,38.0,1428.0,236.0,1895.0,71.0,1476.0,16187.0,2025-01-17 08:51:44,2.3.0,100.0,,,306.0,,,3598479.0,2.0,,904587.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,426937630.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
25,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-04-21 09:21:12.000000,2025-04-21 09:21:12,4878.0,39.0,1891.0,188.0,1881.0,558.0,1412.0,11816.0,2025-03-05 07:11:35,r1.5.0,17.0,150.0,150.0,156.0,,,404974.0,2.0,-1.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,404974.0,,,,,,,,,
26,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-04-24 07:48:48.000000,2025-04-16 03:36:29,1661.0,5.0,279.0,40.0,466.0,16.0,472.0,6335.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,96230.0,96230.0,72.0,https://www.npmjs.com/package/@casl/ability,2944724.0,2944724.0,1.0,,,,,,,,,,,,,,,,,,,
27,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-04-23 17:26:40.475670,2025-04-23 17:11:24,2748.0,92.0,1301.0,76.0,1827.0,114.0,1548.0,11414.0,2025-04-23 17:20:11,1.897.0,100.0,11.0,11.0,223.0,,,10377.0,1.0,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-04-23 17:26:40.475670,18.0,560382.0,,,,,,,,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-04-24 18:27:01.767831,2025-04-24 14:41:44,27375.0,962.0,3918.0,597.0,5443.0,,,11220.0,2025-03-21 10:42:43,7.2.0,100.0,21.0,21.0,362.0,,,7228.0,1.0,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-04-24 18:27:01.767831,131.0,1178171.0,,,,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-04-23 09:19:10.000000,2025-04-23 09:19:10,2360.0,12.0,5486.0,516.0,191.0,1162.0,1389.0,24981.0,2023-04-02 07:43:27,0.7,1.0,4018.0,4018.0,66.0,,,315311.0,2.0,,7567417.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,186.0,,,,,,,,,,,,
30,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-04-24 17:39:14.000000,2025-04-24 17:34:22,4747.0,320.0,302.0,50.0,1782.0,95.0,412.0,5596.0,2025-04-02 14:48:28,1.42.1,93.0,108.0,108.0,57.0,,,102898.0,2.0,,155066.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-04-02 15:25:15.007796,7.0,4368863.0,,,,,,,,,,,,
31,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-04-24 15:06:34.000000,2025-04-24 10:35:54,9349.0,180.0,555.0,57.0,6980.0,316.0,1464.0,4525.0,2025-03-20 18:18:54,ockam_v0.150.0,100.0,188.0,188.0,318.0,,,11102.0,2.0,,399698.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,,
