,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,github,github-id
56,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2025-04-17 17:54:55.000000,2025-04-17 17:54:55,3211.0,28.0,298.0,77.0,875.0,288.0,641.0,1786.0,2025-02-21 20:25:35,5.8.5,59.0,3.0,3.0,89.0,https://www.npmjs.com/package/solid-server,1262.0,9173.0,1.0,,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1004736.0,,,,,,,,,,,,
57,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],28,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2025-04-23 23:29:00.000000,2025-04-23 19:12:31,389.0,20.0,46.0,22.0,102.0,2.0,48.0,192.0,2025-04-23 19:12:48,4.0.11,65.0,1203.0,1203.0,22.0,https://www.npmjs.com/package/did-jwt-vc,39805.0,39805.0,1.0,,,,,,,,,,,,,,,,,,,
58,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,27,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-02-26 17:55:37.000000,2025-02-26 17:55:36,1831.0,1.0,13233.0,1533.0,527.0,31.0,844.0,53738.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,7047.0,3.0,,521542.0,,,,,,,,,,,,,,,,,
59,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,27,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3731.0,343.0,111.0,449.0,393.0,17162.0,2020-03-22 14:01:55,0.22.2,38.0,,,25.0,https://www.npmjs.com/package/face-api.js,151991.0,151991.0,3.0,,,,,,,,,,,,,,,,,,,
60,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,1.0,176.0,27.0,1529.0,110.0,104.0,3480.0,2024-01-13 04:08:30,0.27.3,100.0,210.0,210.0,68.0,,,34534.0,3.0,,3538.0,,,,,,oso,https://pypi.org/project/oso,34464.0,,,,,,,,,
61,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project maintains open source IAM components, featuring Agama for identity orchestration, and the..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2025-04-24 18:21:03.000000,2025-04-24 16:19:38,34905.0,189.0,85.0,31.0,6494.0,435.0,4190.0,534.0,2025-04-04 16:31:54,1.5.0,100.0,6.0,6.0,126.0,,,523.0,3.0,-1.0,9427.0,,,,,,,,,,,,,,,,,
62,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2025-04-24 02:52:23.000000,2025-04-24 02:10:12,10016.0,137.0,493.0,29.0,2314.0,129.0,1234.0,448.0,2025-03-13 21:13:48,1.2.4,100.0,,,158.0,,,,1.0,,,,,,,,,,,,,,,,openwallet-foundation/acapy,,,
63,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],26,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2025-04-24 17:55:25.000000,2025-04-04 10:50:07,522.0,2.0,74.0,27.0,154.0,5.0,48.0,223.0,2025-01-06 05:24:12,11.0.3,69.0,1766.0,1766.0,28.0,https://www.npmjs.com/package/ethr-did-resolver,16846.0,16846.0,1.0,,,,,,,,,,,,,,,,,,,
64,hanko,https://github.com/teamhanko/hanko,idp,"The Complete Authentication and User Management Solution for the Passkey Era. Open Source Alternative to Clerk, Auth0,..",,,25,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2025-04-23 15:52:06.000000,2025-04-17 07:42:35,2247.0,48.0,950.0,40.0,1692.0,43.0,346.0,7883.0,2025-03-31 13:22:53,backend/v1.5.1,32.0,314.0,314.0,51.0,,,19.0,3.0,,632.0,,,,,,,,,,,,,,,,,
65,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,25,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2025-04-11 05:33:35.000000,2025-03-03 16:29:56,2035.0,13.0,209.0,30.0,542.0,57.0,101.0,5263.0,2025-02-18 15:31:39,0.8.0,48.0,,,69.0,,,6359.0,3.0,,1436.0,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2025-02-18 15:39:20.906277,1.0,316500.0,,,,,,,,,,,,
66,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2025-04-23 02:43:39.000000,2025-04-23 02:43:39,3373.0,88.0,279.0,52.0,2637.0,28.0,251.0,932.0,2025-04-13 03:10:40,1.12.14,100.0,35.0,35.0,94.0,,,,2.0,,,,,,,,,,,,,,,,,,,
67,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,25,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2025-04-24 15:28:57.000000,2025-04-23 13:50:27,1653.0,73.0,90.0,26.0,1226.0,99.0,301.0,315.0,2025-04-16 11:51:25,1.5.1,36.0,141.0,141.0,43.0,,,,1.0,,,,,,,,,,,,,,,,,,,
68,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,24,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,333.0,27.0,131.0,531.0,786.0,17528.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3301.0,3.0,,201386.0,,,,,,,,,,,,,,,,,
69,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2025-04-23 13:21:37.000000,2025-04-02 11:06:38,1264.0,72.0,571.0,66.0,596.0,128.0,389.0,14060.0,2025-04-03 08:28:31,10.1.3,84.0,,,32.0,,,,3.0,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,
70,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,24,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2025-04-21 17:16:47.000000,2025-04-14 19:05:36,6753.0,165.0,314.0,423.0,4542.0,126.0,419.0,1740.0,2024-06-11 16:44:34,1.8.2,31.0,,,151.0,,,0.0,3.0,,64.0,,,,,,,,,,,,,,,,,
71,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache License Version 2.0..",,,24,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2025-04-21 02:35:37.000000,2025-04-21 02:35:05,2569.0,35.0,348.0,29.0,117.0,3.0,123.0,1634.0,2025-03-31 23:29:37,4.1.7,68.0,,,50.0,,,293.0,3.0,,,maxkeytop/maxkey,https://hub.docker.com/r/maxkeytop/maxkey,2025-03-29 23:51:26.519049,5.0,29687.0,,,,,,,,,,,,
72,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2025-04-23 11:22:44.000000,2025-04-15 10:53:32,16154.0,67.0,344.0,50.0,7781.0,,,1229.0,,,,,,239.0,,,38673.0,3.0,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2025-04-23 05:18:00.415289,173.0,5994401.0,,,,,,,,,,,,
73,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,24,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-04-17 15:43:04.958273,2024-12-31 19:54:56,3793.0,,127.0,45.0,1898.0,178.0,931.0,846.0,2025-02-19 20:39:44,1.21.3,77.0,,,102.0,,,68116.0,3.0,,1118.0,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2025-04-17 15:43:04.958273,30.0,7219025.0,,,,,,,,,,,,
74,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,24,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2025-04-24 12:44:24.000000,2025-04-14 07:52:27,1888.0,51.0,241.0,56.0,351.0,32.0,89.0,586.0,2022-01-07 16:42:38,0.5.0,6.0,,,118.0,,,1484.0,2.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2025-04-14 07:55:43.199815,,136539.0,,,,,,,,,,,,
75,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,24,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2025-04-24 17:49:59.000000,2025-02-27 17:32:56,1900.0,17.0,132.0,22.0,829.0,65.0,392.0,464.0,2024-04-02 18:54:31,6.0.0,44.0,824.0,824.0,58.0,,,,1.0,,,,,,,,,,,,,,,,,,,
76,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,FIDO2 .NET library for FIDO2 / WebAuthn Attestation and Assertion using .NET.,,,23,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2025-02-21 13:56:02.000000,2025-02-21 13:56:01,651.0,1.0,182.0,42.0,304.0,47.0,221.0,1257.0,2022-09-28 20:32:17,3.0.1,19.0,323.0,323.0,50.0,,,,3.0,,,,,,,,,,,,,,,,,,,
77,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,23,True,passwordless-id/webauthn,passwordless-id/webauthn,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2025-03-16 21:06:42.000000,2025-03-16 21:05:50,276.0,24.0,56.0,7.0,33.0,1.0,54.0,524.0,2025-03-16 21:06:42,2.3.0,37.0,4751.0,4751.0,19.0,https://www.npmjs.com/package/passwordless-id/webauthn,,,3.0,,,,,,,,,,,,,,,,,,,
78,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2025-04-24 15:57:22.000000,2025-04-24 15:57:22,14466.0,336.0,141.0,15.0,2089.0,522.0,2440.0,409.0,2023-06-16 12:51:58,11.4.3,55.0,,,91.0,,,104.0,3.0,,9327.0,,,,,,,,,,,,,,,,,
79,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2025-04-23 20:30:29.000000,2025-04-23 20:27:14,1147.0,52.0,197.0,28.0,1409.0,202.0,605.0,295.0,2024-11-07 19:07:51,0.5.13,100.0,,,73.0,,,,2.0,,,,,,,,,,,,,,,,,,,
80,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],23,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2025-04-21 05:42:36.000000,2025-04-21 02:09:17,316.0,15.0,18.0,14.0,125.0,1.0,11.0,88.0,2025-03-29 02:34:05,2.0.30,41.0,1286.0,1286.0,12.0,https://www.npmjs.com/package/web-did-resolver,33911.0,33911.0,2.0,,,,,,,,,,,,,,,,,,,
81,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,22,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-02-02 15:58:38.000000,2025-02-02 15:58:38,586.0,9.0,316.0,61.0,158.0,249.0,599.0,6195.0,2020-09-02 15:57:23,2.6.1,11.0,,,67.0,,,263.0,3.0,,22641.0,,,,,,,,,,,,,,,howdy,,
82,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2025-04-22 20:13:59.000000,2025-04-17 21:08:55,4062.0,9.0,778.0,247.0,352.0,64.0,210.0,2869.0,2015-09-29 22:50:55,1.1.0,4.0,,,59.0,,,858.0,3.0,,117640.0,,,,,,,,,,,,,,,,,
83,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],22,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2025-04-23 18:26:50.000000,2025-04-23 18:12:39,2689.0,24.0,180.0,178.0,958.0,69.0,1182.0,1225.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,81.0,,,,1.0,,,,,,,,,,,,,,,,,,,
84,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2025-04-04 16:19:19.000000,2025-03-31 13:02:07,15158.0,42.0,668.0,109.0,19.0,,,700.0,,,,166.0,166.0,744.0,,,,3.0,-1.0,,,,,,,,,,,,,,,,,,
85,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],22,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2025-04-21 18:03:45.000000,2025-03-31 02:13:21,401.0,4.0,42.0,22.0,132.0,3.0,18.0,218.0,2023-03-08 14:05:37,4.1.0,24.0,7252.0,7252.0,24.0,,,,2.0,,,,,,,,,,,,,,,,,,,
86,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,22,True,walt-id/waltid-identity,,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2025-04-23 14:38:12.000000,2025-04-22 23:05:51,4806.0,345.0,63.0,8.0,808.0,16.0,200.0,164.0,2025-04-02 19:53:09,0.13.0,100.0,1.0,1.0,28.0,,,,2.0,,,waltid/identity,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,
87,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],22,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2025-03-21 12:07:15.000000,2025-03-21 12:07:15,805.0,4.0,51.0,14.0,239.0,29.0,87.0,78.0,2024-02-13 10:21:42,0.2.0,30.0,68.0,68.0,27.0,,,9280.0,2.0,,250575.0,,,,,,,,,,,,,,,,,
88,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],22,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2025-04-23 12:56:56.000000,2025-04-21 15:21:19,2939.0,80.0,37.0,14.0,3778.0,55.0,101.0,73.0,2025-04-18 12:10:57,2.4.1,34.0,954.0,954.0,25.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,,
89,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,21,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,430.0,406.0,25.0,1.0,143.0,28074.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,28915.0,3.0,,1330104.0,,,,,,,,,,,,,,,,,
90,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,21,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2025-03-13 00:50:41.000000,2025-01-14 19:47:39,643.0,,294.0,60.0,236.0,4.0,131.0,4038.0,2022-02-09 12:50:28,1.0.1,2.0,11.0,11.0,41.0,,,,3.0,,,,,,,,,,,,,,,,,,,
91,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],21,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2025-04-23 13:34:24.000000,2025-04-22 20:11:48,414.0,3.0,745.0,95.0,350.0,177.0,360.0,1846.0,2025-04-23 13:34:24,2.0.0,33.0,,,52.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,
92,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,21,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,6.0,122.0,27.0,361.0,50.0,75.0,223.0,2025-02-10 16:01:17,8.5.1,51.0,38.0,38.0,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,
93,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],21,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2025-04-22 23:00:31.000000,2025-04-22 23:00:31,1970.0,75.0,146.0,26.0,1218.0,34.0,247.0,165.0,2025-04-14 21:29:04,1.0.0,1.0,,,56.0,,,,1.0,,,,,,,,,,,,,,,,openwallet-foundation/bifold-wallet,,,
94,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4691.0,558.0,122.0,508.0,622.0,14048.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,
95,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2025-03-10 21:46:47.000000,2025-02-24 16:33:21,4946.0,13.0,658.0,65.0,1821.0,38.0,60.0,695.0,2024-02-09 14:17:29,1.13.2,37.0,,,110.0,,,11.0,2.0,,827.0,,,,,,,,,,,,,,,,,
96,webauthn-ruby,https://github.com/cedarcode/webauthn-ruby,authentication,WebAuthn ruby server library Make your Ruby/Rails web server become a conformant WebAuthn Relying Party.,,,20,True,cedarcode/webauthn-ruby,,https://github.com/cedarcode/webauthn-ruby,MIT,2018-05-09 21:49:17,2025-04-22 20:01:53.000000,2025-02-17 17:26:42,957.0,15.0,58.0,11.0,329.0,5.0,112.0,687.0,,,,1068.0,1068.0,35.0,,,,3.0,,,,,,,,,,,,,,,,,,,
97,laragear-webauthn,https://github.com/Laragear/WebAuthn,authentication,"Authenticate users with Passkeys: fingerprints, patterns and biometric data.",,,20,True,laragear/webauthn,,https://github.com/Laragear/WebAuthn,MIT,2022-06-14 09:13:53,2025-03-27 17:24:56.000000,2025-03-27 17:23:45,163.0,22.0,39.0,3.0,59.0,,43.0,339.0,2025-02-16 06:44:03,4.0.0,22.0,70.0,70.0,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,
98,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,102.0,18.0,545.0,42.0,238.0,325.0,2024-10-23 19:02:40,0.5.2,62.0,482.0,482.0,48.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,,,,,,decentralized-identity/dwn-sdk-js,,,
99,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,160.0,19.0,2046.0,388.0,1196.0,240.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,62.0,,,,2.0,,,,,,,,,,,,,,,,hyperledger-aries/aries-framework-go,,,
100,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],19,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2025-04-08 09:06:28.000000,2025-04-08 09:06:28,1305.0,5.0,290.0,90.0,520.0,31.0,168.0,3119.0,2021-06-23 10:02:43,ctap2.0,1.0,,,23.0,,,,3.0,,,,,,,,,,,,,,,,,,,
101,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,False,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,,297.0,93.0,43.0,28.0,24.0,2917.0,,,,,,26.0,,,2387.0,3.0,,,,,,,,pyja3,https://pypi.org/project/pyja3,2387.0,,,,,,,,,
102,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,19,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2025-04-19 12:58:46.000000,2025-04-19 12:57:43,2573.0,52.0,79.0,19.0,921.0,5.0,132.0,488.0,2025-04-01 14:56:13,0.29.0.RELEASE,75.0,,,32.0,,,,3.0,,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,
103,aries-rfcs,https://github.com/decentralized-identity/aries-rfcs,specs,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],19,True,hyperledger/aries-rfcs,,https://github.com/decentralized-identity/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2025-04-21 12:06:16.000000,2025-03-12 15:21:23,2409.0,15.0,212.0,53.0,645.0,56.0,175.0,333.0,,,,,,94.0,,,,1.0,,,,,,,,,,,,,,,,decentralized-identity/aries-rfcs,,,
104,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,19,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2025-04-23 19:53:49.000000,2025-04-04 14:40:43,627.0,11.0,63.0,32.0,445.0,94.0,119.0,209.0,,,,175.0,175.0,31.0,,,,2.0,,,,,,,,,,,,,,,,,,,
105,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Privado ID.,,,19,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2025-04-17 12:09:15.000000,2025-04-17 11:23:55,526.0,3.0,35.0,4.0,257.0,6.0,39.0,65.0,2025-04-17 12:09:15,1.27.3,92.0,243.0,243.0,19.0,,,,2.0,,,,,,,,,,,,,,,,,,,
106,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],18,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2025-03-10 20:57:13.000000,2025-03-10 20:57:13,343.0,2.0,877.0,247.0,251.0,200.0,554.0,2986.0,,,,,,49.0,,,,3.0,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,,
107,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2025-03-12 16:19:08.000000,2025-03-12 16:19:03,164.0,2.0,220.0,63.0,107.0,3.0,58.0,2421.0,2024-03-06 13:35:30,1.3.0,41.0,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,
108,warrant,https://github.com/warrant-dev/warrant,authorization,"Warrant is a highly scalable, centralized authorization service based on Google Zanzibar. Use it to define, enforce,..",,,18,True,warrant-dev/warrant,,https://github.com/warrant-dev/warrant,Apache-2.0,2023-02-14 23:22:46,2025-04-16 23:04:42.000000,2025-01-13 21:37:13,287.0,,50.0,6.0,308.0,16.0,22.0,1263.0,2024-06-10 20:02:54,1.15.1,100.0,3.0,3.0,5.0,,,99.0,3.0,,2380.0,warrantdev/warrant,https://hub.docker.com/r/warrantdev/warrant,,,,,,,,,,,,,,,
