,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,trending,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
30,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-08-09 18:37:41.000000,2023-08-09 18:37:24,1769.0,12383.0,1525.0,509.0,46702.0,Deepfakes Software For All.,97.0,31,True,46.0,4.0,18.0,800.0,2023-06-18 18:08:19,,1353.0,2.0,,2.2.0,73115.0,,,,,,,,,,,,,,,,,,,
31,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-08-17 17:56:53.000000,2023-08-15 20:40:44,3071.0,195.0,35.0,1112.0,3764.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",32.0,31,True,307.0,50.0,97.0,275.0,2023-08-11 13:19:01,29.0,30861.0,2.0,,1.24.0,19811.0,29.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-08-11 13:37:13.055434,720001.0,,,,,4.0,,,,,,,,,
32,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-08-16 14:46:24.000000,2023-08-04 18:40:36,2541.0,1449.0,177.0,1825.0,8344.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,219.0,30,True,76.0,80.0,273.0,792.0,2023-06-30 14:12:39,16.0,3.0,2.0,,2.37.0,305.0,16.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
33,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-08-07 09:03:21.000000,2023-08-07 09:03:21,1077.0,1427.0,106.0,82.0,7136.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",43.0,30,True,65.0,,9.0,734.0,,1750.0,27682.0,3.0,,,,1750.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,27682.0,,,,,,
34,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-08-17 18:15:24.000000,2023-08-17 12:59:17,3319.0,245.0,203.0,3294.0,3673.0,Boundary enables identity-based access management for dynamic infrastructure.,134.0,30,False,400.0,45.0,72.0,231.0,2023-07-18 12:06:27,8.0,199934.0,3.0,-2.0,0.13.1,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-07-18 12:12:01.655444,8597199.0,,,,,11.0,,,,,,,,,
35,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-08-17 15:11:36.000000,2023-08-17 15:11:32,4952.0,244.0,38.0,670.0,1121.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,291.0,30,True,198.0,44.0,53.0,230.0,2023-07-06 18:10:47,1223.0,,2.0,,6.3.3,,1223.0,,,,,,,,,,,,,,,,,,
36,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-08-17 14:51:44.324561,2023-08-17 09:19:24,1866.0,798.0,55.0,1189.0,6892.0,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",136.0,29,True,248.0,100.0,94.0,858.0,2023-08-17 09:34:45,3.0,2010.0,2.0,1.0,1.392.0,,3.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-08-17 14:51:44.324561,68352.0,,,,,9.0,,,,,,,,,
37,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-07-20 14:16:51.000000,2023-06-22 07:30:12,2361.0,1000.0,107.0,812.0,5178.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,309.0,29,True,5.0,62.0,23.0,825.0,2023-03-29 07:20:04,8029.0,,3.0,,5.6.6,,8029.0,,,,,,,,,,,,,,,,,doorkeeper,
38,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-08-07 14:38:51.000000,2023-08-07 14:38:50,1350.0,311.0,50.0,711.0,3039.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",109.0,29,True,40.0,100.0,47.0,271.0,2023-07-18 10:23:06,2.0,1224484.0,3.0,,0.40.6,28278.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,86909325.0,,,,,30.0,,,,,,,,,
39,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-08-17 16:41:16.000000,2023-08-07 01:17:19,582.0,61.0,40.0,202.0,300.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,11.0,100.0,8.0,76.0,2023-08-04 00:19:57,3780.0,141318.0,1.0,,7.2.5,,3780.0,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,141318.0,,,,,,,,,,
40,deepfacelab,iperov/DeepFaceLab,,,face,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-06-24 17:40:40.000000,2023-04-27 06:45:45,1313.0,8643.0,1082.0,127.0,42000.0,DeepFaceLab is the leading software for creating deepfakes.,22.0,28,True,,2.0,529.0,792.0,2020-04-09 05:48:48,10.0,3842.0,3.0,1.0,DF.wf.288res.384.92.72.22,157544.0,10.0,,,,,,,,,,,,,,,,,,
41,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-08-17 12:09:03.000000,2023-08-17 12:07:10,4636.0,930.0,156.0,4447.0,17134.0,The Single Sign-On Multi-Factor portal for web apps.,130.0,28,True,306.0,100.0,66.0,1061.0,2022-12-21 09:01:04,2.0,586.0,2.0,,4.37.5,25227.0,2.0,,,,,,,,,,,,,,,,,,
42,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-06-14 17:20:44.000000,2023-06-14 17:20:41,735.0,3475.0,760.0,73.0,14827.0,Face recognition with deep neural networks.,30.0,28,True,1.0,4.0,9.0,370.0,2016-02-25 17:42:46,67.0,1688.0,3.0,,0.2.1,,67.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,160367.0,,,,,70.0,,,,,,,,,
43,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-08-17 15:28:12.000000,2023-08-17 09:11:39,4621.0,226.0,34.0,4063.0,6125.0,"Logto is a modern Auth0 alternative for building identity infrastructure with minimal effort, for both your customers..",39.0,28,True,481.0,45.0,54.0,218.0,2023-07-31 12:48:16,7.0,700.0,2.0,,1.7.0,2343.0,7.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-07-31 12:46:08.698387,14427.0,,,,,1.0,,,,,,,,,
44,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-08-17 18:15:39.000000,2023-08-10 17:24:37,6273.0,530.0,138.0,4184.0,4709.0,"An ACME-based certificate authority, written in Go.",126.0,28,True,84.0,79.0,190.0,2648.0,2023-08-14 19:54:10,,21917.0,2.0,,release-2023-08-14,56072.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-08-02 16:29:24.061124,1936414.0,,,,,12.0,,,,,,,,,
45,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-08-17 11:40:50.000000,2023-08-16 11:29:57,2384.0,230.0,28.0,4438.0,4333.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,64.0,28,True,198.0,100.0,377.0,1207.0,2023-08-15 15:19:43,1.0,414.0,2.0,,2.31.7,2073.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
46,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-08-17 09:59:17.000000,2023-08-17 09:58:35,1455.0,290.0,58.0,1032.0,4168.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",68.0,28,True,60.0,50.0,42.0,255.0,,2.0,781198.0,3.0,,,16501.0,2.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,50759107.0,,,,,6.0,,,,,,,,,
47,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-07-24 16:02:04.000000,2023-07-24 15:50:06,1200.0,152.0,31.0,1518.0,3175.0,Oso is a batteries-included framework for building authorization in your application.,63.0,28,True,9.0,100.0,101.0,99.0,2023-04-03 23:25:23,76.0,35884.0,3.0,,0.27.0,2562.0,76.0,,,,,,,,,,oso,https://pypi.org/project/oso,35799.0,,,,,,
48,cerbos,cerbos/cerbos,,,authorization,,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-08-17 12:03:52.000000,2023-08-17 07:24:26,1339.0,79.0,24.0,1423.0,1606.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",23.0,28,True,93.0,52.0,46.0,250.0,2023-07-18 06:50:17,11.0,1497.0,3.0,,0.29.0,43433.0,11.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
49,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-08-15 17:42:50.000000,2023-03-08 14:05:28,373.0,42.0,24.0,125.0,188.0,Universal did-resolver for javascript environments.,24.0,28,True,,24.0,3.0,18.0,2023-03-08 14:05:37,4530.0,174262.0,1.0,,4.1.0,,4530.0,,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,174262.0,,,,,,,,,,
50,whisper,openai/whisper,,,voice,,https://github.com/openai/whisper,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-08-16 21:48:17.000000,2023-08-07 21:48:56,118.0,4759.0,372.0,170.0,43001.0,Robust Speech Recognition via Large-Scale Weak Supervision.,56.0,27,True,3.0,6.0,,,2023-03-15 07:40:02,10.0,173064.0,3.0,,20230314,,10.0,,,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,173064.0,,,,,,
