,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,trending,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
66,athenz,athenz/athenz,,,pki,['linux-foundation'],https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-08-17 17:38:21.000000,2023-08-14 23:30:53,2754.0,243.0,52.0,2036.0,794.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,73.0,23,True,87.0,100.0,30.0,189.0,2023-08-11 03:48:22,,,3.0,,1.10.56,,,,,,,,,,,,,,,,,,,,
67,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-08-17 12:40:12.000000,2023-08-15 13:04:42,1639.0,209.0,59.0,273.0,474.0,Universal Resolver implementation and drivers.,96.0,23,True,29.0,6.0,24.0,80.0,2022-01-07 16:42:38,,1547.0,2.0,,0.5.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-08-15 13:06:31.352672,111393.0,,,,,,,,,,,,,,
68,veramo,uport-project/veramo,,,decentralized,,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-08-17 01:29:58.000000,2023-08-17 01:29:54,1772.0,99.0,21.0,684.0,339.0,A JavaScript Framework for Verifiable Data.,49.0,23,True,58.0,38.0,56.0,337.0,2023-08-04 11:08:10,3.0,,2.0,,5.4.1,,3.0,,,,,,,,,,,,,,,,,,
69,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-08-17 18:06:05.000000,2023-08-17 18:06:03,9620.0,41.0,11.0,789.0,54.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",139.0,23,False,59.0,63.0,36.0,110.0,2023-07-31 12:40:39,5.0,315.0,2.0,,0.57.1,11372.0,5.0,,,,,,,,,,,,,,,,,,
70,howdy,boltgolt/howdy,,,authentication,,https://github.com/boltgolt/howdy,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-08-11 07:32:41.000000,2023-06-25 10:52:49,510.0,259.0,55.0,133.0,4835.0,Windows Hello style facial authentication for Linux.,55.0,22,True,4.0,11.0,180.0,509.0,2020-09-02 15:57:23,,200.0,3.0,,2.6.1,13255.0,,,,,,,,,,,,,,,,,,,howdy
71,openbr,biometrics/openbr,,,face,,https://github.com/biometrics/openbr,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2023-08-15 19:42:48.000000,2023-08-15 19:42:44,4022.0,748.0,254.0,325.0,2806.0,"Open Source Biometrics, Face Recognition.",55.0,22,False,3.0,4.0,63.0,209.0,2015-09-29 22:50:55,,934.0,3.0,,1.1.0,109308.0,,,,,,,,,,,,,,,,,,,
72,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-08-16 17:45:15.000000,2023-08-12 03:57:53,14861.0,648.0,114.0,17.0,664.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,718.0,22,True,42.0,,,,,113.0,,3.0,,,,113.0,,,,,,,,,,,,,,,,,,
73,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-08-17 04:49:52.000000,2023-08-15 19:57:33,3188.0,154.0,20.0,2034.0,233.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,58.0,22,True,21.0,14.0,388.0,1195.0,2023-05-09 10:57:15,2.0,,2.0,-4.0,0.3.2,,2.0,,,,,,,,,,,,,,,,,,
74,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-08-14 03:35:40.000000,2023-08-14 01:54:03,259.0,15.0,14.0,112.0,71.0,DID resolver for HTTPS domains.,12.0,22,False,14.0,38.0,1.0,10.0,2023-07-03 18:25:08,692.0,21888.0,2.0,,2.0.27,,692.0,,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,21888.0,,,,,,,,,,
75,facenet,davidsandberg/facenet,,,face,,https://github.com/davidsandberg/facenet,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,4660.0,568.0,122.0,13154.0,Face recognition using Tensorflow.,36.0,21,False,,,495.0,618.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
76,gotrue,netlify/gotrue,,,idp,,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-07-10 22:46:24.000000,2023-05-05 17:28:31,638.0,260.0,64.0,219.0,3512.0,An SWT based API for managing users and issuing SWT tokens.,38.0,21,True,,2.0,12.0,117.0,2022-02-09 12:50:28,10.0,,3.0,,1.0.1,,10.0,,,,,,,,,,,,,,,,,,
77,sidetree,decentralized-identity/sidetree,,,standards,['dif'],https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-07-18 23:13:06.000000,2023-04-04 19:14:54,1149.0,101.0,41.0,679.0,428.0,Sidetree Specification and Reference Implementation.,47.0,21,True,,12.0,37.0,441.0,2021-03-09 22:06:35,30.0,,1.0,,1.0.2,,30.0,,,,,,,,,,,,,,,,,,
78,appauth-ios,openid/appauth-ios,,,authentication,['openid'],https://github.com/openid/AppAuth-iOS,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-06-29 18:54:02.000000,2023-06-26 17:39:09,391.0,635.0,90.0,303.0,1566.0,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,47.0,20,True,1.0,25.0,151.0,312.0,2023-05-01 17:52:41,,,3.0,,1.6.2,,,,,,,,,,,,,,,,,,,,
79,dwn-sdk-js,TBD54566975/dwn-sdk-js,,,decentralized,['web5'],https://github.com/TBD54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-08-17 17:02:38.000000,2023-08-17 02:59:12,317.0,74.0,18.0,284.0,301.0,Decentralized Web Node (DWN) Reference implementation.,31.0,20,True,67.0,19.0,47.0,141.0,,78.0,,2.0,,,,78.0,,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,
80,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-08-17 14:06:14.000000,2023-08-16 07:48:40,800.0,136.0,25.0,939.0,203.0,Aries Framework JavaScript (Built using TypeScript).,53.0,20,True,35.0,75.0,161.0,418.0,2023-06-03 17:51:03,2.0,,2.0,,0.4.0,,2.0,,,,,,,,,,,,,,,,,,
81,appauth-android,openid/appauth-android,,,authentication,['openid'],https://github.com/openid/AppAuth-Android,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-08-15 11:57:57.000000,2023-07-12 07:05:13,339.0,773.0,236.0,228.0,2531.0,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,47.0,19,True,7.0,,160.0,517.0,,,,3.0,,,,,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,
82,webauthn,w3c/webauthn,,,standards,['w3c'],https://github.com/w3c/webauthn,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-08-16 18:25:20.000000,2023-08-16 18:23:56,2085.0,144.0,172.0,802.0,1008.0,Web Authentication: An API for accessing Public Key Credentials.,70.0,19,True,40.0,7.0,80.0,1004.0,2018-03-20 13:11:25,,,2.0,,CR-00-20180320,,,,,,,,,,,,,,,,,,,,
83,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-07-26 13:53:14.000000,2023-07-24 21:30:11,2151.0,205.0,59.0,571.0,311.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,21.0,,50.0,171.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
84,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-08-04 01:49:10.000000,2023-08-04 01:49:08,540.0,11.0,6.0,518.0,23.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,8.0,19.0,4.0,77.0,2022-05-29 21:14:21,496.0,618.0,3.0,,1.6.0,16709.0,496.0,,,,,,,,,,,,,,,,,,
85,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,220.0,64.0,103.0,2242.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,50.0,18,True,1.0,40.0,5.0,53.0,2020-04-30 07:36:33,,,3.0,,1.2.0,,,,,,,,,,,,,,,,,,,,
86,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-03-23 03:45:28.000000,2023-03-20 08:32:40,214.0,160.0,92.0,183.0,1204.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,30.0,18,True,,17.0,68.0,68.0,2022-06-09 01:42:53,,,3.0,,1.0.4,,,,,,,,,,,,,,,,,,,,
87,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-08-17 10:17:09.000000,2023-08-15 20:57:02,1461.0,74.0,82.0,637.0,248.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,60.0,18,True,134.0,,55.0,538.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
88,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-08-16 19:52:24.000000,2023-08-16 19:27:52,1528.0,99.0,22.0,701.0,114.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,38.0,18,True,106.0,,59.0,164.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
89,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-05-25 18:52:34.000000,2023-05-25 18:52:34,148.0,265.0,96.0,41.0,2226.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,25.0,17,True,2.0,,27.0,23.0,,,1132.0,3.0,,,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1132.0,,,,,,
90,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-07-31 20:22:44.000000,2023-07-29 03:29:41,3557.0,67.0,27.0,5.0,227.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,16,True,7.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
91,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-08-17 00:15:50.000000,2023-07-14 13:35:29,523.0,39.0,29.0,345.0,149.0,Core library for decentralized identity.,20.0,16,True,2.0,,72.0,102.0,,107.0,,3.0,,,,107.0,,,,,,,,,,,,,,,,,,
92,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-08-11 10:41:37.354822,2023-08-11 10:34:50,686.0,25.0,2.0,105.0,33.0,"Supercharge your app with SSI, NFTs or fungible tokens.",12.0,16,False,36.0,37.0,3.0,39.0,2023-08-11 10:41:39,,123.0,3.0,,1.2308111035.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-08-11 10:41:37.354822,2831.0,,,,,,,,,,,,,,
93,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OID4VCI,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-08-11 02:01:55.000000,2023-08-11 02:01:46,562.0,8.0,6.0,55.0,33.0,OpenID for Verifiable Credential Issuance - client and issuer library.,11.0,16,False,75.0,9.0,2.0,5.0,2023-06-24 17:03:38,8.0,,3.0,,0.6.0,,8.0,,,,,Sphereon-Opensource/OID4VCI,,,,,,,,,,,,,
94,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-08-16 18:23:03.000000,2023-08-16 18:07:14,530.0,144.0,82.0,199.0,1279.0,The SPIFFE Project.,57.0,15,True,2.0,,17.0,38.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
95,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-08-17 13:57:06.000000,2023-08-14 08:16:36,918.0,35.0,48.0,174.0,432.0,Solid Technical Reports.,19.0,15,True,38.0,1.0,185.0,128.0,2021-12-21 13:00:06,,,2.0,,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,,
96,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,83.0,76.0,487.0,377.0,W3C Decentralized Identifier Specification v1.0.,62.0,15,True,,,30.0,324.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
97,tbd-ssi-sdk,tbd54566975/ssi-sdk,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-08-17 18:11:06.000000,2023-08-17 18:11:05,291.0,48.0,12.0,294.0,184.0,self sovereign identity sdk.,16.0,15,True,41.0,4.0,44.0,104.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
98,tbd-ssi-service,tbd54566975/ssi-service,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-service,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-08-17 16:58:39.000000,2023-08-15 15:03:40,410.0,49.0,11.0,446.0,136.0,The Self Sovereign Identity Service.,20.0,15,True,118.0,3.0,90.0,121.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
99,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-07-21 12:27:42.000000,2023-07-21 12:27:41,146.0,69.0,27.0,174.0,81.0,Aries Framework .NET for building multiplatform SSI services.,31.0,15,False,4.0,,42.0,28.0,,42.0,,3.0,,,,42.0,,,,,,,,,,,,,,,,,,
100,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-08-17 17:11:01.000000,2023-08-17 17:10:32,614.0,30.0,31.0,223.0,72.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,36.0,15,False,5.0,,49.0,163.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
101,anoncreds,hyperledger/anoncreds-spec,,,standards,['hyperledger'],https://github.com/hyperledger/anoncreds-spec,https://github.com/hyperledger/anoncreds-spec,Apache-2.0,2022-02-19 17:05:57,2023-08-16 19:04:30.000000,2023-08-14 14:12:05,369.0,25.0,13.0,113.0,38.0,The specification for AnonCreds verifiable credential exchange.,22.0,15,False,43.0,,23.0,25.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
102,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-08-17 13:23:38.000000,2023-08-14 14:35:10,369.0,15.0,4.0,98.0,36.0,SDK to work with Polygon ID.,14.0,15,False,109.0,19.0,4.0,17.0,2023-08-03 19:46:10,36.0,,3.0,,1.0.2,,36.0,,,,,,,,,,,,,,,,,,
103,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-08-10 01:16:24.000000,2023-07-10 15:35:10,912.0,8.0,7.0,102.0,24.0,A Typescript implementation of the DIF Presentation Exchange specification.,15.0,15,False,32.0,25.0,3.0,19.0,2023-07-10 15:34:14,16.0,2.0,3.0,,2.1.0,57.0,16.0,,,,,,,,,,,,,,,,,,
104,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-08-13 23:38:18.424366,2023-08-13 23:33:42,329.0,6.0,2.0,30.0,20.0,OIDC identity provider for SSI & NFTs.,9.0,15,False,60.0,21.0,,36.0,2023-08-13 23:43:03,,39.0,3.0,,1.2308132334.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-08-13 23:38:18.424366,676.0,,,,,,,,,,,,,,
105,verity-sdk,evernym/verity-sdk,evernym-ssi,,decentralized,,https://github.com/evernym/verity-sdk,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,38.0,13.0,115.0,46.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,36.0,14,False,,,,,,14.0,,3.0,,,,14.0,,,,,,,,,,,,,,,,,,
106,appauth-js,openid/appauth-js,,,authentication,['openid'],https://github.com/openid/AppAuth-JS,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,151.0,37.0,93.0,930.0,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,10.0,13,False,,,30.0,102.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
107,fedfm,fedidcg/FedCM,,,standards,['w3c'],https://github.com/fedidcg/FedCM,https://github.com/fedidcg/FedCM,,2020-03-20 21:58:44,2023-08-16 15:09:45.000000,2023-08-11 20:14:23,660.0,50.0,72.0,243.0,282.0,A privacy preserving identity exchange Web API.,30.0,13,False,9.0,,150.0,98.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
108,beyond,cogolabs/beyond,,,machine,,https://github.com/cogolabs/beyond,https://github.com/cogolabs/beyond,	Apache-2.0,2017-08-13 18:29:25,2022-05-26 15:15:14.000000,2022-05-25 16:48:25,133.0,25.0,9.0,2.0,233.0,BeyondCorp-inspired HTTPS/SSO Access Proxy. Secure internal services outside your VPN/perimeter network during a zero-..,5.0,13,False,,4.0,4.0,1.0,2022-05-26 15:15:14,,244.0,3.0,,1.8.10,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,17622.0,,,,,,,,,,,,,,
109,siop-oid4vp,sphereon-opensource/siop-oid4vp,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/SIOP-OID4VP,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2023-08-09 20:50:28.000000,2023-08-03 22:31:32,579.0,18.0,8.0,42.0,66.0,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,10.0,13,False,16.0,12.0,5.0,11.0,,40.0,1.0,3.0,,,24.0,40.0,,,,,,,,,,,,,,,,,,
110,bbs-signature,decentralized-identity/bbs-signature,,,standards,['dif'],https://github.com/decentralized-identity/bbs-signature,https://github.com/decentralized-identity/bbs-signature,Apache-2.0,2021-08-23 11:09:09,2023-08-10 00:09:39.000000,2023-07-10 21:10:47,766.0,17.0,14.0,155.0,52.0,The BBS Signature Scheme.,14.0,13,False,120.0,,13.0,113.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
111,mobile-sdk,evernym/mobile-sdk,evernym-ssi,,decentralized,,https://github.com/evernym/mobile-sdk,https://github.com/evernym/mobile-sdk,Apache-2.0,2020-01-14 21:16:21,2023-07-20 15:10:24.000000,2023-03-29 23:11:14,598.0,5.0,63.0,82.0,17.0,Evernyms SDK for building mobile identity agents. This is a read-only mirror. Contributions are welcomed at..,25.0,13,False,,100.0,,,2021-03-22 11:09:10,,4.0,3.0,,1.4.1,198.0,,,,,,,,,,,,,,,,,,,
112,ssi-mobile-wallet,sphereon-opensource/ssi-mobile-wallet,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,GPL-3.0,2022-11-08 00:55:26,2023-08-17 14:52:09.000000,2023-08-17 14:52:08,795.0,6.0,5.0,148.0,30.0,Open-Source Mobile SSI Wallet.,8.0,11,False,58.0,,2.0,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
113,react-native-white-label-app,evernym/react-native-white-label-app,evernym-ssi,,decentralized,,https://github.com/evernym/react-native-white-label-app,https://github.com/evernym/react-native-white-label-app,Apache-2.0,2020-12-01 15:41:06,2023-03-29 23:06:53.000000,2023-03-29 23:06:51,786.0,7.0,13.0,1.0,11.0,The Evernym React Native White Label App uses the Mobile SDK to implement a basic mobile identity wallet ready for..,21.0,11,False,,,3.0,,,27.0,,3.0,,,,27.0,,,,,,,,,,,,,,,,,,
114,universal-wallet-interop-spec,w3c-ccg/universal-wallet-interop-spec,,,standards,['w3c'],https://github.com/w3c-ccg/universal-wallet-interop-spec,https://github.com/w3c-ccg/universal-wallet-interop-spec,W3C,2020-08-25 01:43:15,2023-05-18 13:45:33.000000,2023-02-22 15:32:05,319.0,12.0,43.0,47.0,52.0,A data model and abstract interfaces for digital wallets.,10.0,10,False,,,42.0,24.0,,2.0,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,
115,credible,spruceid/credible,spruceid,,decentralized,,https://github.com/spruceid/credible,https://github.com/spruceid/credible,Apache-2.0,2020-07-23 21:18:28,2023-03-07 17:08:52.000000,2022-05-09 17:48:40,193.0,17.0,17.0,71.0,37.0,A reference credential wallet built on Flutter and DIDKit.,11.0,10,False,,,10.0,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
116,entra-verifiedid-wallet-library-android,microsoft/entra-verifiedid-wallet-library-android,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-android,https://github.com/microsoft/entra-verifiedid-wallet-library-android,MIT,2022-11-17 18:59:22,2023-08-15 17:00:26.000000,2023-08-10 19:04:03,57.0,1.0,10.0,56.0,14.0,A library to manage your Decentralized Identities and Verified IDs on Android.,4.0,10,False,14.0,2.0,1.0,1.0,2023-06-20 20:22:25,,,3.0,,1.0.0,,,,,,,,,,,,,,,,,,,,
117,entra-verifiedid-wallet-library-ios,microsoft/entra-verifiedid-wallet-library-ios,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,MIT,2022-11-17 19:38:59,2023-08-14 21:14:42.000000,2023-08-09 17:23:50,55.0,2.0,10.0,51.0,13.0,A library to manage your Decentralized Identities and Verified IDs on iOS.,3.0,10,False,10.0,2.0,2.0,1.0,2023-06-19 17:55:50,,,3.0,,1.0.0,,,,,,,,,,,,,,,,,,,,
118,talao-wallet,talaodao/talao-wallet,talao-altme,,decentralized,,https://github.com/TalaoDAO/talao-wallet,https://github.com/TalaoDAO/talao-wallet,Apache-2.0,2021-06-29 14:41:04,2023-03-20 12:52:28.000000,2023-03-20 08:12:52,3967.0,5.0,2.0,69.0,10.0,An open source SSI wallet prpposed as a white label solution - EBSI conformant.,14.0,10,False,,1.0,18.0,244.0,2023-01-06 16:00:40,,,3.0,,old_talao,,,,,,,,,,,,,,,,,,,,
119,waltid-web-wallet,walt-id/waltid-web-wallet,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,,2023-07-27 19:04:55,2023-08-11 10:35:45.000000,2023-08-11 10:35:21,38.0,,1.0,16.0,,"Custodian wallet white-label solution, with which you can enable users to receive, share and store Verifiable..",5.0,10,False,38.0,5.0,,,2023-08-11 10:42:52,,1966.0,3.0,,1.2308111035.0,,,waltid/ssikit-web-wallet,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-06-29 16:56:55.416195,1966.0,,,,,,,,,,,,,,
120,vlei,weboftrust/vlei,,,standards,,https://github.com/WebOfTrust/vLEI,https://github.com/WebOfTrust/vLEI,Apache-2.0,2021-04-19 14:33:35,2023-08-03 17:26:55.000000,2023-05-18 17:06:05,84.0,11.0,8.0,32.0,18.0,Public Open Specifications for GLEIF vLEI (verifiable Legal Entity Identifiers).,4.0,9,False,,,20.0,27.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
121,connectme,evernym/connectme,evernym-ssi,,decentralized,,https://github.com/evernym/ConnectMe,https://github.com/evernym/ConnectMe,Apache-2.0,2021-06-22 22:25:37,2023-03-29 20:57:35.000000,2023-03-29 20:57:32,817.0,3.0,4.0,,3.0,Evernyms Connect.Me is an industry leading mobile identity wallet that makes it easy for people to manage their..,16.0,8,False,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
122,waltid-storagekit,walt-id/waltid-storagekit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-storagekit,https://github.com/walt-id/waltid-storagekit,Apache-2.0,2021-11-15 09:47:22,2023-02-06 15:36:34.000000,2023-02-06 15:36:10,37.0,2.0,3.0,4.0,9.0,Enhance your app with zero trust storage and privacy-preserving data sharing.,5.0,7,False,,1.0,1.0,6.0,2023-02-06 15:38:55,,,3.0,,1.2302061536.0,,,,,,,,,,,,,,,,,,,,
