,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,trending,gem_url,brew_id,apt_id,github,github-id
62,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],27,True,nodesolidserver/node-solid-server,nodesolidserver/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2026-03-21 18:56:41.000000,2026-01-11 10:32:45,3308.0,,300.0,73.0,904.0,299.0,644.0,1800.0,2026-01-07 15:47:40,6.0.0,,8601.0,60.0,3.0,3.0,90.0,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005697.0,1.0,solid-server,https://www.npmjs.com/package/solid-server,1418.0,,,,,,,,,,,,,
63,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],27,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2026-05-06 01:19:16.000000,2026-05-06 01:19:14,3781.0,112.0,299.0,50.0,2991.0,40.0,289.0,989.0,2026-05-05 01:00:10,1.12.40,,,100.0,380.0,380.0,107.0,,,,,3.0,,,,,,,,,,,,,,,,
64,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2026-05-05 01:41:02.000000,2026-05-05 01:40:23,10518.0,131.0,499.0,23.0,2685.0,147.0,1296.0,484.0,2026-04-01 23:21:41,1.6.0,,,100.0,,,167.0,,,,,1.0,,,,,,,openwallet-foundation/acapy,,,,,,,,,
65,authgear,https://github.com/authgear/authgear-server,idp,"Open source Auth0/Clerk/Firebase alternative. Passkeys, SSO, MFA, passwordless, biometric login. Self-hosted or cloud...",,,25,True,authgear/authgear-server,,https://github.com/authgear/authgear-server,Apache-2.0,2020-06-16 03:34:34,2026-05-07 09:48:41.000000,2026-05-07 09:45:38,23890.0,722.0,112.0,10.0,3303.0,348.0,1947.0,1742.0,2026-05-06 14:13:33,2026-05-06.0,677.0,11.0,73.0,9.0,9.0,50.0,,,,,3.0,,,,,,,,,,,,,,,,
66,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,"Passkeys, FIDO2 and WebAuhtn .NET library.",,,25,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2026-04-20 15:45:25.000000,2026-04-20 15:43:43,692.0,8.0,199.0,41.0,348.0,32.0,250.0,1424.0,2026-04-06 10:34:14,4.0.1,,,25.0,385.0,385.0,55.0,,,,,2.0,,,,,,,,,,,,,,,,
67,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,25,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2026-02-11 23:35:11.000000,2026-02-11 23:33:40,571.0,9.0,184.0,34.0,149.0,2.0,107.0,1039.0,2026-02-11 23:35:38,2.7.1,,4978303.0,37.0,,,32.0,,,,,2.0,,,,webauthn,https://pypi.org/project/webauthn,4978303.0,,,,,-2.0,,,,,
68,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2026-05-07 12:47:09.000000,2026-02-11 12:59:21,1942.0,4.0,133.0,22.0,868.0,69.0,393.0,535.0,2026-02-11 12:59:23,7.0.0,,,47.0,929.0,929.0,59.0,,,,,1.0,,,,,,,,,,,,,,,,
69,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],25,True,decentralized-identity/did-jwt-vc,,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2026-05-05 18:49:39.000000,2026-03-26 17:16:19,406.0,1.0,45.0,19.0,104.0,4.0,49.0,208.0,2025-08-26 05:57:14,4.0.16,,62867.0,70.0,1373.0,1373.0,22.0,,,,,1.0,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,62867.0,,,,,,,,,,,,,
70,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,24,False,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,864.0,76.0,131.0,531.0,786.0,19183.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,227894.0,3079.0,2.0,21.0,21.0,22.0,,,,,3.0,,,,,,,,,,,,,,,,
71,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,registry.supertokens.io/supertokens/supertokens-postgresql,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2026-05-07 10:27:00.000000,2026-05-05 13:48:40,1505.0,124.0,657.0,65.0,707.0,132.0,405.0,15030.0,2026-03-19 19:47:15,11.0.7,,,100.0,,,36.0,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,3.0,,,,,,,,,,,,,,,,
72,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,24,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2026-04-21 08:14:26.000000,2026-04-21 08:14:24,8174.0,178.0,390.0,37.0,1537.0,,324.0,1604.0,2026-04-01 09:40:52,dmcp-0.4.0,,,100.0,,,341.0,,,,,3.0,,,,,,,DuendeSoftware/products,,,,,,,,,
73,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,freeipa/freeipa-server,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2026-05-07 17:33:19.000000,2026-05-05 23:49:59,16511.0,114.0,362.0,45.0,8396.0,,,1402.0,,,,38204.0,,,,258.0,https://hub.docker.com/r/freeipa/freeipa-server,2026-05-07 07:35:42.868870,181.0,6418373.0,3.0,,,,,,,,,,,,,,,,
74,iota-identity,https://github.com/iotaledger/identity,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity,Apache-2.0,2020-02-06 14:33:11,2026-05-06 16:35:35.000000,2026-04-29 17:07:11,1757.0,26.0,98.0,24.0,1342.0,90.0,352.0,348.0,2026-04-29 17:39:53,1.9.6-beta.1,,,64.0,157.0,157.0,44.0,,,,,1.0,,,,,,,iotaledger/identity,,,,,,,,,
75,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],24,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2026-05-07 13:32:37.000000,2026-05-04 13:18:05,428.0,10.0,43.0,21.0,134.0,3.0,19.0,230.0,2026-05-04 13:17:45,5.0.1,,,27.0,7911.0,7911.0,25.0,,,,,2.0,,,,,,,,,,,2.0,,,,,
76,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],24,False,inrupt/solid-client-authn-js,,https://github.com/inrupt/solid-client-authn-js,MIT,2019-11-21 00:49:46,2026-05-07 14:01:43.000000,2026-05-06 12:06:55,3195.0,46.0,41.0,11.0,4105.0,56.0,106.0,77.0,2026-03-30 08:40:11,4.0.0,,,39.0,999.0,999.0,27.0,,,,,3.0,inrupt/solid-client-authn-node,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,,,,,,,,,,,
77,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache-2.0 is free IAM-..",,,23,True,dromara/MaxKey,maxkeytop/maxkey,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2026-05-06 06:22:25.000000,2026-05-06 06:21:33,2748.0,7.0,393.0,30.0,124.0,3.0,134.0,1884.0,2026-02-02 00:59:44,4.1.11,,401.0,72.0,,,60.0,https://hub.docker.com/r/maxkeytop/maxkey,2026-02-01 06:50:25.105245,5.0,45717.0,3.0,,,,,,,,,,,,,,,,
78,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],23,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2026-05-07 11:35:17.000000,2026-04-23 14:42:26,15343.0,42.0,680.0,106.0,21.0,,,709.0,,,,,,194.0,194.0,760.0,,,,,3.0,,,,,,,,,,,,,,,,
79,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,universalresolver/uni-resolver-web,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2026-05-07 19:20:17.000000,2026-04-24 08:06:26,2085.0,25.0,276.0,55.0,426.0,35.0,90.0,638.0,2022-01-07 16:42:38,0.5.0,,1468.0,6.0,,,135.0,https://hub.docker.com/r/universalresolver/uni-resolver-web,2026-04-24 08:23:48.703345,,154216.0,2.0,,,,,,,,,,,,,,,,
80,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2026-05-07 18:32:47.000000,2026-05-07 18:32:47,14892.0,93.0,151.0,14.0,2304.0,107.0,2925.0,489.0,2023-06-16 12:51:58,11.4.3,10176.0,99.0,55.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
81,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2026-05-07 14:27:19.000000,2026-05-07 14:24:15,1404.0,64.0,230.0,26.0,1836.0,245.0,651.0,343.0,2026-04-29 08:06:01,0.7.0,,,100.0,,,89.0,,,,,2.0,,,,,,,,,,,,,,,,
82,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,23,True,walt-id/waltid-identity,waltid/identity,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2026-05-07 15:52:27.000000,2026-05-07 15:16:01,12908.0,691.0,115.0,6.0,1374.0,5.0,315.0,278.0,2026-04-10 10:14:10,0.19.0,,,100.0,,,45.0,https://hub.docker.com/r/waltid/identity,,,,2.0,,,,,,,,,,,,,,,,
83,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],23,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2026-05-07 18:29:27.000000,2026-05-07 18:26:42,2194.0,29.0,178.0,21.0,1512.0,23.0,286.0,192.0,2026-05-07 18:29:27,3.0.4,,,64.0,7.0,7.0,65.0,,,,,1.0,,,,,,,openwallet-foundation/bifold-wallet,,,,,,,,,
84,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],23,False,decentralized-identity/web-did-resolver,,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2026-05-06 22:27:25.000000,2026-05-06 17:42:42,385.0,17.0,20.0,12.0,126.0,1.0,11.0,99.0,2025-12-03 20:47:02,2.0.32,,51688.0,43.0,1461.0,1461.0,12.0,,,,,2.0,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,51688.0,,,,,,,,,,,,,
85,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,22,False,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,1216.0,457.0,25.0,1.0,143.0,30815.0,2023-01-21 09:26:53,TINA_SHIFT,1640510.0,27805.0,35.0,,,11.0,,,,,3.0,,,,,,,,,,,,,,,,
86,gotrue,https://github.com/netlify/gotrue,idp,An JWT based API for managing users and issuing JWT tokens.,,,22,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2026-04-28 09:16:00.000000,2026-04-28 09:06:09,682.0,38.0,322.0,53.0,286.0,7.0,137.0,4388.0,2022-02-09 12:50:28,1.0.1,,,2.0,11.0,11.0,48.0,,,,,3.0,,,,,,,,,,,,,,,,
87,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],22,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2026-05-06 18:08:59.000000,2026-05-06 18:07:43,2800.0,19.0,262.0,190.0,1010.0,73.0,1259.0,1388.0,2018-03-20 13:11:25,CR-00-20180320,,,7.0,,,83.0,,,,,1.0,,,,,,,,,,,,,,,,
88,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,22,True,cyberark/conjur,cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-11-20 20:24:22.000000,2025-11-10 16:00:50,4111.0,,143.0,47.0,1907.0,137.0,974.0,955.0,2025-11-20 20:24:03,1.24.0,1832.0,64396.0,83.0,,,115.0,https://hub.docker.com/r/cyberark/conjur,2025-11-10 16:58:40.255868,29.0,7661087.0,3.0,,,,,,,,,,,,,,,,
89,django-passkeys,https://github.com/mkalioby/django-passkeys,authentication,Django Authentication Backend For Passkeys.,,,22,True,mkalioby/django-passkeys,,https://github.com/mkalioby/django-passkeys,MIT,2022-10-28 09:46:58,2026-05-01 14:12:25.000000,2026-05-01 14:10:43,90.0,24.0,30.0,6.0,35.0,9.0,31.0,250.0,2026-05-01 14:12:25,2.1.0,,9317.0,9.0,24.0,24.0,6.0,,,,,3.0,,,,django-passkeys,https://pypi.org/project/django-passkeys,9317.0,,,,,2.0,,,,,
90,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-07-29 10:07:27.000000,2025-06-22 10:19:45,592.0,,371.0,69.0,177.0,312.0,614.0,7501.0,2020-09-02 15:57:23,2.6.1,32360.0,326.0,11.0,,,69.0,,,,,3.0,,,,,,,,,,,,,,howdy,,
91,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,21,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2026-01-09 17:26:39.000000,2025-11-14 16:30:51,4083.0,,782.0,237.0,368.0,64.0,210.0,2901.0,2015-09-29 22:50:55,1.1.0,127014.0,846.0,4.0,,,60.0,,,,,3.0,,,,,,,,,,,,,,,,
92,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,21,True,passwordless-id/webauthn,,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2026-02-28 16:05:47.000000,2026-02-15 16:52:31,304.0,9.0,59.0,7.0,40.0,1.0,64.0,603.0,2026-02-15 16:48:57,2.3.5,,,42.0,5569.0,5569.0,20.0,,,,,3.0,passwordless-id/webauthn,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,-2.0,,,,,
93,hyperledger-anoncreds-rs,https://github.com/anoncreds/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],21,False,hyperledger/anoncreds-rs,,https://github.com/anoncreds/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2026-01-07 14:36:37.000000,2026-01-07 14:36:37,835.0,,57.0,12.0,249.0,29.0,91.0,87.0,2025-11-13 16:53:54,0.2.3,398239.0,9955.0,33.0,76.0,76.0,28.0,,,,,2.0,,,,,,,anoncreds/anoncreds-rs,,,,,,,,,
94,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,21,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2026-04-08 20:25:48.000000,2026-04-07 17:30:12,4003.0,771.0,69.0,11.0,1031.0,175.0,164.0,76.0,,,,,1.0,74.0,74.0,39.0,,,,,2.0,,,,,,,,,,,,,,,,
95,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4667.0,548.0,123.0,511.0,619.0,14320.0,,,,,,,,36.0,,,,,3.0,,,,,,,,,,,,,,,,
96,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2026-05-04 21:34:04.000000,2026-05-04 20:43:24,418.0,4.0,788.0,93.0,368.0,184.0,368.0,2001.0,2025-04-23 13:34:24,2.0.0,,,33.0,,,53.0,,,,,3.0,,,,,,,,,,,,,,,,
97,indy-node,https://github.com/hyperledger-indy/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,False,hyperledger/indy-node,,https://github.com/hyperledger-indy/indy-node,Apache-2.0,2016-12-21 05:45:04,2026-04-27 12:56:51.000000,2025-02-24 16:33:21,4946.0,,648.0,61.0,1839.0,39.0,60.0,704.0,2024-02-09 14:17:29,1.13.2,2223.0,26.0,37.0,,,111.0,,,,,2.0,,,,,,,hyperledger-indy/indy-node,,,,,,,,,
98,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,20,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2026-05-04 18:40:58.000000,2026-05-01 11:56:05,2929.0,117.0,91.0,19.0,1092.0,10.0,154.0,575.0,2026-05-01 12:39:50,0.31.5.RELEASE,,,91.0,,,39.0,,,,,3.0,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,
99,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,False,TBD54566975/dwn-sdk-js,,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,99.0,18.0,546.0,42.0,238.0,322.0,2024-10-23 19:02:40,0.5.2,,,62.0,493.0,493.0,48.0,,,,,2.0,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,decentralized-identity/dwn-sdk-js,,,,,,,,,
100,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,20,False,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,,127.0,27.0,364.0,56.0,78.0,263.0,2025-02-10 16:01:17,8.5.1,,,51.0,44.0,44.0,58.0,,,,,3.0,,,,,,,,,,,,,,,,
101,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,156.0,17.0,2046.0,388.0,1196.0,240.0,2023-05-09 10:57:15,0.3.2,,,14.0,3.0,3.0,62.0,,,,,2.0,,,,,,,hyperledger-aries/aries-framework-go,,,,,,,,,
102,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Privado ID.,,,20,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2026-04-08 15:14:12.000000,2026-03-18 12:13:33,703.0,38.0,41.0,4.0,356.0,6.0,39.0,72.0,2026-03-18 12:14:01,1.43.0,,,100.0,271.0,271.0,19.0,,,,,2.0,,,,,,,,,,,,,,,,
103,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],19,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2026-05-07 05:13:38.000000,2026-05-07 05:13:34,1334.0,8.0,313.0,83.0,555.0,11.0,202.0,3334.0,2021-06-23 10:02:43,ctap2.0,,,1.0,,,25.0,,,,,3.0,,,,,,,,,,,,,,,,
104,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2025-05-01 17:30:05.000000,2025-05-01 17:30:05,152.0,,308.0,91.0,43.0,28.0,24.0,3098.0,,,,3943.0,,1.0,1.0,27.0,,,,,3.0,,,,pyja3,https://pypi.org/project/pyja3,3943.0,,,,,,,,,,
105,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,19,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2026-04-16 12:47:30.000000,2026-04-16 12:41:11,648.0,5.0,73.0,33.0,472.0,96.0,123.0,258.0,,,,,,218.0,218.0,33.0,,,,,2.0,,,,,,,,,,,,,,,,
106,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],18,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2026-03-22 20:54:07.000000,2026-03-22 20:54:07,347.0,2.0,941.0,242.0,260.0,218.0,555.0,3224.0,,,,,,,,51.0,,,,,3.0,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,,
107,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2025-10-22 16:06:57.000000,2025-10-22 16:06:52,166.0,,221.0,61.0,108.0,,61.0,2458.0,2024-03-06 13:35:30,1.3.0,,,41.0,,,54.0,,,,,3.0,,,,,,,,,,,,,,,,
108,ion,https://github.com/decentralized-identity/ion,dids,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,False,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,161.0,82.0,184.0,72.0,70.0,1231.0,2022-06-09 01:42:53,1.0.4,,,17.0,,,32.0,,,,,2.0,,,,,,,,,,,,,,,,
109,webauthn-json,https://github.com/github/webauthn-json,authentication,A small WebAuthn API wrapper that translates to/from pure JSON using base64url.,,,18,True,github/webauthn-json,,https://github.com/github/webauthn-json,MIT,2019-07-01 18:52:54,2025-08-25 21:02:41.000000,2025-08-11 13:26:58,295.0,,61.0,290.0,36.0,,53.0,789.0,2023-01-31 02:32:05,2.1.1,,,52.0,30.0,30.0,15.0,,,,,3.0,github/webauthn-json,https://www.npmjs.com/package/github/webauthn-json,,,,,,,,,,,,,,
110,libfido2,https://github.com/Yubico/libfido2,authentication,"Provides library functionality for FIDO2, including communication with a device over USB or NFC.",,,18,False,yubico/libfido2,,https://github.com/Yubico/libfido2,,2018-04-19 06:32:10,2026-05-06 09:07:48.000000,2026-05-06 09:07:45,2107.0,90.0,163.0,61.0,610.0,9.0,250.0,710.0,,,,,,,,72.0,,,,,3.0,,,,,,,,,,,,,,,,
111,solid-specification,https://github.com/solid/specification,specs,Solid Technical Reports.,,['solid'],18,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2026-05-07 10:46:18.000000,2026-04-27 06:30:13,1301.0,19.0,53.0,46.0,357.0,193.0,152.0,559.0,2021-12-21 13:00:06,protocol-v0.9.0,,,1.0,,,31.0,,,,,1.0,,,,,,,,,,,,,,,,
112,sidetree,https://github.com/decentralized-identity/sidetree,specs,Sidetree Specification and Reference Implementation.,,['dif'],18,False,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2024-12-12 16:15:38.000000,2023-04-04 19:14:54,1149.0,,107.0,38.0,684.0,37.0,441.0,436.0,2021-03-09 22:06:35,1.0.2,,,12.0,,,47.0,,,,,1.0,,,,,,,,,,,,,,,,
113,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],18,False,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2024-12-11 23:50:38.000000,2024-10-03 18:09:33,367.0,,58.0,12.0,399.0,49.0,107.0,211.0,2024-10-03 18:13:37,0.0.1-beta,,,5.0,75.0,75.0,23.0,,,,,2.0,,,,,,,,,,,,,,,,
114,cf-identity-wallet,https://github.com/cardano-foundation/veridian-wallet,ssi-agents,Veridian Wallet is an open source mobile application developed by the Cardano Foundation. Built on the KERI and ACDC..,,,18,True,cardano-foundation/cf-identity-wallet,,https://github.com/cardano-foundation/veridian-wallet,Apache-2.0,2022-12-19 13:49:48,2026-04-20 13:57:22.000000,2026-03-23 13:17:11,1881.0,66.0,36.0,13.0,1636.0,7.0,10.0,141.0,2026-04-20 13:58:08,1.2.1,,,6.0,,,21.0,,,,,2.0,,,,,,,cardano-foundation/veridian-wallet,,,,,,,,,
