,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,trending,gem_url,brew_id,apt_id,github,github-id
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-05-07 18:54:05.684291,2026-05-07 18:44:06,4297.0,161.0,326.0,41.0,5168.0,86.0,1009.0,4795.0,2026-04-28 17:19:36,0.32.6,58614.0,18333142.0,100.0,24.0,24.0,102.0,https://hub.docker.com/r/pomerium/pomerium,2026-05-07 18:54:05.684291,13.0,1613238406.0,2.0,,,,,,,,,,,,,,,,
31,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-05-02 05:25:46.000000,2026-05-02 05:25:38,2828.0,85.0,763.0,67.0,289.0,,3.0,3732.0,2026-04-27 15:20:32,9.8.3,,1143702.0,100.0,2137.0,2137.0,76.0,,,,,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,1143702.0,,,,,,,,,,,,,
32,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,32,True,casbin/casbin,,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-05-06 11:15:52.000000,2026-05-06 11:15:36,1168.0,5.0,1730.0,236.0,652.0,45.0,893.0,20091.0,2026-05-06 11:15:52,3.11.0-snapshot.3,17.0,2717599.0,100.0,,,165.0,,,,,1.0,casbin,https://www.npmjs.com/package/casbin,597254.0,casbin,https://pypi.org/project/casbin,2120345.0,apache/casbin,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
33,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],32,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-05-07 18:13:25.000000,2026-05-07 18:13:20,3881.0,223.0,1810.0,166.0,3247.0,338.0,888.0,10796.0,2026-03-03 13:43:12,2.45.1,362.0,2.0,94.0,197.0,197.0,299.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
34,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-05-06 23:22:03.000000,2026-05-06 23:13:14,5537.0,144.0,382.0,50.0,2429.0,96.0,482.0,6699.0,2026-04-30 15:50:04,1.52.0,213133.0,153726.0,100.0,171.0,171.0,75.0,https://hub.docker.com/r/authzed/spicedb,2026-04-30 15:55:15.436062,7.0,8479912.0,1.0,,,,,,,,,,,,,,,,
35,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-05-07 18:34:14.000000,2026-05-07 18:34:12,1932.0,93.0,377.0,56.0,1406.0,42.0,294.0,5342.0,2026-03-20 14:29:37,26.2.0,46848.0,526054.0,55.0,41.0,41.0,87.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51502361.0,1.0,,,,,,,,,,,,,,,,
36,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-05-07 18:33:47.000000,2026-05-07 18:33:46,1696.0,69.0,397.0,47.0,774.0,66.0,310.0,3596.0,2026-03-20 11:40:09,26.2.0,26459.0,873146.0,100.0,16.0,16.0,125.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90780350.0,2.0,,,,,,,,,,,,,,,,
37,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,425.0,29.0,567.0,99.0,362.0,606.0,2025-10-07 20:02:21,7.5.4,,3925140.0,55.0,2241.0,2241.0,181.0,,,,,2.0,,,,pysaml2,https://pypi.org/project/pysaml2,3925140.0,,,,,6.0,,,,,
38,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-05-07 18:36:56.000000,2026-05-07 18:36:54,21959.0,1244.0,1583.0,69.0,17287.0,786.0,3387.0,21361.0,2026-04-07 16:18:57,ersion/2026.2.2,7148.0,264.0,100.0,,,541.0,,,,,2.0,,,,,,,,https://charts.goauthentik.io,,,,,,,,
39,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-05-07 13:38:08.000000,2026-05-07 08:58:22,8471.0,306.0,775.0,51.0,7777.0,166.0,649.0,12000.0,2026-04-30 02:55:56,1.39.0,8067.0,7342.0,83.0,9.0,9.0,92.0,https://hub.docker.com/r/svhd/logto,2026-05-07 09:03:45.118038,7.0,423535.0,2.0,,,,,,,,,,,,,,,,
