,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,new_addition,brew_id,gem_url,apt_id
30,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-04-29 16:37:54.000000,2023-04-29 16:37:54,1010.0,1289.0,99.0,70.0,6246.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",40.0,30,True,52.0,,10.0,669.0,,1362.0,54745.0,2.0,,,1362.0,,,,,,,,,,,deepface,https://pypi.org/project/deepface,54745.0,,,,True,,,
31,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-04-18 07:54:13.000000,2023-04-18 07:54:13,2354.0,997.0,108.0,807.0,5136.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,307.0,30,True,23.0,62.0,20.0,825.0,2023-03-29 07:20:04,7732.0,,2.0,5.6.6,,7732.0,,,,,,,,,,,,,,,,,,,doorkeeper,
32,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-05-09 10:54:10.000000,2023-05-09 02:21:18,4287.0,901.0,156.0,4087.0,16300.0,The Single Sign-On Multi-Factor portal for web apps.,126.0,29,True,394.0,100.0,68.0,1034.0,2022-12-21 09:01:04,2.0,553.0,2.0,4.37.5,22149.0,2.0,,,,,,,,,,,,,,,,,,,,
33,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-05-03 18:02:09.000000,2023-04-26 17:03:16,1310.0,303.0,48.0,695.0,2955.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",105.0,29,True,30.0,100.0,51.0,262.0,2023-04-26 17:01:50,2.0,1121378.0,3.0,0.40.3,22694.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-04-26 17:01:50.032478,76230751.0,,,,,,24.0,,,,,,,,,,
34,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,284.0,82.0,828.0,1737.0,Solid server on top of the file-system in NodeJS.,85.0,29,True,14.0,51.0,274.0,611.0,2023-03-17 17:09:04,36.0,8745.0,1.0,5.7.7,,36.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,847306.0,,,solid-server,https://www.npmjs.com/package/solid-server,598.0,4.0,,,,,,,,,,
35,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-05-09 03:09:24.000000,2023-05-08 15:44:04,4727.0,218.0,39.0,576.0,1023.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,29,True,272.0,39.0,59.0,198.0,2023-02-02 17:27:15,982.0,,3.0,6.2.3,,982.0,,,,,,,,,,,,,,,,,,,,
36,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-05-09 09:09:36.000000,2023-05-03 18:19:34,569.0,62.0,38.0,199.0,291.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,19.0,91.0,6.0,73.0,2023-05-03 18:20:07,3250.0,93011.0,1.0,7.1.0,,3250.0,,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,93011.0,,,,,,,,,,,
37,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-11-04 19:08:42.000000,2019-11-26 15:56:28,734.0,3462.0,764.0,73.0,14743.0,Face recognition with deep neural networks.,30.0,28,False,,4.0,8.0,370.0,2016-02-25 17:42:46,65.0,1727.0,3.0,0.2.1,,65.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,158942.0,,,,,,70.0,,,,,,,True,,,
38,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-05-09 04:59:18.000000,2023-05-08 22:21:46,2418.0,1408.0,175.0,1706.0,8087.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,216.0,28,True,100.0,79.0,278.0,774.0,2023-03-20 13:29:42,15.0,2.0,3.0,2.36.0,248.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,,
39,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-05-08 16:08:03.000000,2023-05-08 16:06:52,1578.0,702.0,51.0,999.0,5933.0,An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform and AI gateway with web UI..,116.0,28,True,233.0,100.0,109.0,661.0,2023-05-08 08:59:41,1.0,1481.0,2.0,1.311.1,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-04-28 16:56:13.403124,45929.0,,,,,,6.0,,,,,,,,,,
