,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-05-25 18:03:02.000000,2023-05-25 15:35:32,22456.0,927.0,193.0,5745.0,1235.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",435.0,34,True,445.0,200.0,832.0,2590.0,2023-05-23 13:25:58,342.0,576.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-05-25 15:42:10.000000,2023-05-25 15:39:42,1516.0,27.0,11.0,1617.0,49.0,Trinsic SDK repository.,41.0,27,False,76.0,33.0,4.0,370.0,2023-04-24 13:26:38,441.0,1695.0,1.0,1.11.0,7705.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-05-25 13:44:32.000000,2023-05-19 02:58:31,3690.0,32.0,22.0,425.0,152.0,Self Sovereign Identity SDK.,48.0,26,True,989.0,60.0,9.0,36.0,2023-05-07 22:03:49,110.0,6.0,2.0,0.11.0,,8.0,1.0,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-05-25 15:24:44.000000,2023-05-25 15:23:50,2737.0,69.0,12.0,345.0,137.0,Use web3 identity / self-sovereign identity (SSI).,56.0,23,True,437.0,108.0,21.0,259.0,2023-05-24 10:24:55,,471.0,2.0,1.2305121558.0,36.0,,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-05-12 16:08:43.462498,5026.0,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-05-21 19:37:44.000000,2023-05-18 22:52:30,1012.0,407.0,621.0,212.0,8589.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,35.0,1.0,313.0,208.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-05-25 12:40:01.000000,2023-05-23 16:47:33,1274.0,24.0,13.0,395.0,63.0,Self Hosted Issuer Node.,23.0,21,False,730.0,12.0,8.0,80.0,2023-05-23 16:53:24,10.0,,2.0,.2.1.0,,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-05-25 00:17:13.000000,2023-05-17 08:11:05,1007.0,112.0,75.0,635.0,388.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,18.0,,122.0,193.0,,143.0,,2.0,,,40.0,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,93.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,40.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-05-25 06:32:16.000000,2023-05-25 06:31:52,6975.0,10.0,7.0,486.0,29.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,546.0,1.0,76.0,1446.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-05-25 04:58:46.000000,2023-05-22 23:28:22,2278.0,1989.0,91.0,1798.0,16755.0,Authentication for the Web.,530.0,41,True,152.0,100.0,149.0,2929.0,2023-04-28 15:09:18,88057.0,2031923.0,1.0,@next-auth/neo4j-adapter@1.0.6,,88057.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2031923.0,,,,,,,,,,
10,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-05-25 18:02:30.000000,2023-05-25 15:36:20,22031.0,5242.0,359.0,11533.0,16152.0,Open Source Identity and Access Management For Modern Applications and Services.,1170.0,41,True,721.0,36.0,1612.0,4627.0,2023-04-26 10:24:38,300.0,60939.0,1.0,21.1.1,1767238.0,300.0,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,
11,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-05-25 13:18:21.000000,2023-05-25 13:09:56,3638.0,1809.0,236.0,3865.0,10834.0,CoreDNS is a DNS server that chains plugins.,353.0,41,True,69.0,65.0,79.0,2045.0,2023-02-06 18:30:04,5118.0,2815983.0,1.0,1.10.1,6692038.0,5118.0,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,234980693.0,,,,,137.0,,,,,,,,,
12,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-05-18 04:03:18.000000,2023-01-10 13:20:21,1645.0,455.0,68.0,481.0,2582.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,48.0,74.0,289.0,2023-01-10 13:13:43,374326.0,79969884.0,1.0,3.2.2,,374326.0,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,79969884.0,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-05-25 17:50:26.000000,2023-05-24 11:49:22,7782.0,1809.0,146.0,2913.0,10362.0,Automatically provision and manage TLS certificates in Kubernetes.,394.0,39,True,270.0,100.0,174.0,2824.0,2023-05-25 14:48:36,479.0,1324283.0,1.0,1.12.1,47674203.0,479.0,,,,,,,,,,,,,,,,,,,
