,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
85,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-07-26 13:53:14.000000,2023-07-24 21:30:11,2151.0,204.0,59.0,571.0,309.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,21.0,,50.0,171.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
86,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,220.0,64.0,103.0,2239.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,50.0,18,True,1.0,40.0,5.0,53.0,2020-04-30 07:36:33,,,3.0,1.2.0,,,,,,,,,,,,,,,,,,,,,
87,appauth-js,openid/appauth-js,,,authentication,['openid'],https://github.com/openid/AppAuth-JS,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,150.0,37.0,93.0,928.0,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,10.0,18,False,,,30.0,102.0,,1725.0,,3.0,,1725.0,,,,,,,,,,,,,,,,,,,,
88,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-08-02 12:41:58.000000,2023-08-02 01:37:42,1518.0,98.0,23.0,691.0,111.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,37.0,18,True,123.0,,47.0,163.0,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
89,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-05-25 18:52:34.000000,2023-05-25 18:52:34,148.0,264.0,96.0,41.0,2208.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,25.0,17,True,2.0,,27.0,23.0,,,1301.0,3.0,,,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1301.0,,,,,,
90,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-08-02 10:55:09.685073,2023-08-02 10:50:02,684.0,24.0,2.0,103.0,32.0,"Supercharge your app with SSI, NFTs or fungible tokens.",12.0,17,False,46.0,35.0,3.0,39.0,2023-08-02 10:55:11,,103.0,3.0,1.2308021050.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-08-02 10:55:09.685073,2390.0,,,,,,,,,,,,,,,
91,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-07-05 18:09:53.000000,2023-07-05 18:09:51,529.0,143.0,82.0,196.0,1270.0,The SPIFFE Project.,57.0,16,True,3.0,,16.0,38.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
92,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-07-31 20:22:44.000000,2023-07-29 03:29:41,3557.0,66.0,27.0,5.0,227.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,16,True,8.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
93,tbd-ssi-sdk,tbd54566975/ssi-sdk,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-07-31 17:52:54.000000,2023-07-31 17:52:53,285.0,48.0,12.0,288.0,182.0,self sovereign identity sdk.,16.0,16,True,49.0,4.0,43.0,103.0,,2.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,
94,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OID4VCI,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-06-27 12:24:38.000000,2023-06-27 12:24:36,557.0,8.0,6.0,55.0,32.0,OpenID for Verifiable Credential Issuance - client and issuer library.,11.0,16,False,75.0,9.0,,5.0,2023-06-24 17:03:38,8.0,,3.0,0.6.0,8.0,,,,,,Sphereon-Opensource/OID4VCI,,,,,,,,,,,,,,
