,name,homepage,category,description,resource,labels,projectrank,show,github_id,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,updated_at,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,license,maven_id,maven_url,gem_url,helm_id,brew_id,github,apt_id,github-id
17,ageitgey-face-recognition,{},biometrics,GPU Face Recognition built from https://github.com/ageitgey/face_recognition.,,,12,False,ageitgey/face_recognition,face_recognition,5671.0,5671.0,55.0,https://pypi.org/project/face_recognition,199705.0,199705.0,2.0,,,,5.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,2021-08-17 00:42:22.824355,20.0,20.0,12281.0,,,,,,,,,
18,node-oidc-provider,{},authentication,,,,12,False,panva/node-oidc-provider,,2302.0,2302.0,76.0,,,2287069.0,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,2287069.0,,,,,,,,,,,,,,,,,
19,did-jwt,{},dids,,,['dif'],12,False,decentralized-identity/did-jwt,,6279.0,6279.0,42.0,,,340521.0,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,340521.0,,,,,,,,,,,,,,,,,
20,coredns,{},machine,CoreDNS docker repository.,,"['linux-foundation', 'cncf']",11,False,coredns/coredns,,15033.0,15033.0,512.0,,,,1.0,,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2026-07-10 06:57:15.135816,2026-07-10 06:57:15.135816,166.0,166.0,334316408.0,,,,,,,,,
21,did-jwt-vc,{},ssi-sdks,,,['dif'],11,False,decentralized-identity/did-jwt-vc,,1385.0,1385.0,22.0,,,78316.0,1.0,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,78316.0,,,,,,,,,,,,,,,,,
22,paddlespeech,{},biometrics,,,,11,False,PaddlePaddle/PaddleSpeech,paddlepaddle,172.0,172.0,163.0,https://pypi.org/project/paddlepaddle,2442681.0,2442681.0,2.0,,,,,,,,,,,,,,,,,,,,
23,open-policy-agent,{},authorization,Official build of the Open Policy Agent project.,,"['cncf', 'linux-foundation']",10,False,open-policy-agent/opa,,7256.0,7256.0,605.0,,,,1.0,,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2026-08-13 17:48:38.985270,2026-08-13 17:48:38.985270,47.0,47.0,619930028.0,,,,,,,,,
24,vault,{},pki,,,['hashicorp'],10,False,hashicorp/vault,,15940.0,15940.0,1623.0,,,,1.0,,,,,,,,,,,,Business Source License 1.1,,,,,,,,
25,web-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/web-did-resolver,,1493.0,1493.0,12.0,,,93725.0,2.0,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,93725.0,,,,,,,,,,,,,,,,,
26,ethr-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/ethr-did-resolver,,1923.0,1923.0,29.0,,,48111.0,2.0,ethr-did-resolver,https://www.npmjs.com/package/ethr-did-resolver,48111.0,,,,,,,,,,,,,,,,,
27,whisper,{},biometrics,,,,10,False,openai/whisper,openai-whisper,24.0,24.0,82.0,https://pypi.org/project/openai-whisper,4648978.0,4648978.0,2.0,,,,7.0,,,,,,,,,,,,,,,,
28,casbin,{},authorization,,,,9,False,casbin/casbin,casbin,,,173.0,https://pypi.org/project/casbin,2993649.0,3881827.0,1.0,casbin,https://www.npmjs.com/package/casbin,888178.0,,,,,,,,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
29,oso,{},authorization,,,,9,False,osohq/oso,oso,224.0,224.0,68.0,https://pypi.org/project/oso,33729.0,33729.0,1.0,,,,,,,,,,,,,,,,,,,,
30,yubikey-manager,{},pki,,,,9,False,Yubico/yubikey-manager,yubikey-manager,241.0,241.0,53.0,https://pypi.org/project/yubikey-manager,40488.0,40488.0,1.0,,,,,,,,,,,,,,,,,,,,
31,passport,{},authentication,,,,9,False,jaredhanson/passport,,,,38.0,,,31526850.0,2.0,passport,https://www.npmjs.com/package/passport,31526850.0,-9.0,,,,,,,,,,,,,,,,
32,casl,{},authorization,,,,8,False,stalniy/casl,,,,78.0,,,6484336.0,2.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,6484336.0,-8.0,,,,,,,,,,,,,,,,
33,doorkeeper,{},authentication,,,,8,False,doorkeeper-gem/doorkeeper,,11447.0,11447.0,341.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,,
34,py_webauthn,{},authentication,,,,8,False,duo-labs/py_webauthn,webauthn,,,35.0,https://pypi.org/project/webauthn,7316323.0,7316323.0,2.0,,,,,,,,,,,,,,,,,,,,
35,node-solid-server,{},ssi-agents,Node Solid Server.,,['solid'],7,False,nodesolidserver/node-solid-server,,3.0,3.0,92.0,,,2620.0,1.0,solid-server,https://www.npmjs.com/package/solid-server,2620.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,2024-04-30 17:23:49.835167,5.0,5.0,1005980.0,MIT,,,,,,,,
36,cert-manager,{},pki,,,['linux-foundation'],7,False,cert-manager/cert-manager,,2825.0,2825.0,576.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
37,did-resolver,{},dids,,,['dif'],7,False,decentralized-identity/did-resolver,,8006.0,8006.0,25.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
38,face-api-js,{},biometrics,,,,7,False,justadudewhohacks/face-api.js,,,,25.0,,,502006.0,3.0,face-api.js,https://www.npmjs.com/package/face-api.js,502006.0,,,,,,,,,,,,,,,,,
39,insightface,{},biometrics,,,,7,False,deepinsight/insightface,,5301.0,5301.0,67.0,,,,3.0,,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,2021-03-18 22:57:48.799620,,,350.0,,,,,,,,,
40,cas,{},idp,"Welcome to the home of the Central Authentication Service project, more commonly referred to as CAS.",,,6,False,apereo/cas,,24.0,24.0,378.0,,,,1.0,,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2026-08-13 02:07:37.831734,2026-08-13 02:07:37.831734,132.0,132.0,1838435.0,,,,,,,,,
41,casdoor,{},idp,A UI-first centralized authentication / Single-Sign-On (SSO) platform based on OAuth 2.0 / OIDC.,,,6,False,casdoor/casdoor,,12.0,12.0,305.0,,,,1.0,,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2026-08-13 15:33:20.133630,2026-08-13 15:33:20.133630,23.0,23.0,1524524.0,,,,,,,,,
42,ory-kratos,{},idp,"Never build user login, user registration, 2fa, profile management ever again!.",,['ory'],6,False,ory/kratos,,56.0,56.0,246.0,,,,1.0,,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,2026-03-20 14:10:20.091266,22.0,22.0,116370730.0,,,,,https://k8s.ory.sh/helm/charts,,,,
43,logto,{},idp,The open source identity solution.,,,6,False,logto-io/logto,,15.0,15.0,112.0,,,,1.0,,,,,svhd/logto,https://hub.docker.com/r/svhd/logto,2026-08-13 10:56:55.381723,2026-08-13 10:56:55.381723,7.0,7.0,578329.0,MPL-2.0,,,,,,,,
44,dex,{},authentication,,,['linux-foundation'],6,False,dexidp/dex,,210.0,210.0,308.0,,,,2.0,,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,
45,spire,{},machine,,,"['cncf', 'linux-foundation']",6,False,spiffe/spire,,220.0,220.0,276.0,,,,2.0,,,,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
46,veramo,{},ssi-sdks,,,,6,False,decentralized-identity/veramo,,935.0,935.0,60.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
47,keystone,{},idp,,,['openstack'],6,False,openstack/keystone,,199.0,199.0,763.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
48,solid-client-authn-js,{},authentication,,,['solid'],6,False,inrupt/solid-client-authn-js,,1006.0,1006.0,28.0,,,,2.0,inrupt/solid-client-authn-node,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,,,,,,,,,,,,,,,
49,did-method-plc,{},dids,,,,6,False,did-method-plc/did-method-plc,,1.0,1.0,15.0,,,472147.0,3.0,did-resolver,https://www.npmjs.com/package/did-resolver,472147.0,,,,,,,,,,,,,,,,,
50,passwordlessid-webauthn,{},authentication,,,,6,False,passwordless-id/webauthn,,5608.0,5608.0,20.0,,,,2.0,passwordless-id/webauthn,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,,,,,,,,,,
51,freeipa,{},idp,FreeIPA server in container.,,,5,False,freeipa/freeipa,,,,265.0,,,,2.0,,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2026-08-11 08:35:17.041137,2026-08-11 08:35:17.041137,181.0,181.0,6549036.0,,,,,,,,,
52,openface,{},biometrics,OpenFace.,,,5,False,cmusatyalab/openface,,96.0,96.0,32.0,,,,3.0,,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,2018-06-18 18:11:58.528635,71.0,71.0,164009.0,,,,,,,,,
53,boundary,{},machine,Boundary provides simple and secure access to hosts and services.,,['hashicorp'],5,False,hashicorp/boundary,,14.0,14.0,206.0,,,,2.0,,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,2026-04-30 15:31:22.303713,21.0,21.0,24416752.0,,,,,,,,,
54,spicedb,{},authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,5,False,authzed/spicedb,,179.0,179.0,80.0,,,,2.0,,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2026-07-24 19:50:15.694509,2026-07-24 19:50:15.694509,7.0,7.0,10785305.0,,,,,,,,,
55,kanidm,{},idp,Kanidm Server.,,,5,False,kanidm/kanidm,,42.0,42.0,158.0,,,,2.0,,,,,kanidm/server,https://hub.docker.com/r/kanidm/server,2026-08-02 03:25:48.074200,2026-08-02 03:25:48.074200,5.0,5.0,991490.0,,,,,,,,,
56,hanko,{},idp,,,,5,False,teamhanko/hanko,,342.0,342.0,56.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
57,ockam,{},machine,,,,5,False,build-trust/ockam,,190.0,190.0,318.0,,,,2.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,,
58,athenz,{},pki,,,['linux-foundation'],5,False,athenz/athenz,,380.0,380.0,112.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
59,spruceid-ssi,{},ssi-sdks,Core library for decentralized identity.,,,5,False,spruceid/ssi,,223.0,223.0,33.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
60,polygon-js-sdk,{},ssi-sdks,,,,5,False,0xPolygonID/js-sdk,,276.0,276.0,21.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
61,gotrue,{},idp,,,,5,False,netlify/gotrue,,11.0,11.0,48.0,,,,2.0,,,,,,,,,,,,MIT,,,,,,,,
62,dwn-sdk-js,{},ssi-agents,,,['web5'],5,False,TBD54566975/dwn-sdk-js,,500.0,500.0,48.0,,,,2.0,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,,,,,,,,
63,django-passkeys,{},authentication,,,,5,False,mkalioby/django-passkeys,django-passkeys,25.0,25.0,6.0,https://pypi.org/project/django-passkeys,7672.0,7672.0,3.0,,,,,,,,,,,,,,,,,,,,
64,fido2-net-lib,{},authentication,,,,5,False,passwordless-lib/fido2-net-lib,,419.0,419.0,55.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
65,oathkeeper,{},machine,"A cloud native, security first firewall for your APIs. Integrates natively with ORY Hydra.",,['ory'],4,False,ory/oathkeeper,,16.0,16.0,125.0,,,,3.0,,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,2026-03-20 11:39:54.790499,44.0,44.0,91089658.0,,,,,,,,,
66,wso2-identity-server,{},idp,WSO2 Identity Server.,,,4,False,wso2/product-is,,,,753.0,,,,3.0,,,,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2026-06-02 07:04:46.132226,2026-06-02 07:04:46.132226,40.0,40.0,2051533.0,,,,,,,,,
67,conjur,{},machine,Secrets management and machine identity for modern infrastructure.,,,4,False,cyberark/conjur,,,,118.0,,,,3.0,,,,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2026-07-14 23:11:57.083033,2026-07-14 23:11:57.083033,29.0,29.0,7706370.0,LGPL,,,,,,,,
68,pomerium,{},machine,Pomerium is an identity-aware access proxy.,,,4,False,pomerium/pomerium,,24.0,24.0,103.0,,,,3.0,,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2026-08-12 18:57:40.590870,2026-08-12 18:57:40.590870,14.0,14.0,1613470495.0,,,,,,,,,
69,keto,{},authorization,Use best practices established by cloud providers and express complex permission environments.,,['ory'],4,False,ory/keto,,43.0,43.0,87.0,,,,3.0,,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,2026-03-20 14:29:27.004272,10.0,10.0,51741551.0,,,,,,,,,
70,opal,{},authorization,,,,4,False,permitio/opal,,47.0,47.0,79.0,,,,3.0,,,,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2026-07-19 12:29:18.777408,2026-07-19 12:29:18.777408,1.0,1.0,568046.0,,,,,,,,,
71,satosa,{},authentication,,,,4,False,IdentityPython/satosa,,44.0,44.0,58.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
72,ja3,{},pki,,,,4,False,salesforce/ja3,pyja3,1.0,1.0,27.0,https://pypi.org/project/pyja3,2300.0,2300.0,2.0,,,,,,,,,,,,,,,,,,,,
73,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,4,False,spruceid/didkit,,14.0,14.0,23.0,,,,2.0,,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,
74,hyperledger-anoncreds-rs,{},ssi-sdks,,,['hyperledger'],4,False,hyperledger/anoncreds-rs,,76.0,76.0,28.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
75,iota-identity,{},ssi-sdks,,,,4,False,iotaledger/identity.rs,,161.0,161.0,44.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
76,barbican,{},pki,,,['openstack'],4,False,openstack/barbican,,17.0,17.0,313.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
77,tbd-ssi-sdk,{},ssi-sdks,,,['web5'],4,False,tbd54566975/ssi-sdk,,80.0,80.0,23.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
78,web5-js,{},ssi-sdks,,,['web5'],4,False,TBD54566975/web5-js,,73.0,73.0,32.0,,,,2.0,web5/api,https://www.npmjs.com/package/web5/api,,,,,,,,,,,,,,,,,,
79,digitalbazaar-vc,{},ssi-sdks,,,,4,False,digitalbazaar/vc,,645.0,645.0,16.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
80,keripy,{},ssi-sdks,,,,4,False,weboftrust/keripy,,78.0,78.0,39.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
81,authgear,{},idp,,,,4,False,authgear/authgear-server,,9.0,9.0,50.0,,,,3.0,,,,,,,,,,,,Apache-2.0,,,,,,,,
82,aip-identity,{},dids,"Decentralized identity and trust layer for AI agents using Ed25519-based DIDs, vouch-based trust chains, and encrypted..",,,4,False,The-Nexus-Guard/aip,aip-identity,,,,https://pypi.org/project/aip-identity,190.0,190.0,3.0,,,,,,,,,,,,MIT,,,,,,,,
83,ory-hydra,{},authentication,"Scalable, security first OAuth 2.0 and OpenID Connect server.",,['ory'],3,False,ory/hydra,,,,323.0,,,,3.0,,,,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,2026-03-20 13:22:55.749711,78.0,78.0,430574076.0,,,,,https://k8s.ory.sh/helm/charts,,,,
84,boulder,{},pki,,,['linux-foundation'],3,False,letsencrypt/boulder,,,,150.0,,,,3.0,,,,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-06-15 23:34:12.383934,2026-06-15 23:34:12.383934,13.0,13.0,2075041.0,,,,,,,,,
85,identity-server,{},authentication,,,,3,False,duendesoftware/identityserver,,,,341.0,,,,3.0,,,,,,,,,,,,https://duendesoftware.com/license,,,,,,,,
86,cerbos,{},authorization,,,,3,False,cerbos/cerbos,,35.0,35.0,35.0,,,,3.0,,,,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,
87,keycloak,{},idp,,,['cncf'],3,False,keycloak/keycloak,,,,1883.0,,,,3.0,,,,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
88,authentik,{},idp,,,,3,False,goauthentik/authentik,,,,588.0,,,,3.0,,,,,,,,,,,,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,,,,https://charts.goauthentik.io,,,,
89,jansen,{},idp,,,['linux-foundation'],3,False,janssenproject/jans,,16.0,16.0,146.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
90,verity-sdk,{},ssi-sdks,,,,3,False,evernym/verity-sdk,,17.0,17.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
91,did-key.rs,{},dids,,,['dif'],3,False,decentralized-identity/did-key.rs,,102.0,102.0,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
92,deepfacelab,{},biometrics,,,,3,False,iperov/DeepFaceLab,,24.0,24.0,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
93,maxkey,{},idp,maxkey-.,,,2,False,dromara/MaxKey,,,,61.0,,,,3.0,,,,,maxkeytop/maxkey,https://hub.docker.com/r/maxkeytop/maxkey,2026-06-30 01:47:11.347464,2026-06-30 01:47:11.347464,5.0,5.0,52215.0,,,,,,,,,
94,permify,{},authorization,,,,2,False,permify/permify,,5.0,5.0,80.0,,,,3.0,,,,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,
95,zitadel,{},idp,,,,2,False,zitadel/zitadel,,1.0,1.0,261.0,,,,3.0,,,,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,https://charts.zitadel.com,,,,
96,authelia,{},idp,,,,2,False,authelia/authelia,,,,301.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
97,crypto,{},pki,"Library providing privacy enhancing cryptographic primitives, ZKPs, BBS+ and BBS# signatures.",,,2,False,docknetwork/crypto,,26.0,26.0,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,aries-python,{},ssi-sdks,,,['hyperledger'],2,False,hyperledger/aries-cloudagent-python,,,,169.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
99,aries-mobile-agent-react-native,{},ssi-agents,,,['hyperledger'],2,False,hyperledger/aries-mobile-agent-react-native,,9.0,9.0,66.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
100,aries-framework-go,{},ssi-sdks,,,['hyperledger'],2,False,hyperledger/aries-framework-go,,3.0,3.0,62.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
101,universal-resolver,{},dids,The Universal Resolver resolves Decentralized Identifiers (DIDs) across many different DID methods.,,,2,False,decentralized-identity/universal-resolver,,,,135.0,,,,3.0,,,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2026-08-11 20:01:19.712630,2026-08-11 20:01:19.712630,,,159018.0,,,,,,,,,
102,beyond,{},machine,Google BeyondCorp-inspired Access Proxy.,,,2,False,cogolabs/beyond,,,,6.0,,,,3.0,,,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,2021-03-16 02:43:33.655703,,,18158.0,Apache-2.0,,,,,,,,
103,supertokens,{},idp,,,,2,False,supertokens/supertokens-core,,,,40.0,,,,3.0,,,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,,,,,,,,
104,lemur,{},pki,,,,2,False,netflix/lemur,,,,162.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
105,did-spec-registries,{},dids,,,,2,False,w3c/did-spec-registries,,,,280.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
106,webauthn,{},specs,,,['w3c'],2,False,w3c/webauthn,,,,83.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
107,vc-data-model,{},specs,,,['w3c'],2,False,w3c/vc-data-model,,,,81.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
108,did-core,{},specs,,,['w3c'],2,False,w3c/did-core,,,,71.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
109,universal-wallet-interop-spec,{},specs,,,['w3c'],2,False,w3c-ccg/universal-wallet-interop-spec,,3.0,3.0,10.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
110,webauthn-json,{},authentication,,,,2,False,github/webauthn-json,,30.0,30.0,15.0,,,,3.0,github/webauthn-json,https://www.npmjs.com/package/github/webauthn-json,,,,,,,,,,,,,,,,,,
111,procivis-one-wallet,{},ssi-agents,"Digital wallet with eIDAS 2.0 compliancy, ISO 18013-5 mdocs, IETF SD-JWT VC, OID4VC, and W3C VCs.",,['w3c'],2,False,procivis/one-wallet,,,,,,,,2.0,,,,,,,,,,,,Apache-2.0,,,,,,,,
112,procivis-one-core,,ssi-sdks,"Issue, hold and verify digital identities and credentials on any device with eIDAS 2.0 compliancy, ISO 18013-5 mdocs,..",,['w3c'],2,False,,,,,,,,,3.0,,,,,,,,,,,,Apache-2.0,,,,,,procivis/one-core,,
113,ejbca-ce,{},pki,EJBCA Open source public key infrastructure (PKI) and certificate authority (CA) software.,,,1,False,Keyfactor/ejbca,,,,,,,,3.0,,,,,keyfactor/ejbca-ce,https://hub.docker.com/r/keyfactor/ejbca-ce,2025-12-17 01:31:09.041590,2025-12-17 01:31:09.041590,61.0,61.0,772820.0,,,,,,,,,
114,cfssl,{},pki,CloudFlares PKI toolkit.,,,1,False,cloudfare/cfssl,,,,,,,,3.0,,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2026-04-17 14:15:15.991400,2026-04-17 14:15:15.991400,26.0,26.0,4685664.0,,,,,,,,,
115,pyMDOC-CBOR,{},ssi-sdks,,,,1,False,IdentityPython/pyMDOC-CBOR,pymdoccobr,3.0,3.0,11.0,https://pypi.org/project/pymdoccobr,,,3.0,,,,,,,,,,,,,,,,,,,,
116,ladon,{},authorization,,,['ory'],1,False,ory/ladon,,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
117,warrant,{},authorization,,,,1,False,warrant-dev/warrant,,6.0,6.0,5.0,,,,3.0,,,,,warrantdev/warrant,https://hub.docker.com/r/warrantdev/warrant,,,,,,,,,,,,,,
118,spiffe,{},machine,,,"['cncf', 'linux-foundation']",1,False,spiffe/spiffe,,,,76.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
119,waltid-identity,{},ssi-sdks,,,,1,False,walt-id/waltid-identity,,,,49.0,,,,3.0,,,,,waltid/identity,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,
120,cf-identity-wallet,{},ssi-agents,,,,1,False,cardano-foundation/cf-identity-wallet,,,,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
121,sphereon-ssi,{},ssi-sdks,,,,1,False,sphereon-opensource/ssi-sdk,,2.0,2.0,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
122,sphereon-openid4vci,{},ssi-sdks,,,,1,False,sphereon-opensource/openid4vci,,,,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
123,sphereon-pex,{},ssi-sdks,,,,1,False,sphereon-opensource/pex,,1.0,1.0,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
