,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-06-08 17:35:20.000000,2023-06-08 12:02:01,22575.0,938.0,194.0,5796.0,1245.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",439.0,34,True,501.0,202.0,849.0,2599.0,2023-06-03 17:51:03,349.0,582.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-06-08 17:10:23.000000,2023-06-07 14:01:54,1528.0,27.0,11.0,1632.0,49.0,Trinsic SDK repository.,41.0,27,False,67.0,33.0,4.0,370.0,2023-04-24 13:26:38,445.0,1643.0,1.0,1.11.0,7797.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-06-05 21:28:15.000000,2023-05-27 16:05:35,3692.0,32.0,27.0,429.0,159.0,Self Sovereign Identity SDK.,48.0,26,True,857.0,60.0,12.0,38.0,2023-05-07 22:03:49,116.0,6.0,2.0,0.11.0,,10.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-06-08 00:59:48.734196,2023-06-08 00:53:04,2822.0,70.0,12.0,357.0,146.0,Use web3 identity / self-sovereign identity (SSI).,56.0,23,True,462.0,121.0,22.0,261.0,2023-06-07 18:03:59,,511.0,2.0,1.2306071753.0,41.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-06-07 18:03:56.987350,5576.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-06-08 11:22:00.000000,2023-06-01 17:58:46,1014.0,406.0,620.0,214.0,8592.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,31.0,1.0,314.0,208.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-06-08 08:49:17.000000,2023-06-08 08:49:17,1275.0,27.0,13.0,402.0,69.0,Self Hosted Issuer Node.,23.0,21,False,653.0,12.0,11.0,81.0,2023-05-23 16:53:24,13.0,,2.0,.2.1.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-06-08 15:32:13.000000,2023-05-17 08:11:05,1007.0,112.0,75.0,637.0,392.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,14.0,,124.0,193.0,,144.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,93.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,40.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-06-08 16:45:47.000000,2023-06-08 16:45:39,7009.0,10.0,7.0,489.0,29.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,430.0,1.0,74.0,1461.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-06-08 02:56:21.000000,2023-06-05 21:41:46,2294.0,2017.0,95.0,1815.0,17008.0,Authentication for the Web.,533.0,41,True,144.0,100.0,152.0,2979.0,2023-06-01 17:21:48,93253.0,2081938.0,1.0,@auth/typeorm-adapter@1.0.0,,93253.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2081938.0,,,,,,,,,,,
10,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-06-08 18:11:52.000000,2023-06-08 18:11:52,22119.0,5283.0,360.0,11652.0,16343.0,Open Source Identity and Access Management For Modern Applications and Services.,1182.0,41,True,678.0,36.0,1608.0,4755.0,2023-04-26 10:24:38,313.0,60002.0,1.0,21.1.1,1800072.0,313.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
11,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-06-08 00:48:46.000000,2023-06-07 20:22:28,3663.0,1814.0,235.0,3889.0,10870.0,CoreDNS is a DNS server that chains plugins.,357.0,41,True,87.0,65.0,80.0,2052.0,2023-02-06 18:30:04,5137.0,2800783.0,1.0,1.10.1,6701841.0,5137.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,236469984.0,,,,,138.0,,,,,,,,,,
12,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-06-08 18:14:26.000000,2023-06-08 10:21:50,4620.0,1108.0,119.0,3693.0,8113.0,"An open source, general-purpose policy engine.",393.0,40,True,127.0,100.0,305.0,1970.0,2023-06-06 07:27:14,2505.0,4075896.0,1.0,0.53.1,3165231.0,2505.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-06-08 11:11:53.482276,361245025.0,,,,,31.0,1.0,,,,,,,,,
13,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-05-18 04:03:18.000000,2023-01-10 13:20:21,1645.0,454.0,68.0,481.0,2593.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,48.0,75.0,289.0,2023-01-10 13:13:43,381604.0,80485402.0,1.0,3.2.2,,381604.0,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,80485402.0,,,,,,
14,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-06-07 13:18:53.000000,2023-06-07 13:18:52,7794.0,1815.0,146.0,2927.0,10429.0,Automatically provision and manage TLS certificates in Kubernetes.,396.0,39,True,257.0,100.0,179.0,2833.0,2023-05-25 14:48:36,491.0,1327576.0,1.0,1.12.1,49120313.0,491.0,,,,,,,,,,,,,,,,,,,
15,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-06-08 18:12:44.000000,2023-06-08 15:18:37,17488.0,3668.0,820.0,15464.0,27831.0,"A tool for secrets management, encryption as a service, and privileged access management.",1347.0,38,True,625.0,94.0,877.0,4636.0,2023-06-08 00:58:27,6247.0,,2.0,1.13.3,,6247.0,,,,,,,,,,,,,,,,,,,
16,passport,jaredhanson/passport,,,authentication,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-05-02 16:33:16.000000,2023-03-10 17:27:55,617.0,1157.0,318.0,150.0,21525.0,"Simple, unobtrusive authentication for Node.js.",38.0,37,True,,,327.0,419.0,,854619.0,8607804.0,2.0,,,854619.0,,,,,,passport,https://www.npmjs.com/package/passport,8607804.0,,,,,,,,,,,
17,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-06-07 22:49:50.000000,2023-06-07 08:42:40,3615.0,1286.0,229.0,1667.0,14180.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",285.0,36,True,65.0,100.0,60.0,1377.0,2023-05-24 08:55:23,2.0,4097430.0,2.0,2.1.2,567041.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-05-24 08:55:23.133705,396591359.0,,,,,74.0,,,,,https://k8s.ory.sh/helm/charts,,,,,
18,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-06-08 06:57:36.000000,2023-06-07 11:02:47,3789.0,746.0,113.0,1583.0,8810.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",198.0,36,True,104.0,42.0,231.0,871.0,2023-04-18 17:07:18,322.0,1775654.0,1.0,0.13.0,30001.0,322.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,108270314.0,,,,,16.0,,,,,https://k8s.ory.sh/helm/charts,,,,,
19,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-06-08 04:08:04.000000,2023-06-01 11:45:06,8140.0,1075.0,122.0,906.0,6092.0,A PyTorch-based Speech Toolkit.,203.0,36,True,212.0,8.0,104.0,789.0,2023-03-24 17:40:58,755.0,115900.0,1.0,0.5.14,,755.0,,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,115900.0,,,,,,
20,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-06-05 02:55:11.000000,2023-05-29 02:51:43,1475.0,244.0,40.0,316.0,4888.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,65.0,36,True,43.0,100.0,6.0,410.0,2023-05-05 18:06:03,45367.0,1699070.0,2.0,@casl/mongoose@7.1.3,,45367.0,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1699070.0,,1.0,,,,,,,,,
21,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-06-07 12:49:20.000000,2023-06-07 12:47:50,1057.0,1493.0,233.0,453.0,15011.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",131.0,35,True,11.0,100.0,24.0,702.0,2023-06-07 12:49:21,2442.0,214021.0,2.0,2.70.0,,2442.0,,,,,,casbin,https://www.npmjs.com/package/casbin,147444.0,,,casbin,https://pypi.org/project/casbin,66577.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
22,insightface,deepinsight/insightface,,,face,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,MIT,2017-09-01 00:36:51,2023-06-03 03:49:49.000000,2023-06-03 03:49:49,2249.0,4316.0,476.0,140.0,15752.0,State-of-the-art 2D and 3D Face Analysis Project.,53.0,34,True,63.0,1.0,881.0,1312.0,2023-04-02 07:43:27,357.0,20030.0,1.0,0.7,40058.0,357.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,137.0,,,,,,1.0,,,,,,,,,
23,paddlespeech,PaddlePaddle/PaddleSpeech,,,voice,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-06-08 12:05:36.000000,2023-06-06 07:14:58,4696.0,1499.0,181.0,1661.0,7655.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",124.0,34,True,136.0,15.0,203.0,1277.0,2023-04-14 09:36:52,59.0,126961.0,3.0,r1.4.1,,59.0,,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,126961.0,,,,,,
