,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-07-06 18:00:23.000000,2023-07-06 13:38:28,22753.0,942.0,194.0,5890.0,1258.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",443.0,34,True,495.0,206.0,867.0,2621.0,2023-06-29 16:36:31,354.0,630.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-07-06 13:25:31.000000,2023-06-19 12:27:37,1533.0,26.0,13.0,1644.0,49.0,Trinsic SDK repository.,41.0,27,False,56.0,33.0,4.0,370.0,2023-04-24 13:26:38,462.0,1624.0,1.0,1.11.0,7990.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-07-05 08:18:19.000000,2023-07-04 08:42:19,3967.0,38.0,29.0,456.0,175.0,Self Sovereign Identity SDK.,55.0,25,True,823.0,63.0,11.0,41.0,2023-06-24 17:47:53,115.0,6.0,2.0,0.13.0,,11.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-06-29 16:56:55.416195,2023-06-29 16:49:55,2882.0,71.0,12.0,381.0,157.0,Use web3 identity / self-sovereign identity (SSI).,57.0,24,True,269.0,141.0,19.0,268.0,2023-06-29 16:43:29,,693.0,2.0,1.2306281832.0,51.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-06-28 18:43:04.840338,6696.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-07-06 18:01:20.000000,2023-07-06 15:01:13,1023.0,407.0,620.0,221.0,8596.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,27.0,1.0,315.0,209.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-07-06 10:23:16.000000,2023-06-30 11:34:47,1348.0,35.0,12.0,452.0,78.0,Self Hosted Issuer Node.,24.0,21,False,468.0,14.0,12.0,84.0,2023-06-30 11:35:36,20.0,,2.0,.2.1.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-07-06 00:22:24.000000,2023-06-30 17:24:41,1014.0,110.0,75.0,642.0,398.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,18.0,,125.0,195.0,,145.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-07-05 15:14:46.000000,2023-07-05 15:13:27,7053.0,12.0,7.0,495.0,30.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,285.0,1.0,69.0,1487.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
8,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-06-30 09:23:33.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,198.0,96.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,16,False,2.0,100.0,3.0,,2021-03-22 11:09:10,41.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-07-06 14:44:32.000000,2023-07-06 14:44:31,2333.0,2060.0,97.0,1841.0,17472.0,Authentication for the Web.,538.0,41,True,121.0,100.0,166.0,3065.0,2023-06-27 15:22:08,105375.0,2111737.0,1.0,@auth/typeorm-adapter@1.0.1,,105375.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2111737.0,3.0,,,,,,,,,,
