,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-08-24 18:03:12.000000,2023-08-24 08:51:31,23215.0,968.0,189.0,6115.0,1294.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",451.0,33,True,723.0,214.0,906.0,2715.0,2023-08-21 22:48:09,50.0,632.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-08-23 16:55:17.000000,2023-08-23 16:53:02,1570.0,26.0,14.0,1683.0,50.0,Trinsic SDK repository.,41.0,27,False,53.0,33.0,4.0,370.0,2023-04-24 13:26:38,498.0,1623.0,1.0,1.11.0,8393.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-08-24 12:28:02.000000,2023-08-19 18:18:43,4118.0,46.0,34.0,469.0,191.0,Self Sovereign Identity SDK.,57.0,25,True,405.0,69.0,12.0,45.0,2023-08-19 18:17:47,57.0,6.0,2.0,0.15.1,,1.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-08-13 23:38:18.424366,2023-08-13 23:33:42,2588.0,63.0,13.0,331.0,142.0,Use web3 identity / self-sovereign identity (SSI).,47.0,23,True,165.0,149.0,14.0,230.0,2023-08-13 23:43:03,,4656.0,2.0,1.2308021811.0,56.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-08-02 18:20:02.399015,8418.0,,,,,,,,,,,,,,,
4,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-08-18 15:46:27.000000,2023-08-18 06:47:50,1541.0,50.0,12.0,486.0,83.0,Self Hosted Issuer Node.,29.0,22,False,194.0,25.0,19.0,95.0,2023-08-18 07:20:22,36.0,,2.0,2.2.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
5,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-08-24 15:22:29.000000,2023-08-24 15:22:28,1052.0,408.0,614.0,234.0,8601.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,40.0,1.0,318.0,211.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-08-24 00:15:52.000000,2023-07-14 13:35:29,1015.0,114.0,77.0,650.0,402.0,A cross-platform toolkit for decentralized identity.,51.0,19,True,8.0,,127.0,197.0,,112.0,,3.0,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,201.0,96.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-08-24 14:17:58.000000,2023-08-24 14:17:53,7170.0,12.0,8.0,498.0,32.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,16,False,183.0,1.0,65.0,1605.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,-1.0,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-08-24 14:59:19.000000,2023-08-24 12:54:23,2421.0,2174.0,97.0,1931.0,18282.0,Authentication for the Web.,555.0,41,True,169.0,100.0,199.0,3242.0,2023-08-16 07:48:21,125098.0,2442884.0,1.0,next-auth@4.23.1,,125098.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2442884.0,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-08-22 03:51:47.000000,2023-08-21 23:03:34,3733.0,1854.0,236.0,3978.0,11129.0,CoreDNS is a DNS server that chains plugins.,367.0,41,True,86.0,67.0,91.0,2082.0,2023-08-15 20:00:30,5451.0,2834864.0,1.0,1.11.1,6766952.0,5451.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,245046872.0,,,,,,138.0,,,,,,,,,
11,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-08-24 17:40:00.000000,2023-08-24 12:24:54,4738.0,1152.0,122.0,3827.0,8405.0,"An open source, general-purpose policy engine.",412.0,40,True,141.0,100.0,310.0,2019.0,2023-07-27 18:10:47,2768.0,4640989.0,1.0,0.55.0,3757078.0,2768.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-08-24 13:15:31.336018,420193555.0,,,,,,38.0,,,,,,,,,
12,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-08-24 17:54:41.000000,2023-08-24 16:40:48,7986.0,1850.0,146.0,3013.0,10643.0,Automatically provision and manage TLS certificates in Kubernetes.,410.0,39,True,197.0,100.0,172.0,2903.0,2023-07-26 12:33:55,578.0,1457335.0,1.0,1.12.3,53921423.0,578.0,,,,,,,,,,,,,,,,,,,
