,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
18,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-05-16 13:56:07.000000,2023-05-08 16:38:54,3764.0,738.0,111.0,1570.0,8732.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",192.0,36,True,100.0,42.0,231.0,863.0,2023-04-18 17:07:18,317.0,1758415.0,1.0,0.13.0,29150.0,317.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,105461241.0,,,,,,16.0,,,,https://k8s.ory.sh/helm/charts,,,,,
19,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-05-08 14:33:05.000000,2023-05-08 14:31:22,1054.0,1481.0,229.0,448.0,14504.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",129.0,35,True,11.0,100.0,22.0,701.0,2023-05-08 14:33:06,2413.0,216053.0,2.0,2.69.0,,2413.0,,,,,,casbin,https://www.npmjs.com/package/casbin,146732.0,,,casbin,https://pypi.org/project/casbin,69321.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
20,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-05-17 15:36:36.000000,2023-05-15 10:49:11,8096.0,1059.0,121.0,892.0,5946.0,A PyTorch-based Speech Toolkit.,202.0,35,True,258.0,8.0,108.0,770.0,2023-03-24 17:40:58,706.0,85311.0,1.0,0.5.14,,706.0,,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,85311.0,,,,,,
21,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-05-15 06:49:31.000000,2023-05-15 06:43:39,1474.0,243.0,40.0,313.0,4841.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,65.0,35,True,42.0,100.0,6.0,410.0,2023-05-05 18:06:03,43516.0,1693105.0,2.0,@casl/mongoose@7.1.3,,43516.0,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1693105.0,,,,,,,,,,,
22,paddlespeech,PaddlePaddle/PaddleSpeech,,,voice,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-05-18 06:18:18.000000,2023-05-15 03:34:59,4657.0,1456.0,180.0,1643.0,7376.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",120.0,34,True,144.0,15.0,181.0,1249.0,2023-04-14 09:36:52,57.0,115106.0,3.0,r1.4.1,,57.0,,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,115106.0,,,,,,
23,face-api-js,justadudewhohacks/face-api.js,,,face,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-01-05 16:14:12.000000,2020-04-22 16:40:10,488.0,3419.0,335.0,106.0,14999.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,25.0,33,False,,38.0,407.0,387.0,2020-03-22 14:01:55,6330.0,105590.0,1.0,0.22.2,,6330.0,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,105590.0,,,,,,,,,,,
24,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-05-17 20:50:10.996677,2023-05-17 19:28:45,2870.0,270.0,35.0,3276.0,3552.0,Pomerium is an identity and context-aware access proxy.,89.0,33,True,137.0,100.0,69.0,788.0,2023-05-04 23:49:25,12.0,4937493.0,2.0,0.22.1,42272.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-05-17 20:50:10.996677,256702893.0,,,,,,10.0,,,,,,,,,
25,insightface,deepinsight/insightface,,,face,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,MIT,2017-09-01 00:36:51,2023-05-17 03:19:52.000000,2023-05-17 03:19:52,2245.0,4215.0,475.0,138.0,14484.0,State-of-the-art 2D and 3D Face Analysis Project.,53.0,32,True,60.0,1.0,1231.0,935.0,2023-04-02 07:43:27,308.0,5697.0,2.0,0.7,5695.0,308.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,137.0,,,,,,,,,,,,,,,
26,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-05-18 17:19:05.000000,2023-05-18 15:45:44,5557.0,346.0,58.0,3667.0,3194.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",183.0,32,True,794.0,100.0,197.0,935.0,2023-05-12 20:40:49,176.0,10934.0,2.0,ockam_v0.87.0,196826.0,176.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
27,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-05-18 16:10:50.222636,2023-05-17 10:16:51,23103.0,3772.0,608.0,4313.0,10241.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,336.0,31,True,429.0,100.0,,,2023-03-31 06:34:19,,5781.0,2.0,6.6.7,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-05-18 16:10:50.222636,809358.0,,,,,,121.0,,,,,,,,,
