,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,trending
44,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-04-24 00:07:04.000000,2023-04-03 09:40:41,301.0,36.0,23.0,84.0,149.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,21.0,26,True,6.0,36.0,5.0,42.0,2023-04-03 09:41:07,544.0,48698.0,1.0,3.1.3,,544.0,,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,48698.0,,,,,,,,,
45,authentik,goauthentik/authentik,,,idp,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-04-24 15:38:32.000000,2023-04-24 14:57:29,11355.0,289.0,16.0,4070.0,3640.0,The authentication glue you need.,151.0,25,True,688.0,100.0,303.0,888.0,2023-04-18 08:14:30,,38.0,3.0,ersion/2023.4.1,891.0,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
46,kanidm,kanidm/kanidm,,,idp,,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-04-24 14:06:30.000000,2023-04-24 09:47:52,1157.0,80.0,14.0,1103.0,1433.0,"Kanidm: A simple, secure and fast identity management platform.",40.0,25,True,167.0,13.0,103.0,347.0,2023-02-05 23:53:21,42.0,93.0,3.0,1.1.0-alpha.11,18.0,42.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-04-24 00:34:24.238486,4657.0,,,,,,,,,,,,,
47,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-04-24 16:40:53.000000,2023-04-24 16:40:53,3150.0,147.0,19.0,1985.0,221.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,56.0,25,True,41.0,11.0,384.0,1192.0,2023-04-05 16:43:22,281.0,,2.0,0.2.0,,281.0,,,,,,,,,,,,,,,,,
48,lemur,netflix/lemur,,,pki,,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-04-24 17:18:06.000000,2023-04-24 17:18:04,5423.0,303.0,395.0,3828.0,1633.0,Repository for the Lemur Certificate Manager.,147.0,24,True,151.0,25.0,120.0,392.0,2023-04-04 20:35:03,,0.0,3.0,1.4.0,47.0,,,,,,,,,,,,,,,,,,
49,opal,permitio/opal,,,authorization,,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-04-24 12:14:41.000000,2023-04-20 15:05:25,1511.0,96.0,18.0,289.0,1266.0,"Policy and data administration, distribution, and real-time updates on top of Open Policy Agent.",35.0,24,True,182.0,27.0,38.0,60.0,2023-04-21 08:02:11,,1169.0,3.0,0.6.0,363.0,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-04-21 08:05:51.050703,30026.0,,,,,,,,,,,,,
50,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-04-24 15:49:38.000000,2023-04-06 14:38:13,7304.0,391.0,32.0,1316.0,344.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,110.0,24,True,211.0,51.0,173.0,725.0,2023-04-06 14:41:18,,,2.0,0.8.1,,,,,,,,,,,,,,,,,,,
51,iota-identity,iotaledger/identity.rs,,,decentralized,,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-04-24 12:27:15.000000,2023-04-18 13:29:56,1330.0,59.0,24.0,878.0,254.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,24,True,37.0,18.0,56.0,198.0,2023-03-08 16:34:58,78.0,,2.0,0.6.2,,78.0,,,,,,,,,,,,,,,,,
52,freeipa,freeipa/freeipa,,,idp,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-04-24 05:28:39.849671,2023-04-19 19:46:14,15544.0,300.0,51.0,6792.0,929.0,"Mirror of FreeIPA, an integrated security information management solution.",214.0,23,True,67.0,,,,,,41033.0,3.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-04-24 05:28:39.849671,5375367.0,148.0,,,,,,,,,,,,
53,athenz,athenz/athenz,,,pki,['linux-foundation'],https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-04-24 15:45:50.000000,2023-04-24 15:45:50,2634.0,233.0,52.0,1935.0,766.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,71.0,23,True,102.0,100.0,29.0,170.0,2023-04-23 15:22:30,,,3.0,1.11.27,,,,,,,,,,,,,,,,,,,
54,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-04-24 08:00:55.070766,2023-04-16 18:15:30,1602.0,203.0,57.0,263.0,450.0,Universal Resolver implementation and drivers.,91.0,23,True,24.0,6.0,23.0,78.0,2022-01-07 16:42:38,,1551.0,2.0,0.5.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-04-24 08:00:55.070766,105518.0,,,,,,,,,,,,,
55,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-04-24 14:20:18.000000,2023-04-14 09:00:57,9535.0,34.0,11.0,687.0,48.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",135.0,23,False,36.0,59.0,29.0,91.0,2023-04-14 09:52:15,10.0,275.0,2.0,0.54.1,8814.0,10.0,,,,,,,,,,,,,,,,,
56,supertokens,supertokens/supertokens-core,,,idp,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-04-24 10:00:20.000000,2023-04-22 06:09:17,700.0,305.0,57.0,229.0,8626.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,22,True,40.0,23.0,91.0,305.0,2023-04-01 06:14:01,,,3.0,4.6.0,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,
