,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
96,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-06-01 00:55:55.000000,2023-04-24 13:49:11,521.0,38.0,28.0,336.0,143.0,Core library for decentralized identity.,20.0,16,True,8.0,,68.0,100.0,,103.0,,3.0,,,103.0,,,,,,,,,,,,,,,,,,,
97,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-05-01 01:04:53.000000,2023-05-01 01:04:47,880.0,7.0,7.0,96.0,23.0,A Typescript implementation of the DIF Presentation Exchange specification.,13.0,16,False,23.0,24.0,4.0,14.0,2023-04-30 19:45:02,53.0,2.0,3.0,2.0.0,49.0,53.0,,,,,,,,,,,,,,,,,,,
98,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-06-01 17:58:48.000000,2023-06-01 17:58:46,882.0,35.0,50.0,157.0,413.0,Solid Technical Reports.,19.0,15,True,35.0,1.0,181.0,126.0,2021-12-21 13:00:06,,,2.0,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,,,
99,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,81.0,76.0,487.0,371.0,W3C Decentralized Identifier Specification v1.0.,62.0,15,True,1.0,,26.0,324.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
100,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-06-01 14:44:19.000000,2023-05-23 16:47:33,263.0,6.0,5.0,62.0,30.0,SDK to work with Polygon ID.,11.0,15,False,53.0,8.0,4.0,5.0,2023-05-23 16:53:24,10.0,,3.0,1.0.0-beta.9,,10.0,,,,,,,,,,,,,,,,,,,
101,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-06-01 13:08:45.941158,2023-06-01 12:40:31,291.0,6.0,2.0,22.0,15.0,OIDC identity provider for SSI & NFTs.,8.0,15,False,81.0,13.0,3.0,32.0,2023-05-24 10:24:55,,37.0,3.0,1.2305241014.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-06-01 13:08:45.941158,555.0,,,,,,,,,,,,,,,
102,fedfm,fedidcg/FedCM,,,standards,['w3c'],https://github.com/fedidcg/FedCM,https://github.com/fedidcg/FedCM,,2020-03-20 21:58:44,2023-05-31 20:46:19.000000,2023-05-30 16:20:04,653.0,50.0,70.0,236.0,274.0,A privacy preserving identity exchange Web API.,30.0,14,False,16.0,,142.0,93.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
103,tbd-ssi-service,tbd54566975/ssi-service,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-service,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-06-01 18:16:08.000000,2023-06-01 14:29:08,319.0,44.0,12.0,345.0,127.0,The Self Sovereign Identity Service.,19.0,14,True,100.0,1.0,72.0,87.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
104,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-05-26 09:40:47.000000,2023-05-26 09:40:15,143.0,69.0,27.0,172.0,79.0,Aries Framework .NET for building multiplatform SSI services.,30.0,14,False,2.0,,40.0,28.0,,39.0,,3.0,,,39.0,,,,,,,,,,,,,,,,,,,
105,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-03-30 20:44:08.000000,2023-03-30 20:43:43,609.0,30.0,32.0,214.0,71.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,34.0,14,False,3.0,,46.0,160.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
