,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
29,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-05-09 19:06:13.000000,2023-05-09 19:06:09,2388.0,707.0,69.0,216.0,2651.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,62.0,31,True,28.0,100.0,,,2023-05-06 15:35:59,963.0,112439.0,2.0,8.2.1,,963.0,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,112439.0,,,,,,,,,,
30,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-05-11 17:22:27.000000,2023-05-10 15:50:58,5958.0,367.0,83.0,2938.0,1402.0,The SPIFFE Runtime Environment.,156.0,31,True,180.0,79.0,171.0,1038.0,2023-04-13 20:22:53,110.0,1843.0,2.0,1.6.3,123518.0,110.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
31,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-05-11 12:54:44.000000,2022-06-10 09:12:18,238.0,12617.0,1576.0,214.0,48219.0,The worlds simplest facial recognition api for Python and the command line.,54.0,30,True,,2.0,694.0,577.0,2018-04-02 17:18:43,,65077.0,2.0,1.2.2,1104.0,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6407.0,,,,,12.0,face_recognition,https://pypi.org/project/face_recognition,64976.0,,,,,,
32,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-05-11 15:53:52.000000,2023-05-11 15:53:52,1012.0,1293.0,99.0,71.0,6264.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",41.0,30,True,47.0,,9.0,671.0,,1376.0,55995.0,2.0,,,1376.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,55995.0,,,,,,
33,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-04-18 07:54:13.000000,2023-04-18 07:54:13,2354.0,997.0,108.0,807.0,5136.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,307.0,30,True,23.0,62.0,20.0,825.0,2023-03-29 07:20:04,7740.0,,3.0,5.6.6,,7740.0,,,,,,,,,,,,,,,,,doorkeeper,
34,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-05-11 18:03:49.000000,2023-05-11 12:46:59,2910.0,228.0,75.0,2925.0,3611.0,Boundary enables identity-based access management for dynamic infrastructure.,130.0,30,True,190.0,43.0,73.0,214.0,2023-04-07 19:27:59,8.0,161965.0,3.0,0.12.2,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-04-07 19:36:45.208207,6478625.0,,,,,10.0,,,,,,,,,
35,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-04-27 14:49:52.000000,2023-04-27 14:38:09,1723.0,12089.0,1513.0,503.0,44814.0,Deepfakes Software For All.,96.0,29,True,15.0,3.0,19.0,786.0,2020-08-14 17:28:01,,2837.0,3.0,2.0.0,144736.0,,,,,,,,,,,,,,,,,,,
36,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-05-11 12:22:18.000000,2023-05-11 11:26:51,4294.0,901.0,156.0,4094.0,16318.0,The Single Sign-On Multi-Factor portal for web apps.,126.0,29,True,395.0,100.0,68.0,1034.0,2022-12-21 09:01:04,2.0,555.0,2.0,4.37.5,22226.0,2.0,,,,,,,,,,,,,,,,,,
37,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-05-03 18:02:09.000000,2023-04-26 17:03:16,1310.0,303.0,48.0,695.0,2955.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",105.0,29,True,30.0,100.0,51.0,262.0,2023-04-26 17:01:50,2.0,1126172.0,3.0,0.40.3,22844.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-04-26 17:01:50.032478,76556595.0,,,,,24.0,,,,,,,,,
38,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,284.0,82.0,828.0,1737.0,Solid server on top of the file-system in NodeJS.,85.0,29,True,14.0,51.0,275.0,610.0,2023-03-17 17:09:04,36.0,8761.0,1.0,5.7.7,,36.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,848645.0,,solid-server,https://www.npmjs.com/package/solid-server,601.0,4.0,,,,,,,,,
39,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-05-11 10:58:15.000000,2023-05-10 16:54:35,4743.0,219.0,39.0,580.0,1025.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,29,True,264.0,39.0,58.0,199.0,2023-02-02 17:27:15,991.0,,3.0,6.2.3,,991.0,,,,,,,,,,,,,,,,,,
