,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
65,supertokens,supertokens/supertokens-core,,,idp,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-05-11 13:37:23.000000,2023-05-10 11:21:17,730.0,320.0,63.0,253.0,9176.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,23,True,70.0,24.0,92.0,309.0,2023-05-09 12:39:51,,,3.0,5.0.0,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,
66,howdy,boltgolt/howdy,,,authentication,,https://github.com/boltgolt/howdy,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-04-04 15:04:10.000000,2023-03-08 16:41:32,506.0,256.0,54.0,127.0,4660.0,Windows Hello style facial authentication for Linux.,54.0,23,True,25.0,11.0,160.0,497.0,2020-09-02 15:57:23,,193.0,3.0,2.6.1,12162.0,,,,,,,,,,,,,,,,,,,howdy
67,freeipa,freeipa/freeipa,,,idp,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-05-11 16:37:45.000000,2023-05-09 16:05:24,15558.0,300.0,51.0,6832.0,934.0,"Mirror of FreeIPA, an integrated security information management solution.",215.0,23,True,62.0,,,,,,40919.0,3.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-05-10 07:02:15.244571,5401322.0,,,,,149.0,,,,,,,,,
68,athenz,athenz/athenz,,,pki,['linux-foundation'],https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-05-11 16:37:07.000000,2023-05-09 21:56:02,2657.0,233.0,52.0,1957.0,770.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,71.0,23,True,104.0,100.0,25.0,174.0,2023-05-06 18:16:12,,,3.0,1.11.29,,,,,,,,,,,,,,,,,,,,
69,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-05-11 08:41:47.080839,2023-05-09 15:28:34,1607.0,204.0,57.0,266.0,458.0,Universal Resolver implementation and drivers.,93.0,23,True,27.0,6.0,23.0,78.0,2022-01-07 16:42:38,,1544.0,2.0,0.5.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-05-11 08:41:47.080839,106587.0,,,,,,,,,,,,,,
70,permify,permify/permify,,,authorization,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-05-10 16:34:48.000000,2023-05-09 17:32:53,1387.0,44.0,11.0,376.0,1364.0,Permify is an open-source authorization service inspired by Google Zanzibar.,20.0,22,True,501.0,25.0,22.0,72.0,2023-05-04 20:00:53,,47.0,3.0,0.4.0,428.0,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,
71,facenet,davidsandberg/facenet,,,face,,https://github.com/davidsandberg/facenet,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-03-25 00:05:44.000000,2018-04-16 17:32:11,566.0,4657.0,567.0,121.0,13026.0,Face recognition using Tensorflow.,36.0,21,False,,,497.0,615.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
72,gotrue,netlify/gotrue,,,idp,,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-05-07 15:30:08.000000,2023-05-05 17:28:31,638.0,252.0,65.0,217.0,3387.0,An SWT based API for managing users and issuing SWT tokens.,38.0,21,True,3.0,2.0,11.0,111.0,2022-02-09 12:50:28,10.0,,3.0,1.0.1,,10.0,,,,,,,,,,,,,,,,,,
73,openbr,biometrics/openbr,,,face,,https://github.com/biometrics/openbr,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2022-12-15 18:51:36.000000,2022-12-15 18:47:15,4019.0,747.0,253.0,321.0,2793.0,"Open Source Biometrics, Face Recognition.",55.0,21,False,,4.0,62.0,209.0,2015-09-29 22:50:55,,956.0,3.0,1.1.0,109076.0,,,,,,,,,,,,,,,,,,,
74,appauth-ios,openid/appauth-ios,,,authentication,['openid'],https://github.com/openid/AppAuth-iOS,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-05-01 17:52:41.000000,2023-04-28 17:27:10,390.0,620.0,90.0,302.0,1532.0,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,46.0,21,True,5.0,25.0,157.0,297.0,2023-05-01 17:52:41,,,3.0,1.6.2,,,,,,,,,,,,,,,,,,,,
75,veramo,uport-project/veramo,,,decentralized,,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-05-11 12:46:47.000000,2023-05-02 16:01:21,1710.0,97.0,19.0,641.0,308.0,A JavaScript Framework for Verifiable Data.,48.0,21,True,52.0,35.0,58.0,331.0,2023-05-02 15:41:47,1.0,,2.0,5.2.0,,1.0,,,,,,,,,,,,,,,,,,
76,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-05-11 09:53:02.000000,2023-05-11 08:15:10,761.0,124.0,26.0,889.0,184.0,Aries Framework JavaScript (Built using TypeScript).,51.0,21,True,105.0,74.0,151.0,391.0,2023-01-18 18:22:49,2.0,,2.0,0.3.3,,2.0,,,,,,,,,,,,,,,,,,
77,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-05-08 01:10:05.000000,2023-04-03 11:05:53,243.0,14.0,13.0,112.0,67.0,DID resolver for HTTPS domains.,12.0,21,False,7.0,34.0,1.0,10.0,2023-04-03 11:06:06,571.0,20414.0,2.0,2.0.23,,571.0,,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,20414.0,,,,,,,,,,
78,sidetree,decentralized-identity/sidetree,,,standards,['dif'],https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-04-24 18:28:00.000000,2023-04-04 19:14:54,1149.0,100.0,42.0,677.0,420.0,Sidetree Specification and Reference Implementation.,46.0,20,True,1.0,12.0,38.0,440.0,2021-03-09 22:06:35,28.0,,1.0,1.0.2,,28.0,,,,,,,,,,,,,,,,,,
79,appauth-android,openid/appauth-android,,,authentication,['openid'],https://github.com/openid/AppAuth-Android,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-05-04 10:14:21.000000,2021-12-22 13:03:48,332.0,761.0,234.0,224.0,2448.0,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,46.0,19,False,,,156.0,502.0,,,,3.0,,,,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,
80,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-03-23 03:45:28.000000,2023-03-20 08:32:40,214.0,156.0,93.0,183.0,1185.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,30.0,19,True,8.0,17.0,62.0,68.0,2022-06-09 01:42:53,,,3.0,1.0.4,,,,,,,,,,,,,,,,,,,,
81,webauthn,w3c/webauthn,,,standards,['w3c'],https://github.com/w3c/webauthn,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-05-08 19:55:08.000000,2023-05-03 19:56:38,2035.0,138.0,167.0,785.0,957.0,Web Authentication: An API for accessing Public Key Credentials.,67.0,19,True,24.0,7.0,73.0,987.0,2018-03-20 13:11:25,,,2.0,CR-00-20180320,,,,,,,,,,,,,,,,,,,,
82,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-05-04 23:13:22.000000,2023-05-04 23:03:41,14796.0,644.0,115.0,17.0,656.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,711.0,19,True,13.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
83,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-04-16 09:58:48.000000,2023-03-31 16:40:35,2105.0,204.0,58.0,564.0,298.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,18.0,,49.0,169.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
84,dwn-sdk-js,TBD54566975/dwn-sdk-js,,,decentralized,['web5'],https://github.com/TBD54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-05-11 16:20:26.000000,2023-05-10 19:51:16,238.0,67.0,17.0,201.0,280.0,Decentralized Web Node (DWN) Reference implementation.,26.0,19,True,73.0,10.0,39.0,113.0,,22.0,,3.0,,,22.0,,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,
85,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-04-15 21:46:40.000000,2023-04-15 21:46:00,532.0,12.0,5.0,505.0,23.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,4.0,19.0,4.0,77.0,2022-05-29 21:14:21,427.0,637.0,3.0,1.6.0,15310.0,427.0,,,,,,,,,,,,,,,,,,
86,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-04-01 02:17:34.000000,2023-03-28 20:25:10,143.0,256.0,94.0,41.0,2083.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,23.0,18,True,2.0,,28.0,22.0,,,1997.0,3.0,,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1997.0,,,,,,
87,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-05-10 19:35:49.000000,2023-05-10 19:35:48,1311.0,70.0,84.0,576.0,229.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,57.0,18,True,72.0,,70.0,467.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
88,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OID4VCI,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-05-10 22:45:42.000000,2023-05-05 07:05:25,482.0,5.0,4.0,43.0,21.0,OpenID for Verifiable Credential Issuance - client and issuer library.,6.0,18,False,263.0,8.0,,3.0,2023-03-17 00:39:19,13.0,,3.0,0.4.0,,13.0,,,,,Sphereon-Opensource/OID4VCI,,,,,,,,,,,,,
89,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-03-17 11:47:08.000000,2023-03-17 11:45:53,148.0,213.0,65.0,102.0,2204.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,49.0,17,True,1.0,40.0,5.0,53.0,2020-04-30 07:36:33,,,3.0,1.2.0,,,,,,,,,,,,,,,,,,,,
90,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-05-10 21:38:22.000000,2023-05-10 21:38:22,528.0,143.0,82.0,196.0,1224.0,The SPIFFE Project.,57.0,17,True,20.0,,16.0,38.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
91,appauth-js,openid/appauth-js,,,authentication,['openid'],https://github.com/openid/AppAuth-JS,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,148.0,37.0,93.0,917.0,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,10.0,17,True,,,28.0,102.0,,1610.0,,3.0,,,1610.0,,,,,,,,,,,,,,,,,,
92,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-05-10 19:36:09.000000,2023-05-09 03:10:36,3549.0,67.0,27.0,5.0,226.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,17,True,12.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
93,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-05-11 17:48:42.000000,2023-05-11 17:44:21,1407.0,94.0,22.0,574.0,96.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,35.0,17,False,106.0,,41.0,135.0,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,
94,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-05-10 16:22:46.000000,2023-05-10 16:22:41,641.0,23.0,2.0,85.0,24.0,"Supercharge your app with SSI, NFTs or fungible tokens.",12.0,17,False,104.0,13.0,2.0,39.0,2023-05-08 14:13:55,,25.0,3.0,1.2305081407.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-05-08 14:13:52.131762,516.0,,,,,,,,,,,,,,
95,tbd-ssi-sdk,tbd54566975/ssi-sdk,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-05-11 06:04:54.000000,2023-05-10 01:45:26,244.0,42.0,13.0,245.0,164.0,self sovereign identity sdk.,15.0,16,True,62.0,4.0,42.0,93.0,,2.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,
96,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-05-11 00:16:51.000000,2023-04-24 13:49:11,521.0,36.0,28.0,336.0,139.0,Core library for decentralized identity.,20.0,16,True,8.0,,68.0,100.0,,102.0,,3.0,,,102.0,,,,,,,,,,,,,,,,,,
97,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-05-01 01:04:53.000000,2023-05-01 01:04:47,880.0,7.0,6.0,96.0,22.0,A Typescript implementation of the DIF Presentation Exchange specification.,13.0,16,False,35.0,24.0,3.0,14.0,2023-04-30 19:45:02,48.0,2.0,3.0,2.0.0,49.0,48.0,,,,,,,,,,,,,,,,,,
98,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-05-11 10:33:52.000000,2023-05-05 06:36:04,874.0,35.0,50.0,154.0,408.0,Solid Technical Reports.,19.0,15,True,35.0,1.0,181.0,124.0,2021-12-21 13:00:06,,,2.0,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,,
99,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,81.0,76.0,487.0,370.0,W3C Decentralized Identifier Specification v1.0.,61.0,15,True,1.0,,26.0,324.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
100,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-03-30 20:44:08.000000,2023-03-30 20:43:43,609.0,30.0,31.0,214.0,71.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,33.0,15,False,3.0,,46.0,160.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
101,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-04-26 08:08:04.064974,2023-04-26 08:02:08,263.0,5.0,2.0,16.0,12.0,OIDC identity provider for SSI & NFTs.,8.0,15,False,90.0,12.0,4.0,31.0,2023-04-26 08:12:52,,38.0,3.0,1.2304260802.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-04-26 08:08:04.064974,538.0,,,,,,,,,,,,,,
102,talao-wallet,talaodao/talao-wallet,talao-altme,,decentralized,,https://github.com/TalaoDAO/talao-wallet,https://github.com/TalaoDAO/talao-wallet,Apache-2.0,2021-06-29 14:41:04,2023-03-20 12:52:28.000000,2023-03-20 08:12:52,3967.0,5.0,2.0,69.0,9.0,An open source SSI wallet prpposed as a white label solution - EBSI conformant.,14.0,15,False,227.0,1.0,19.0,243.0,2023-01-06 16:00:40,,,3.0,old_talao,,,,,,,,,,,,,,,,,,,,
103,fedfm,fedidcg/FedCM,,,standards,['w3c'],https://github.com/fedidcg/FedCM,https://github.com/fedidcg/FedCM,,2020-03-20 21:58:44,2023-05-11 15:52:34.000000,2023-05-11 15:50:56,650.0,50.0,70.0,233.0,269.0,A privacy preserving identity exchange Web API.,30.0,14,False,17.0,,141.0,92.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
104,tbd-ssi-service,tbd54566975/ssi-service,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-service,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-05-11 17:55:01.000000,2023-05-11 17:27:35,278.0,43.0,12.0,294.0,120.0,The Self Sovereign Identity Service.,19.0,14,True,70.0,1.0,62.0,64.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
105,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-04-03 11:38:44.000000,2023-04-03 11:38:44,142.0,67.0,27.0,170.0,79.0,Aries Framework .NET for building multiplatform SSI services.,29.0,14,False,1.0,,40.0,28.0,,39.0,,3.0,,,39.0,,,,,,,,,,,,,,,,,,
106,siop-oid4vp,sphereon-opensource/siop-oid4vp,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/SIOP-OID4VP,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2023-05-01 01:08:27.000000,2023-05-01 01:08:21,560.0,14.0,6.0,40.0,62.0,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,9.0,14,False,71.0,11.0,3.0,9.0,,37.0,0.0,3.0,,17.0,37.0,,,,,,,,,,,,,,,,,,
107,verity-sdk,evernym/verity-sdk,evernym-ssi,,decentralized,,https://github.com/evernym/verity-sdk,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,39.0,12.0,115.0,45.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,36.0,14,False,2.0,,,,,14.0,,3.0,,,14.0,,,,,,,,,,,,,,,,,,
108,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-05-09 15:07:58.000000,2023-05-02 09:43:34,258.0,5.0,5.0,59.0,24.0,SDK to work with Polygon ID.,11.0,14,False,106.0,6.0,5.0,3.0,2023-04-27 16:18:26,6.0,,3.0,1.0.0-beta.7,,6.0,,,,,,,,,,,,,,,,,,
109,waltid-web-wallet,walt-id/waltid-web-wallet,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,Apache-2.0,2021-10-26 18:13:46,2023-05-08 14:38:09.859530,2023-05-08 14:31:15,342.0,11.0,1.0,69.0,14.0,web-wallet @ walt.id.,15.0,14,False,31.0,9.0,10.0,41.0,2023-01-23 16:08:26,,46.0,3.0,0.6.0,,,waltid/ssikit-web-wallet,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-05-08 14:38:09.859530,892.0,,,,,,,,,,,,,,
110,beyond,cogolabs/beyond,,,machine,,https://github.com/cogolabs/beyond,https://github.com/cogolabs/beyond,	Apache-2.0,2017-08-13 18:29:25,2022-05-26 15:15:14.000000,2022-05-25 16:48:25,133.0,25.0,9.0,2.0,228.0,BeyondCorp-inspired HTTPS/SSO Access Proxy. Secure internal services outside your VPN/perimeter network during a zero-..,5.0,13,True,,4.0,4.0,1.0,2022-05-26 15:15:14,,255.0,3.0,1.8.10,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,17621.0,,,,,,,,,,,,,,
111,bbs-signature,decentralized-identity/bbs-signature,,,standards,['dif'],https://github.com/decentralized-identity/bbs-signature,https://github.com/decentralized-identity/bbs-signature,Apache-2.0,2021-08-23 11:09:09,2023-05-11 00:08:56.000000,2023-04-23 04:33:58,643.0,16.0,12.0,141.0,49.0,The BBS Signature Scheme.,13.0,13,False,43.0,,17.0,104.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
112,mobile-sdk,evernym/mobile-sdk,evernym-ssi,,decentralized,,https://github.com/evernym/mobile-sdk,https://github.com/evernym/mobile-sdk,Apache-2.0,2020-01-14 21:16:21,2023-03-29 23:11:17.000000,2023-03-29 23:11:14,598.0,5.0,62.0,81.0,15.0,Evernyms SDK for building mobile identity agents. This is a read-only mirror. Contributions are welcomed at..,25.0,13,False,4.0,100.0,,,2021-03-22 11:09:10,,5.0,3.0,1.4.1,198.0,,,,,,,,,,,,,,,,,,,
113,anoncreds,hyperledger/anoncreds-spec,,,standards,['hyperledger'],https://github.com/hyperledger/anoncreds-spec,https://github.com/hyperledger/anoncreds-spec,Apache-2.0,2022-02-19 17:05:57,2023-04-05 17:57:44.000000,2023-03-24 16:08:58,323.0,24.0,15.0,102.0,36.0,The specification for AnonCreds verifiable credential exchange.,19.0,12,False,8.0,,21.0,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
114,react-native-white-label-app,evernym/react-native-white-label-app,evernym-ssi,,decentralized,,https://github.com/evernym/react-native-white-label-app,https://github.com/evernym/react-native-white-label-app,Apache-2.0,2020-12-01 15:41:06,2023-03-29 23:06:53.000000,2023-03-29 23:06:51,786.0,7.0,13.0,1.0,9.0,The Evernym React Native White Label App uses the Mobile SDK to implement a basic mobile identity wallet ready for..,21.0,12,False,3.0,,3.0,,,24.0,,3.0,,,24.0,,,,,,,,,,,,,,,,,,
115,credible,spruceid/credible,spruceid,,decentralized,,https://github.com/spruceid/credible,https://github.com/spruceid/credible,Apache-2.0,2020-07-23 21:18:28,2023-03-07 17:08:52.000000,2022-05-09 17:48:40,193.0,16.0,17.0,71.0,35.0,A reference credential wallet built on Flutter and DIDKit.,11.0,11,False,,,10.0,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
116,ssi-mobile-wallet,sphereon-opensource/ssi-mobile-wallet,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,GPL-3.0,2022-11-08 00:55:26,2023-05-11 14:39:55.000000,2023-05-11 14:39:51,679.0,,3.0,131.0,15.0,Open-Source Mobile SSI Wallet.,7.0,10,False,451.0,,,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
117,universal-wallet-interop-spec,w3c-ccg/universal-wallet-interop-spec,,,standards,['w3c'],https://github.com/w3c-ccg/universal-wallet-interop-spec,https://github.com/w3c-ccg/universal-wallet-interop-spec,W3C,2020-08-25 01:43:15,2023-02-22 15:32:06.000000,2023-02-22 15:32:05,319.0,11.0,42.0,46.0,52.0,A data model and abstract interfaces for digital wallets.,10.0,9,False,2.0,,41.0,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
118,vlei,weboftrust/vlei,,,standards,,https://github.com/WebOfTrust/vLEI,https://github.com/WebOfTrust/vLEI,Apache-2.0,2021-04-19 14:33:35,2023-05-09 15:15:15.000000,2023-02-24 15:52:22,82.0,9.0,7.0,29.0,14.0,Public Open Specifications for GLEIF vLEI (verifiable Legal Entity Identifiers).,3.0,8,False,2.0,,20.0,27.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
119,entra-verifiedid-wallet-library-ios,microsoft/entra-verifiedid-wallet-library-ios,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,MIT,2022-11-17 19:38:59,2023-04-21 22:49:41.000000,2023-04-21 22:49:40,45.0,3.0,9.0,41.0,10.0,A library to manage your Decentralized Identities and Verified IDs on iOS.,3.0,8,False,30.0,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
120,entra-verifiedid-wallet-library-android,microsoft/entra-verifiedid-wallet-library-android,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-android,https://github.com/microsoft/entra-verifiedid-wallet-library-android,MIT,2022-11-17 18:59:22,2023-05-02 03:44:55.000000,2023-04-28 08:51:21,43.0,1.0,9.0,38.0,7.0,A library to manage your Decentralized Identities and Verified IDs on Android.,4.0,8,False,28.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
121,waltid-storagekit,walt-id/waltid-storagekit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-storagekit,https://github.com/walt-id/waltid-storagekit,Apache-2.0,2021-11-15 09:47:22,2023-02-06 15:36:34.000000,2023-02-06 15:36:10,37.0,2.0,3.0,4.0,6.0,Enhance your app with zero trust storage and privacy-preserving data sharing.,5.0,8,False,,1.0,1.0,6.0,2023-02-06 15:38:55,,,3.0,1.2302061536.0,,,,,,,,,,,,,,,,,,,,
