,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
86,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-11-09 17:56:53.000000,2023-11-07 16:11:38,1615.0,78.0,82.0,686.0,258.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,62.0,18,True,156.0,,54.0,578.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
87,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-11-09 00:17:09.000000,2023-11-01 15:51:52,531.0,46.0,29.0,353.0,156.0,Core library for decentralized identity.,23.0,18,True,8.0,,73.0,103.0,,113.0,,3.0,,,113.0,,,,,,,,,,,,,,,,,,,
88,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-11-08 23:18:45.000000,2023-11-08 23:18:44,1599.0,105.0,21.0,775.0,121.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,40.0,18,True,73.0,,67.0,173.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
89,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-10-27 23:00:14.000000,2023-09-11 22:25:57,541.0,11.0,11.0,532.0,26.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,18,False,1.0,19.0,26.0,80.0,2022-05-29 21:14:21,544.0,594.0,3.0,1.6.0,17841.0,544.0,,,,,,,,,,,,,,,,,,,
90,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,159.0,90.0,184.0,1216.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,32.0,17,True,1.0,17.0,70.0,68.0,2022-06-09 01:42:53,,,3.0,1.0.4,,,,,,,,,,,,,,,,,,,,,
91,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-11-09 16:58:16.000000,2023-11-09 16:58:15,966.0,36.0,49.0,197.0,440.0,Solid Technical Reports.,21.0,17,True,52.0,1.0,186.0,134.0,2021-12-21 13:00:06,,,2.0,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,,,
92,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-10-14 20:52:49.000000,2023-10-14 20:52:15,3589.0,66.0,27.0,5.0,226.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",297.0,17,True,17.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
93,tbd-ssi-sdk,tbd54566975/ssi-sdk,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-11-06 23:45:29.000000,2023-11-06 17:04:53,313.0,53.0,12.0,327.0,186.0,self sovereign identity sdk.,17.0,17,True,23.0,4.0,47.0,107.0,,33.0,,3.0,,,33.0,,,,,,,,,,,,,,,,,,,
94,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-10-31 12:37:38.854547,2023-10-31 12:31:18,1371.0,25.0,2.0,111.0,32.0,Toolkit for SSI and NFT/SBT wallets.,12.0,17,False,16.0,44.0,2.0,43.0,2023-10-31 12:37:40,,147.0,3.0,1.2310311231.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-10-31 12:37:38.854547,3845.0,,,,,,,,,,,,,,,
95,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-11-08 14:51:10.000000,2023-11-08 14:51:10,535.0,148.0,85.0,203.0,1317.0,The SPIFFE Project.,57.0,16,True,6.0,,15.0,41.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
